preset,episode,total_accepted,total_rejected,acceptance_rate,total_energy_kwh,capacity_rejections,policy_rejections,sla_violations
small,0,140,360,0.28,0.11128107493625024,114,246,0
small,1,154,346,0.308,0.10610026234066539,153,193,0
small,2,143,357,0.286,0.1365253609318981,140,217,0
small,3,154,346,0.308,0.08549385235236964,106,240,0
small,4,135,365,0.27,0.10603459979947204,144,221,0
small,5,146,354,0.292,0.09025295314004164,115,239,0
small,6,171,329,0.342,0.0804738049512199,139,190,0
small,7,158,342,0.316,0.0912548827301598,129,213,0
small,8,162,338,0.324,0.13207914215060426,126,212,0
small,9,187,313,0.374,0.08049234576943352,136,177,0
medium,0,248,252,0.496,0.28309724552813004,122,130,0
medium,1,272,228,0.544,0.26868777912994685,147,81,0
medium,2,238,262,0.476,0.32692485081241124,141,121,0
medium,3,270,230,0.54,0.24807691243784435,125,105,0
medium,4,251,249,0.502,0.18139698940037813,156,93,0
medium,5,281,219,0.562,0.2400349727585032,146,73,0
medium,6,256,244,0.512,0.20121583183254885,155,89,0
medium,7,268,232,0.536,0.2540946757398117,118,114,0
medium,8,250,250,0.5,0.2568765810148531,134,116,0
medium,9,269,231,0.538,0.28263330500864087,132,99,0
large,0,353,147,0.706,0.3139082426099947,113,34,0
large,1,354,146,0.708,0.3713902124897027,120,26,0
large,2,331,169,0.662,0.39606119010543916,132,37,0
large,3,354,146,0.708,0.3520595137704767,117,29,0
large,4,364,136,0.728,0.41502457571741985,109,27,0
large,5,332,168,0.664,0.3145143898178086,139,29,0
large,6,329,171,0.658,0.41741571252268583,127,44,0
large,7,345,155,0.69,0.33162819872518395,116,39,0
large,8,356,144,0.712,0.46490411080072286,120,24,0
large,9,373,127,0.746,0.3324205326755271,103,24,0
high_load,0,153,347,0.306,0.09570465941050103,134,213,0
high_load,1,155,345,0.31,0.08655551043285842,178,167,0
high_load,2,131,369,0.262,0.11921633576127937,167,202,0
high_load,3,164,336,0.328,0.06395130916528882,137,199,0
high_load,4,118,382,0.236,0.12595570738313505,154,228,0
high_load,5,160,340,0.32,0.07350388787514314,151,189,0
high_load,6,147,353,0.294,0.06715895248171612,169,184,0
high_load,7,174,326,0.348,0.07705946169955512,130,196,0
high_load,8,140,360,0.28,0.09117412563930247,138,222,0
high_load,9,172,328,0.344,0.0845347046606874,162,166,0
stress_test,0,90,410,0.18,0.0136155873613363,132,278,0
stress_test,1,83,417,0.166,0.023420143657791378,157,260,0
stress_test,2,75,425,0.15,0.03449969852049428,140,285,0
stress_test,3,72,428,0.144,0.021580280528172444,117,311,0
stress_test,4,75,425,0.15,0.017749762113639527,139,286,0
stress_test,5,78,422,0.156,0.030266463413273173,132,290,0
stress_test,6,75,425,0.15,0.024082418970888697,137,288,0
stress_test,7,82,418,0.164,0.041751723617084256,96,322,0
stress_test,8,73,427,0.146,0.055300008515574275,125,302,0
stress_test,9,76,424,0.152,0.012688514532403775,138,286,0
