timestamp,task_id,num_vms,cpu_req,mem_req,chosen_cell,chosen_hw_type,accepted,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,processing_time_sec
0,2,2,5,5.1111,0,1,1,2e-05,3.19444e-06,499990,3.19999e+06,24999.9,99998,0,0
0,2,8,16,7.80892,0,1,1,0.000256,1.95223e-05,499872,3.19994e+06,24999.8,99992,0,0
0,2,6,14,7.1324,0,1,1,0.000168,1.33732e-05,499916,3.19996e+06,24999.9,99994,0,0
0,4,4,12,5.90959,0,1,1,9.6e-05,7.38699e-06,499952,3.19998e+06,24999.9,99996,0,0
0,4,3,7,6.54285,0,1,1,4.2e-05,6.13392e-06,499979,3.19998e+06,24999.8,99997,0,0
0,4,4,8,7.64659,0,1,1,6.4e-05,9.55824e-06,499968,3.19997e+06,24999.7,99996,0,0
0,6,4,11,5.45914,0,1,1,0.000184,1.42109e-05,499908,3.19995e+06,24999.9,99992,0,0
0,6,1,8,4.0652,0,1,1,0.000272,2.07927e-05,499864,3.19993e+06,24999.8,99991,0,0
0,6,6,5,5.34089,0,1,1,0.000228,2.33874e-05,499886,3.19993e+06,24999.7,99988,0,0
0,8,3,5,4.54893,0,1,1,0.000302,2.50573e-05,499849,3.19992e+06,24999.8,99988,0,0
0,8,1,5,4.56641,0,1,1,3e-05,4.62144e-06,499985,3.19999e+06,24999.9,99997,0,0
0,8,9,6,6.05173,0,1,1,0.000336,4.04079e-05,499832,3.19987e+06,24999.5,99979,0,0
0,10,2,9,4.51916,0,1,1,0.00022,1.70354e-05,499890,3.19995e+06,24999.9,99990,0,0
0,10,1,5,4.62672,0,1,1,5.2e-05,7.57977e-06,499974,3.19998e+06,24999.8,99996,0,0
0,10,3,6,6.45056,0,1,1,0.0001,1.56056e-05,499950,3.19995e+06,24999.5,99993,0,0
0,12,11,7,6.55021,0,1,1,0.000456,4.75736e-05,499772,3.19985e+06,24999.4,99977,0,0
0,12,16,8,7.9957,0,1,1,0.000476,5.70139e-05,499762,3.19982e+06,24999.2,99974,0,0
0,20,6,14,7.1324,0,1,1,0.000644,7.03871e-05,499678,3.19977e+06,24999.1,99968,0,0
0,20,2,5,5.1111,0,1,1,7.2e-05,1.07742e-05,499964,3.19997e+06,24999.7,99994,0,0
0,17,4,12,5.90959,0,1,1,0.000432,4.77949e-05,499784,3.19985e+06,24999.4,99975,0,0
0,22,4,8,7.64659,0,1,1,9.4e-05,1.41797e-05,499953,3.19995e+06,24999.5,99993,0,0
0,22,4,11,5.45914,0,1,1,0.000544,5.43976e-05,499728,3.19983e+06,24999.4,99973,0,0
0,19,3,7,6.54285,0,1,1,0.000142,2.17396e-05,499929,3.19993e+06,24999.3,99990,0,0
0,24,6,5,5.34089,0,1,1,0.000704,8.04013e-05,499648,3.19974e+06,24999,99962,0,0
0,24,8,16,7.80892,0,1,1,0.0008,7.39199e-05,499600,3.19976e+06,24999.2,99965,0,0
0,21,1,8,4.0652,0,1,1,0.000448,4.90653e-05,499776,3.19984e+06,24999.4,99974,0,0
0,26,1,5,4.62672,0,1,1,0.000104,1.56255e-05,499948,3.19995e+06,24999.5,99992,0,0
0,26,1,5,4.56641,0,1,1,8.2e-05,1.22012e-05,499959,3.19996e+06,24999.6,99993,0,0
0,23,3,5,4.54893,0,1,1,0.000478,5.33299e-05,499761,3.19983e+06,24999.3,99971,0,0
0,28,16,8,7.9957,0,1,1,0.001056,0.000113898,499472,3.19964e+06,24998.6,99949,0,0
0,25,2,9,4.51916,0,1,1,0.000514,5.61544e-05,499743,3.19982e+06,24999.3,99969,0,0
0,30,9,6,6.05173,0,1,1,0.001164,0.000130919,499418,3.19958e+06,24998.3,99940,0,0
0,27,3,6,6.45056,0,1,1,0.000178,2.7787e-05,499911,3.19991e+06,24999.1,99987,0,0
0,29,11,7,6.55021,0,1,1,0.000668,7.86707e-05,499666,3.19975e+06,24998.9,99958,0,0
1,38,4,8,7.64659,0,1,1,0.000146,2.17594e-05,499927,3.19993e+06,24999.3,99989,0,0
1,32,6,14,7.1324,0,1,1,0.000872,9.37745e-05,499564,3.1997e+06,24998.8,99956,0,0
1,38,8,16,7.80892,0,1,1,0.000924,9.8193e-05,499538,3.19969e+06,24998.8,99950,0,0
1,40,1,5,4.62672,0,1,1,0.000156,2.32053e-05,499922,3.19993e+06,24999.3,99988,0,0
1,34,6,5,5.34089,0,1,1,0.000932,0.000103789,499534,3.19967e+06,24998.7,99950,0,0
1,40,1,5,4.56641,0,1,1,0.000188,2.9214e-05,499906,3.19991e+06,24999.1,99986,0,0
1,36,2,5,5.1111,0,1,1,0.000124,1.882e-05,499938,3.19994e+06,24999.4,99990,0,0
1,42,16,8,7.9957,0,1,1,0.00142,0.000170897,499290,3.19945e+06,24997.6,99924,0,0
1,42,2,9,4.51916,0,1,1,0.00096,0.000101017,499520,3.19968e+06,24998.8,99948,0,0
1,38,4,12,5.90959,0,1,1,0.001028,0.000111176,499486,3.19964e+06,24998.6,99946,0,0
1,44,9,6,6.05173,0,1,1,0.001068,0.000118038,499466,3.19962e+06,24998.5,99939,0,0
1,40,4,11,5.45914,0,1,1,0.001116,0.000118,499442,3.19962e+06,24998.6,99942,0,0
1,46,3,6,6.45056,0,1,1,0.000224,3.52614e-05,499888,3.19989e+06,24998.9,99983,0,0
1,42,3,7,6.54285,0,1,1,0.000166,2.49539e-05,499917,3.19992e+06,24999.2,99987,0,0
1,44,1,8,4.0652,0,1,1,0.001132,0.00011927,499434,3.19962e+06,24998.6,99941,0,0
1,46,3,5,4.54893,0,1,1,0.001162,0.000123535,499419,3.1996e+06,24998.5,99938,0,0
1,48,11,7,6.55021,0,1,1,0.001316,0.000146051,499342,3.19953e+06,24998.1,99927,0,0
2,47,4,8,7.64659,0,1,1,0.00022,3.27635e-05,499890,3.1999e+06,24999,99984,0,0
2,59,2,5,5.1111,0,1,1,0.000186,2.81483e-05,499907,3.19991e+06,24999.1,99985,0,0
2,53,6,14,7.1324,0,1,1,0.001236,0.000131411,499382,3.19958e+06,24998.4,99933,0,0
2,49,6,5,5.34089,0,1,1,0.00148,0.000180911,499260,3.19942e+06,24997.5,99918,0,0
2,61,8,16,7.80892,0,1,1,0.001572,0.000165573,499214,3.19947e+06,24998,99919,0,0
2,55,4,12,5.90959,0,1,1,0.001332,0.000138798,499334,3.19956e+06,24998.3,99929,0,0
2,51,1,5,4.62672,0,1,1,0.00023,3.42094e-05,499885,3.19989e+06,24998.9,99983,0,0
2,63,1,5,4.56641,0,1,1,0.000196,2.95753e-05,499902,3.19991e+06,24999.1,99984,0,0
2,57,4,11,5.45914,0,1,1,0.00142,0.000145622,499290,3.19953e+06,24998.3,99925,0,0
2,59,3,7,6.54285,0,1,1,0.000266,4.13953e-05,499867,3.19987e+06,24998.7,99980,0,0
2,65,3,5,4.54893,0,1,1,0.001602,0.000169838,499199,3.19946e+06,24997.9,99916,0,0
2,67,3,6,6.45056,0,1,1,0.000232,3.56227e-05,499884,3.19989e+06,24998.9,99981,0,0
