timestamp,task_id,num_vms,cpu_req,mem_req,chosen_cell,chosen_hw_type,accepted,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,processing_time_sec
0,2,6,14,7.1324,0,2,1,0.7,0.0557219,6,120.868,0.982169,3,0,0
0,2,2,5,5.1111,0,1,1,0.5,0.0798609,10,117.778,0.897778,0,0,0
0,2,8,16,7.80892,0,3,1,0.8,0.0610072,4,120.191,0.980478,3,0,0
0,4,4,8,7.64659,0,1,1,0.8,0.119478,4,112.707,0.847068,0,0,0
0,4,4,12,5.90959,0,3,1,0.6,0.0461687,8,122.09,0.985226,3,0,0
0,4,3,7,6.54285,0,1,1,0.7,0.102232,6,114.914,0.869143,0,0,0
0,6,6,5,5.34089,0,3,1,1,0.166903,0,106.636,0.893182,0,0,0
0,6,4,11,5.45914,0,2,1,0.55,0.0426495,9,122.541,0.986352,3,0,0
0,6,3,5,4.54893,0,2,1,0.75,0.106615,5,114.353,0.931766,1,0,0
0,8,1,5,4.56641,0,4,1,0.25,0.0356751,15,123.434,0.954336,3,0,0
0,8,1,8,4.0652,0,1,1,0.9,0.11162,2,113.713,0.887615,0,0,0
0,8,9,6,6.05173,0,3,1,0.9,0.141837,2,109.845,0.909224,1,0,0
0,10,1,5,4.62672,0,4,1,0.25,0.0361462,15,123.373,0.953733,3,0,0
0,10,3,6,6.45056,0,4,1,0.9,0.151185,2,108.648,0.806483,1,0,0
0,12,2,9,4.51916,0,3,1,0.9,0.0706119,2,118.962,0.977404,2,0,0
0,12,11,7,6.55021,0,1,1,0.7,0.102289,6,114.907,0.90182,0,0,0
0,14,16,8,7.9957,0,1,1,0.8,0.124933,4,112.009,0.920043,0,0,0
0,23,6,14,7.1324,0,2,1,0.7,0.0557219,6,120.868,0.982169,3,0,0
0,14,4,8,7.64659,0,1,1,0.8,0.119478,4,112.707,0.847068,0,0,0
0,20,2,5,5.1111,0,1,1,0.95,0.142162,1,109.803,0.818032,0,0,0
0,25,6,5,5.34089,0,3,1,0.85,0.0878944,3,116.75,0.958522,2,0,0
0,16,4,12,5.90959,0,3,1,0.6,0.0461687,8,122.09,0.985226,3,0,0
0,22,9,6,6.05173,0,3,1,0.9,0.141837,2,109.845,0.909224,1,0,0
0,27,3,7,6.54285,0,1,1,0.7,0.102232,6,114.914,0.869143,0,0,0
0,18,4,11,5.45914,0,2,1,0.55,0.0426495,9,122.541,0.986352,3,0,0
0,24,3,6,6.45056,0,4,1,0.9,0.151185,2,108.648,0.806483,1,0,0
0,29,1,5,4.62672,0,4,1,0.5,0.0722924,10,118.747,0.907466,2,0,0
0,20,8,16,7.80892,0,3,1,0.8,0.0610072,4,120.191,0.980478,3,0,0
0,26,11,7,6.55021,0,1,1,0.7,0.102347,6,114.9,0.934498,0,0,0
0,31,2,9,4.51916,0,3,1,0.95,0.118757,1,112.799,0.935293,1,0,0
0,22,1,5,4.56641,0,4,1,0.5,0.0713502,10,118.867,0.908672,2,0,0
0,24,1,8,4.0652,0,1,1,0.4,0.0317594,12,123.935,0.989837,0,0,0
0,26,3,5,4.54893,0,2,1,0.95,0.0912603,1,116.319,0.959424,2,0,0
0,28,16,8,7.9957,0,1,1,0.8,0.0942258,4,115.939,0.949859,0,0,0
1,32,3,7,6.54285,0,1,1,0.7,0.102289,6,114.907,0.90182,0,0,0
1,38,6,5,5.34089,0,3,1,1,0.166903,0,106.636,0.893182,0,0,0
1,34,3,5,4.54893,0,2,1,1,0.142154,0,109.804,0.909021,0,0,0
1,40,2,5,5.1111,0,1,1,0.9,0.142327,2,109.782,0.8578,0,0,0
1,36,3,6,6.45056,0,4,1,0.9,0.151185,2,108.648,0.806483,1,0,0
1,38,6,14,7.1324,0,2,1,0.7,0.0557219,6,120.868,0.982169,3,0,0
1,42,1,5,4.56641,0,4,1,0.75,0.107025,5,114.301,0.863008,1,0,0
1,40,4,8,7.64659,0,1,1,0.75,0.110855,5,113.811,0.858106,0,0,0
1,44,11,7,6.55021,0,1,1,0.7,0.102347,6,114.9,0.934498,0,0,0
1,42,4,12,5.90959,0,3,1,0.6,0.0461687,8,122.09,0.985226,3,0,0
1,44,4,11,5.45914,0,2,1,0.55,0.0426495,9,122.541,0.986352,3,0,0
1,46,8,16,7.80892,0,3,1,0.8,0.0610072,4,120.191,0.980478,3,0,0
