num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000015,0.000001,1439979.000000,15359979.904214,29999.949761,119997.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.998325,100.000000,0.000017,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,3,1.000000,1.000000,1,0.000233,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000003,0.000000,2399992.000000,25599992.530116,49999.981414,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.997396,100.000000,0.000026,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,2,1.000000,1.000000,2,0.000089,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.000020,0.000002,1439971.000000,15359971.881541,29999.929704,119995.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.996393,100.000000,0.000036,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,5,1.000000,1.000000,3,0.000089,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.000004,0.000000,2399990.000000,25599990.696792,49999.977191,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.995971,100.000000,0.000040,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,3,1.000000,1.000000,4,0.000022,1,1
1,2.000000,2.432191,0.005819,0.000582,0,0.000000,121609557.779324,0.000005,0.000000,2399988.000000,25599988.264601,49999.971372,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.995389,100.000000,0.000046,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,4,1.000000,1.000000,5,0.000022,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000035,0.000003,1439950.000000,15359951.785755,29999.879464,119992.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.993714,100.000000,0.000063,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,8,1.000000,1.000000,6,0.000233,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000008,0.000001,2399980.000000,25599980.794716,49999.952786,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.992785,100.000000,0.000072,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,6,1.000000,1.000000,7,0.000089,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.000040,0.000004,1439942.000000,15359943.763082,29999.859408,119990.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.991782,100.000000,0.000082,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,10,1.000000,1.000000,8,0.000089,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.000009,0.000001,2399978.000000,25599978.961392,49999.948564,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.991360,100.000000,0.000086,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,7,1.000000,1.000000,9,0.000022,1,1
1,2.000000,2.432191,0.005819,0.000582,0,0.000000,121609557.779324,0.000010,0.000001,2399976.000000,25599976.529201,49999.942745,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.990778,100.000000,0.000092,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,8,1.000000,1.000000,10,0.000022,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000055,0.000005,1439921.000000,15359923.667296,29999.809168,119987.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.989103,100.000000,0.000109,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,13,1.000000,1.000000,11,0.000233,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000013,0.000001,2399968.000000,25599969.059317,49999.924158,0.000000,2400000.000000,25600000.000000,50000.000000,0.000000,99.988174,100.000000,0.000118,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,10,1.000000,1.000000,12,0.000089,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.000060,0.000005,1439913.000000,15359915.644623,29999.789112,119985.000000,1440000.000000,15360000.000000,30000.000000,120000.000000,99.987171,100.000000,0.000128,3.395833,4.587808,32.000000,250.000000,4400.040000,587505.340000,15,1.000000,1.000000,13,0.000089,2,1
