num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.001620,0.000486,99838.000000,639688.878661,4999.598084,19994.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.991735,20.000000,0.000413,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.000440,0.000093,99956.000000,639940.240927,4999.850602,19996.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.988912,20.000000,0.000554,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.002100,0.000612,99790.000000,639608.561238,4999.457631,19988.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.986571,20.000000,0.000671,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.004580,0.001378,99542.000000,639117.962321,4998.840561,19980.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.976953,20.000000,0.001152,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.000490,0.000102,99951.000000,639934.541696,4999.836354,19995.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.975670,20.000000,0.001217,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.000930,0.000196,99907.000000,639874.782623,4999.686957,19991.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.990729,20.000000,0.000464,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.000960,0.000251,99904.000000,639839.365154,4999.719093,19988.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.988388,20.000000,0.000581,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.001640,0.000429,99836.000000,639725.653432,4999.551545,19984.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.983470,20.000000,0.000826,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.004120,0.001195,99588.000000,639235.054515,4998.934475,19976.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.973852,20.000000,0.001307,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.000980,0.000205,99902.000000,639869.083392,4999.672708,19990.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.972569,20.000000,0.001372,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.004200,0.001209,99580.000000,639226.141683,4998.913497,19975.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.970439,20.000000,0.001478,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.001030,0.000214,99897.000000,639863.203243,4999.658008,19989.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.969125,20.000000,0.001544,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.004680,0.001335,99532.000000,639145.824260,4998.773043,19969.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.976402,20.000000,0.001180,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.001150,0.000237,99885.000000,639848.536650,4999.621342,19987.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.974847,20.000000,0.001258,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.005360,0.001512,99464.000000,639032.112538,4998.605495,19965.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.969928,20.000000,0.001504,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.001420,0.000291,99858.000000,639813.651028,4999.534128,19984.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.967657,20.000000,0.001617,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.005440,0.001526,99456.000000,639023.199706,4998.584517,19964.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.965527,20.000000,0.001724,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.005620,0.001563,99438.000000,638999.672254,4998.538049,19961.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.963978,20.000000,0.001801,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.005840,0.001611,99416.000000,638969.135724,4998.482474,19959.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.960939,20.000000,0.001953,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.001860,0.000385,99814.000000,639753.891955,4999.384730,19980.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.958116,20.000000,0.002094,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.006320,0.001736,99368.000000,638888.818301,4998.342021,19953.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.955775,20.000000,0.002211,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.007080,0.001953,99292.000000,638749.881361,4998.147445,19949.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.949956,20.000000,0.002502,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.007760,0.002131,99224.000000,638636.169639,4997.979897,19945.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.945038,20.000000,0.002748,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.010240,0.002898,98976.000000,638145.570723,4997.362827,19937.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.935420,20.000000,0.003229,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.001910,0.000393,99809.000000,639748.192724,4999.370482,19979.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.934137,20.000000,0.003293,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.010320,0.002911,98968.000000,638136.657891,4997.341849,19936.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.932006,20.000000,0.003400,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.001960,0.000403,99804.000000,639742.312575,4999.355781,19978.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.930693,20.000000,0.003465,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.010800,0.003037,98920.000000,638056.340468,4997.201395,19930.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.937970,20.000000,0.003102,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.002080,0.000426,99792.000000,639727.645982,4999.319115,19976.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.936414,20.000000,0.003179,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.011480,0.003215,98852.000000,637942.628746,4997.033847,19926.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.931496,20.000000,0.003425,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.002350,0.000480,99765.000000,639692.760360,4999.231901,19973.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.929225,20.000000,0.003539,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.011560,0.003229,98844.000000,637933.715914,4997.012869,19925.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.927094,20.000000,0.003645,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.011740,0.003265,98826.000000,637910.188461,4996.966401,19922.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.925545,20.000000,0.003723,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.013360,0.003751,98664.000000,637599.067122,4996.564485,19916.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.917281,20.000000,0.004136,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.002790,0.000573,99721.000000,639633.001287,4999.082503,19969.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.914457,20.000000,0.004277,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.013840,0.003877,98616.000000,637518.749699,4996.424032,19910.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.912116,20.000000,0.004394,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.014520,0.004055,98548.000000,637405.037977,4996.256484,19906.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.907198,20.000000,0.004640,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.017000,0.004821,98300.000000,636914.439060,4995.639413,19898.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.897580,20.000000,0.005121,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.002840,0.000582,99716.000000,639627.302056,4999.068255,19968.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.896297,20.000000,0.005185,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.017080,0.004835,98292.000000,636905.526228,4995.618435,19897.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.894167,20.000000,0.005292,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.002890,0.000592,99711.000000,639621.421907,4999.053555,19967.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.892853,20.000000,0.005357,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.017560,0.004961,98244.000000,636825.208805,4995.477982,19891.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.908395,20.000000,0.004580,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.003010,0.000614,99699.000000,639606.755314,4999.016888,19965.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.906839,20.000000,0.004658,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.018240,0.005138,98176.000000,636711.497083,4995.310434,19887.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.901921,20.000000,0.004904,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
