num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
8,16.000000,7.808919,0.000256,0.000020,499872.000000,3199937.528649,24999.843822,99992.000000,0.003406,2,1
3,7.000000,6.542847,0.000042,0.000006,499979.000000,3199980.371459,24999.803715,99997.000000,0.000559,4,1
1,8.000000,4.065202,0.000272,0.000021,499864.000000,3199933.463447,24999.833659,99991.000000,0.000213,2,1
3,5.000000,4.548926,0.000302,0.000025,499849.000000,3199919.816668,24999.765425,99988.000000,0.000399,2,1
1,5.000000,4.626716,0.000052,0.000008,499974.000000,3199975.744743,24999.757447,99996.000000,0.000133,4,1
11,7.000000,6.550209,0.000456,0.000048,499772.000000,3199847.764368,24999.405163,99977.000000,0.002049,2,1
2,5.000000,5.111099,0.000072,0.000011,499964.000000,3199965.522545,24999.655225,99994.000000,0.000266,4,1
4,11.000000,5.459138,0.000544,0.000054,499728.000000,3199825.927816,24999.350572,99973.000000,0.001171,2,1
8,16.000000,7.808919,0.000800,0.000074,499600.000000,3199763.456465,24999.194393,99965.000000,0.003406,2,1
1,5.000000,4.566410,0.000082,0.000012,499959.000000,3199960.956135,24999.609561,99993.000000,0.000133,4,1
16,8.000000,7.995698,0.001056,0.000114,499472.000000,3199635.525296,24998.554738,99949.000000,0.003406,2,1
9,6.000000,6.051730,0.001164,0.000131,499418.000000,3199581.059730,24998.282410,99940.000000,0.001437,2,1
4,8.000000,7.646589,0.000146,0.000022,499927.000000,3199930.369777,24999.303698,99989.000000,0.000852,4,1
1,5.000000,4.626716,0.000156,0.000023,499922.000000,3199925.743061,24999.257431,99988.000000,0.000133,4,1
16,8.000000,7.995698,0.001420,0.000171,499290.000000,3199453.128561,24997.642754,99924.000000,0.003406,2,1
4,8.000000,7.646589,0.000220,0.000033,499890.000000,3199895.156703,24998.951567,99984.000000,0.000852,4,1
6,5.000000,5.340891,0.001480,0.000181,499260.000000,3199421.083214,24997.482527,99918.000000,0.000798,2,1
1,5.000000,4.626716,0.000230,0.000034,499885.000000,3199890.529987,24998.905300,99983.000000,0.000133,4,1
6,14.000000,7.132397,0.001648,0.000194,499176.000000,3199378.288833,24997.375541,99912.000000,0.002235,2,1
6,5.000000,5.340891,0.001708,0.000204,499146.000000,3199346.243487,24997.215315,99906.000000,0.000798,2,1
2,5.000000,5.111099,0.000250,0.000037,499875.000000,3199880.307789,24998.803078,99981.000000,0.000266,4,1
4,12.000000,5.909588,0.001804,0.000212,499098.000000,3199322.605134,24997.156219,99902.000000,0.001277,2,1
8,16.000000,7.808919,0.002060,0.000231,498970.000000,3199260.133783,24997.000040,99894.000000,0.003406,2,1
1,5.000000,4.566410,0.000260,0.000039,499870.000000,3199875.741379,24998.757414,99980.000000,0.000133,4,1
3,5.000000,4.548926,0.002090,0.000235,498955.000000,3199246.487004,24996.931806,99891.000000,0.000399,2,1
3,6.000000,6.450559,0.000296,0.000045,499852.000000,3199856.389701,24998.563897,99977.000000,0.000479,4,1
11,7.000000,6.550209,0.002244,0.000258,498878.000000,3199174.434704,24996.571545,99880.000000,0.002049,2,1
4,11.000000,5.459138,0.002332,0.000265,498834.000000,3199152.598153,24996.516953,99876.000000,0.001171,2,1
3,7.000000,6.542847,0.000338,0.000051,499831.000000,3199836.761160,24998.367612,99974.000000,0.000559,4,1
1,8.000000,4.065202,0.002348,0.000266,498826.000000,3199148.532950,24996.506790,99875.000000,0.000213,2,1
2,9.000000,4.519162,0.002384,0.000269,498808.000000,3199139.494627,24996.484195,99873.000000,0.000479,2,1
9,6.000000,6.051730,0.002492,0.000286,498754.000000,3199085.029061,24996.211867,99864.000000,0.001437,2,1
6,14.000000,7.132397,0.002660,0.000299,498670.000000,3199042.234679,24996.104881,99858.000000,0.002235,2,1
4,8.000000,7.646589,0.000402,0.000061,499799.000000,3199806.174802,24998.061748,99970.000000,0.000852,4,1
4,12.000000,5.909588,0.002756,0.000307,498622.000000,3199018.596326,24996.045785,99854.000000,0.001277,2,1
8,16.000000,7.808919,0.003012,0.000326,498494.000000,3198956.124975,24995.889607,99846.000000,0.003406,2,1
3,5.000000,4.548926,0.003042,0.000330,498479.000000,3198942.478196,24995.821373,99843.000000,0.000399,2,1
1,5.000000,4.626716,0.000412,0.000062,499794.000000,3199801.548086,24998.015481,99969.000000,0.000133,4,1
16,8.000000,7.995698,0.003298,0.000370,498351.000000,3198814.547027,24995.181717,99827.000000,0.003406,2,1
2,5.000000,5.111099,0.000432,0.000065,499784.000000,3199791.325888,24997.913259,99967.000000,0.000266,4,1
4,11.000000,5.459138,0.003386,0.000377,498307.000000,3198792.710475,24995.127126,99823.000000,0.001171,2,1
