num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.001620,0.000486,99838.000000,639688.878661,4999.598084,19994.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.991735,20.000000,0.000413,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.000440,0.000093,99956.000000,639940.240927,4999.850602,19996.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.988912,20.000000,0.000554,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.002100,0.000612,99790.000000,639608.561238,4999.457631,19988.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.986571,20.000000,0.000671,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.000560,0.000116,99944.000000,639925.574334,4999.813936,19994.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.985015,20.000000,0.000749,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.002860,0.000829,99714.000000,639469.624298,4999.263056,19984.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.979196,20.000000,0.001040,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.003540,0.001006,99646.000000,639355.912576,4999.095507,19980.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.974278,20.000000,0.001286,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.006020,0.001773,99398.000000,638865.313659,4998.478437,19972.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.964660,20.000000,0.001767,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.000830,0.000171,99917.000000,639890.688712,4999.726722,19991.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.962389,20.000000,0.001881,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.000880,0.000180,99912.000000,639884.989481,4999.712474,19990.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.961106,20.000000,0.001945,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.006100,0.001787,99390.000000,638856.400827,4998.457459,19971.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.958975,20.000000,0.002051,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.006280,0.001824,99372.000000,638832.873375,4998.410991,19968.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.957426,20.000000,0.002129,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.000930,0.000189,99907.000000,639879.109332,4999.697773,19989.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.956113,20.000000,0.002194,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.006500,0.001871,99350.000000,638802.336845,4998.355416,19966.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.953075,20.000000,0.002346,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.004020,0.001105,99598.000000,639292.935762,4998.972487,19974.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.962692,20.000000,0.001865,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.001370,0.000282,99863.000000,639819.350259,4999.548376,19985.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.959869,20.000000,0.002007,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.004500,0.001230,99550.000000,639212.618339,4998.832033,19968.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.957528,20.000000,0.002124,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.001490,0.000305,99851.000000,639804.683666,4999.511709,19983.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.955973,20.000000,0.002201,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.005260,0.001447,99474.000000,639073.681399,4998.637458,19964.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.950153,20.000000,0.002492,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.005940,0.001625,99406.000000,638959.969677,4998.469910,19960.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.945235,20.000000,0.002738,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.008420,0.002392,99158.000000,638469.370760,4997.852839,19952.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.935617,20.000000,0.003219,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.001760,0.000360,99824.000000,639769.798043,4999.424495,19980.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.933346,20.000000,0.003333,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.001810,0.000369,99819.000000,639764.098813,4999.410247,19979.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.932063,20.000000,0.003397,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.008500,0.002406,99150.000000,638460.457928,4997.831861,19951.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.929932,20.000000,0.003503,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.008680,0.002442,99132.000000,638436.930476,4997.785393,19948.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.928383,20.000000,0.003581,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.001860,0.000378,99814.000000,639758.218664,4999.395547,19978.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.927070,20.000000,0.003646,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.008900,0.002490,99110.000000,638406.393946,4997.729819,19946.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.924032,20.000000,0.003798,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.010520,0.002976,98948.000000,638095.272607,4997.327903,19940.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.933650,20.000000,0.003318,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.002300,0.000471,99770.000000,639698.459590,4999.246149,19974.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.930826,20.000000,0.003459,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.011000,0.003102,98900.000000,638014.955184,4997.187449,19934.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.928485,20.000000,0.003576,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.002420,0.000494,99758.000000,639683.792997,4999.209482,19972.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.926930,20.000000,0.003654,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.011760,0.003319,98824.000000,637876.018244,4996.992874,19930.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.921111,20.000000,0.003944,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.012440,0.003496,98756.000000,637762.306522,4996.825326,19926.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.916192,20.000000,0.004190,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.014920,0.004263,98508.000000,637271.707605,4996.208256,19918.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.906575,20.000000,0.004671,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.002690,0.000549,99731.000000,639648.907375,4999.122268,19969.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.904303,20.000000,0.004785,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.002740,0.000557,99726.000000,639643.208145,4999.108020,19968.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.903020,20.000000,0.004849,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.015000,0.004277,98500.000000,637262.794773,4996.187278,19917.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.900889,20.000000,0.004956,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.015180,0.004314,98482.000000,637239.267321,4996.140810,19914.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.899341,20.000000,0.005033,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.002790,0.000567,99721.000000,639637.327995,4999.093320,19967.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.898027,20.000000,0.005099,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.015400,0.004361,98460.000000,637208.730791,4996.085235,19912.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.894989,20.000000,0.005251,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.017020,0.004847,98298.000000,636897.609452,4995.683319,19906.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.904607,20.000000,0.004770,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.003230,0.000660,99677.000000,639577.568922,4998.943922,19963.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.901783,20.000000,0.004911,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.017500,0.004973,98250.000000,636817.292029,4995.542866,19900.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.899443,20.000000,0.005028,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.003350,0.000683,99665.000000,639562.902329,4998.907256,19961.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.897887,20.000000,0.005106,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.018260,0.005190,98174.000000,636678.355089,4995.348290,19896.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.892068,20.000000,0.005397,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
