num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.000188,0.000057,63988.000000,255985.333407,3999.963334,15998.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.998444,15.000000,0.000104,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.001188,0.000543,63924.000000,255861.063060,3999.805425,15996.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.992625,15.000000,0.000492,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.002250,0.000987,63856.000000,255747.351338,3999.637876,15992.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.987707,15.000000,0.000820,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.000609,0.000194,63961.000000,255950.447785,3999.876119,15995.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.985436,15.000000,0.000971,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.002375,0.001022,63848.000000,255738.438506,3999.616898,15991.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.983305,15.000000,0.001113,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.002656,0.001114,63830.000000,255714.911054,3999.570431,15988.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.981756,15.000000,0.001216,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.000687,0.000217,63956.000000,255944.567636,3999.861419,15994.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.980443,15.000000,0.001304,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.003000,0.001233,63808.000000,255684.374524,3999.514856,15986.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.977405,15.000000,0.001506,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.003281,0.001461,63790.000000,255625.901846,3999.475064,15988.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.979877,15.000000,0.001342,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.000875,0.000274,63944.000000,255929.901043,3999.824753,15992.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.978322,15.000000,0.001445,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.004469,0.002004,63714.000000,255486.964907,3999.280488,15984.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.972502,15.000000,0.001833,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.001297,0.000410,63917.000000,255895.015420,3999.737539,15989.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.970231,15.000000,0.001985,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.004750,0.002096,63696.000000,255463.437454,3999.234021,15981.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.968682,15.000000,0.002088,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.005094,0.002215,63674.000000,255432.900924,3999.178446,15979.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.965644,15.000000,0.002290,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.007625,0.003431,63512.000000,255121.779585,3998.776530,15973.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.971463,15.000000,0.001902,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.001984,0.000644,63873.000000,255835.256347,3999.588141,15985.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.968640,15.000000,0.002091,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.008813,0.003973,63436.000000,254982.842645,3998.581955,15969.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.962821,15.000000,0.002479,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.012687,0.005890,63188.000000,254492.243729,3997.964884,15961.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.953203,15.000000,0.003120,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.002062,0.000666,63868.000000,255829.557117,3999.573893,15984.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.951919,15.000000,0.003205,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.002141,0.000689,63863.000000,255823.676967,3999.559192,15983.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.950606,15.000000,0.003293,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.015219,0.007105,63026.000000,254181.122389,3997.562969,15955.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.966043,15.000000,0.002264,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.002328,0.000746,63851.000000,255809.010374,3999.522526,15981.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.964488,15.000000,0.002367,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.002750,0.000882,63824.000000,255774.124752,3999.435312,15978.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.962216,15.000000,0.002519,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.015500,0.007197,63008.000000,254157.594937,3997.516501,15952.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.960667,15.000000,0.002622,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.015844,0.007316,62986.000000,254127.058407,3997.460926,15950.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.957629,15.000000,0.002825,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.018375,0.008531,62824.000000,253815.937068,3997.059010,15944.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.957629,15.000000,0.002825,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.003437,0.001116,63780.000000,255714.365679,3999.285914,15974.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.954806,15.000000,0.003013,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.019563,0.009074,62748.000000,253677.000128,3996.864435,15940.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.948986,15.000000,0.003401,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.023438,0.010991,62500.000000,253186.401211,3996.247365,15932.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.939369,15.000000,0.004042,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.003516,0.001138,63775.000000,255708.666448,3999.271666,15973.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.938085,15.000000,0.004128,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.003594,0.001161,63770.000000,255702.786299,3999.256966,15972.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.936772,15.000000,0.004215,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.023781,0.011110,62478.000000,253155.864681,3996.191790,15930.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.933734,15.000000,0.004418,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.003781,0.001218,63758.000000,255688.119706,3999.220299,15970.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.955880,15.000000,0.002941,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.024969,0.011653,62402.000000,253016.927742,3995.997215,15926.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.950061,15.000000,0.003329,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.004203,0.001355,63731.000000,255653.234084,3999.133085,15967.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.947789,15.000000,0.003481,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.025094,0.011687,62394.000000,253008.014910,3995.976237,15925.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.945659,15.000000,0.003623,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.025438,0.011807,62372.000000,252977.478379,3995.920662,15923.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.942621,15.000000,0.003825,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.027969,0.013022,62210.000000,252666.357040,3995.518746,15917.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.940175,15.000000,0.003988,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.004891,0.001588,63687.000000,255593.475011,3998.983688,15963.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.937352,15.000000,0.004177,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.029156,0.013565,62134.000000,252527.420101,3995.324171,15913.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.931533,15.000000,0.004564,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.033031,0.015481,61886.000000,252036.821184,3994.707100,15905.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.921915,15.000000,0.005206,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.004969,0.001610,63682.000000,255587.775780,3998.969439,15962.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.920632,15.000000,0.005291,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.005047,0.001633,63677.000000,255581.895631,3998.954739,15961.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.919318,15.000000,0.005379,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
2,11.000000,15.268265,0.027787,0.003038,1,0.600000,824476116.953639,0.000344,0.000119,63978.000000,255969.463470,3999.944425,15998.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.916280,15.000000,0.005581,1.000000,5.338650,176.800000,225.000000,8.208662,507494.400000,0,0.000000,0.000000,0,0.000194,3,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.005234,0.001691,63665.000000,255567.229038,3998.918073,15959.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.938426,15.000000,0.004105,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.600000,1693492629.655401,0.001531,0.000662,63902.000000,255830.526530,3999.749850,15994.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.932607,15.000000,0.004493,1.000000,5.338650,176.800000,225.000000,8.208662,507494.400000,0,0.000000,0.000000,0,0.000669,3,1
8,31.000000,61.324865,0.077134,0.009618,1,0.600000,2880574312.936782,0.005406,0.002578,63654.000000,255339.927613,3999.132780,15986.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.922989,15.000000,0.005134,1.000000,5.338650,176.800000,225.000000,8.208662,507494.400000,0,0.000000,0.000000,0,0.002183,3,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.005656,0.001827,63638.000000,255532.343416,3998.830859,15956.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.920718,15.000000,0.005285,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.033312,0.015573,61868.000000,252013.293731,3994.660633,15902.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.919169,15.000000,0.005389,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.035844,0.016788,61706.000000,251702.172392,3994.258717,15896.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.926341,15.000000,0.004911,1.000000,1.785276,32.000000,250.000000,9.345170,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.006344,0.002060,63594.000000,255472.584343,3998.681461,15952.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.923518,15.000000,0.005099,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.006422,0.002082,63589.000000,255466.885112,3998.667213,15951.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.922234,15.000000,0.005184,1.000000,1.424540,17.300000,25.100000,5.203929,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
3,6.000000,7.842484,0.015489,0.001549,1,0.500000,1548926307.144075,0.005687,0.002670,63636.000000,255316.400161,3999.086312,15983.000000,64000.000000,256000.000000,4000.000000,16000.000000,14.920686,15.000000,0.005288,1.000000,5.338650,176.800000,225.000000,8.208662,507494.400000,0,0.000000,0.000000,0,0.000158,3,1
