num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
13,41.000000,13.397191,0.025662,0.001783,0,0.000000,4132396895.034423,0.000000,0.000000,360000.000000,960000.000000,15000.000000,0.000000,360000.000000,960000.000000,15000.000000,0.000000,15.000000,15.000000,0.000000,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
8,31.000000,9.728765,0.019548,0.001477,0,0.000000,2909588207.448641,0.000000,0.000000,360000.000000,960000.000000,15000.000000,0.000000,360000.000000,960000.000000,15000.000000,0.000000,15.000000,15.000000,0.000000,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
5,12.000000,5.814270,0.011357,0.000818,0,0.000000,2089279319.899752,0.000000,0.000000,360000.000000,960000.000000,15000.000000,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.999182,15.000000,0.000000,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.001331,1,1
2,6.000000,2.849615,0.006416,0.000571,0,0.000000,854006388.389508,0.000167,0.000030,359940.000000,959970.928648,14999.943214,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.998611,15.000000,0.000055,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,5,0.000000,0.000000,1,0.000266,1,1
1,17.000000,4.195607,0.010326,0.001016,0,0.000000,1065202286.497318,0.000200,0.000036,359928.000000,959965.229417,14999.930382,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.997595,15.000000,0.000093,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,7,0.000000,0.000000,2,0.000377,1,1
2,6.000000,2.940075,0.006567,0.000578,0,0.000000,891697723.135211,0.000247,0.000041,359911.000000,959961.033811,14999.920056,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.997017,15.000000,0.000160,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,8,0.000000,0.000000,3,0.000266,1,1
32,32.000000,7.993547,0.019989,0.000999,0,0.000000,7993547108.021354,0.000281,0.000047,359899.000000,959955.153662,14999.906923,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.997017,15.000000,0.000199,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,10,0.000000,0.000000,4,0.000000,-1,0
5,11.000000,5.675839,0.011126,0.000806,0,0.000000,2031599581.489153,0.000281,0.000047,359899.000000,959955.153662,14999.906923,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.996210,15.000000,0.000199,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,10,0.000000,0.000000,4,0.001220,1,1
8,32.000000,9.922996,0.019872,0.001494,0,0.000000,2974331947.962908,0.000433,0.000076,359844.000000,959926.774467,14999.851291,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.996210,15.000000,0.000253,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,15,0.000000,0.000000,5,0.000000,-1,0
4,9.000000,4.401372,0.009002,0.000700,0,0.000000,1500571555.225445,0.000433,0.000076,359844.000000,959926.774467,14999.851291,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.995510,15.000000,0.000253,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,15,0.000000,0.000000,5,0.000798,1,1
3,7.000000,3.699888,0.007833,0.000642,0,0.000000,1208286865.012854,0.000533,0.000095,359808.000000,959909.168980,14999.815282,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.994869,15.000000,0.000299,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,19,0.000000,0.000000,6,0.000466,1,1
13,41.000000,13.397191,0.025662,0.001783,0,0.000000,4132396895.034423,0.000592,0.000106,359787.000000,959898.069314,14999.791782,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.994869,15.000000,0.000342,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,22,0.000000,0.000000,7,0.000000,-1,0
11,16.000000,4.011337,0.013352,0.000668,0,0.000000,4011336534.289334,0.000592,0.000106,359787.000000,959898.069314,14999.791782,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.994201,15.000000,0.000342,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,22,0.000000,0.000000,7,0.003903,1,1
8,31.000000,9.728765,0.019548,0.001477,0,0.000000,2909588207.448641,0.001081,0.000152,359611.000000,959853.944612,14999.644908,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.994201,15.000000,0.000387,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,33,0.000000,0.000000,8,0.000000,-1,0
5,12.000000,5.814270,0.011357,0.000818,0,0.000000,2089279319.899752,0.001081,0.000152,359611.000000,959853.944612,14999.644908,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.993383,15.000000,0.000387,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,33,0.000000,0.000000,8,0.001331,1,1
2,6.000000,2.849615,0.006416,0.000571,0,0.000000,854006388.389508,0.001247,0.000182,359551.000000,959824.873261,14999.588122,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.992812,15.000000,0.000441,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,38,0.000000,0.000000,9,0.000266,1,1
1,17.000000,4.195607,0.010326,0.001016,0,0.000000,1065202286.497318,0.001281,0.000188,359539.000000,959819.174030,14999.575290,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.991796,15.000000,0.000479,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,40,0.000000,0.000000,10,0.000377,1,1
2,6.000000,2.940075,0.006567,0.000578,0,0.000000,891697723.135211,0.001328,0.000193,359522.000000,959814.978423,14999.564964,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.991218,15.000000,0.000547,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,41,0.000000,0.000000,11,0.000266,1,1
32,32.000000,7.993547,0.019989,0.000999,0,0.000000,7993547108.021354,0.001361,0.000199,359510.000000,959809.098274,14999.551830,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.991218,15.000000,0.000585,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,43,0.000000,0.000000,12,0.000000,-1,0
5,11.000000,5.675839,0.011126,0.000806,0,0.000000,2031599581.489153,0.001361,0.000199,359510.000000,959809.098274,14999.551830,0.000000,360000.000000,960000.000000,15000.000000,0.000000,14.990411,15.000000,0.000585,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,43,0.000000,0.000000,12,0.001220,1,1
