num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
4,8.000000,7.646589,0.000064,0.000010,499968.000000,3199969.413642,24999.694136,0.000000,0.000852,1,1
1,5.000000,4.566410,0.000074,0.000011,499963.000000,3199964.847232,24999.648472,0.000000,0.000133,1,1
1,5.000000,4.626716,0.000084,0.000012,499958.000000,3199960.220516,24999.602205,0.000000,0.000133,1,1
3,6.000000,6.450559,0.000120,0.000018,499940.000000,3199940.868838,24999.408688,0.000000,0.000479,1,1
2,5.000000,5.170067,0.000140,0.000022,499930.000000,3199930.528703,24999.305287,0.000000,0.000266,1,1
2,5.000000,5.133259,0.000160,0.000025,499920.000000,3199920.262185,24999.202622,0.000000,0.000266,1,1
2,5.000000,5.111099,0.000180,0.000028,499910.000000,3199910.039988,24999.100400,0.000000,0.000266,1,1
8,31.000000,7.808919,0.000676,0.000048,499662.000000,3199847.568637,24998.944221,0.000000,0.006600,1,1
1,8.000000,4.065202,0.000692,0.000049,499654.000000,3199843.503434,24998.934058,0.000000,0.000213,1,1
3,6.000000,5.646779,0.000728,0.000054,499636.000000,3199826.563098,24998.865825,0.000000,0.000479,1,1
2,11.000000,4.519162,0.000772,0.000057,499614.000000,3199817.524774,24998.843229,0.000000,0.000585,1,1
9,10.000000,10.155189,0.000952,0.000086,499524.000000,3199726.128075,24998.570901,0.000000,0.002395,1,1
11,12.000000,11.650627,0.001216,0.000126,499392.000000,3199597.971176,24998.210639,0.000000,0.003513,1,1
2,6.000000,5.600914,0.001240,0.000129,499380.000000,3199586.769347,24998.098621,0.000000,0.000319,1,1
6,8.000000,8.022673,0.001336,0.000144,499332.000000,3199538.633309,24997.938394,0.000000,0.001277,1,1
4,19.000000,5.909588,0.001488,0.000152,499256.000000,3199514.994956,24997.879299,0.000000,0.002023,1,1
3,7.000000,6.542847,0.001530,0.000158,499235.000000,3199495.366415,24997.683013,0.000000,0.000559,1,1
16,16.000000,15.987094,0.002042,0.000238,498979.000000,3199239.572908,24997.043357,0.000000,0.006813,1,1
4,20.000000,5.974332,0.002202,0.000245,498899.000000,3199215.675580,24996.983614,0.000000,0.002129,1,1
3,6.000000,6.106980,0.002238,0.000251,498881.000000,3199197.354640,24996.800405,0.000000,0.000479,1,1
6,27.000000,7.132397,0.002562,0.000264,498719.000000,3199154.560259,24996.693419,0.000000,0.004311,1,1
4,8.000000,7.646589,0.002626,0.000274,498687.000000,3199123.973901,24996.387555,0.000000,0.000852,1,1
4,17.000000,5.459138,0.002762,0.000281,498619.000000,3199102.137349,24996.332964,0.000000,0.001810,1,1
1,5.000000,4.566410,0.002772,0.000282,498614.000000,3199097.570939,24996.287300,0.000000,0.000133,1,1
1,5.000000,4.626716,0.002782,0.000283,498609.000000,3199092.944223,24996.241032,0.000000,0.000133,1,1
3,6.000000,6.450559,0.002818,0.000290,498591.000000,3199073.592545,24996.047516,0.000000,0.000479,1,1
3,6.000000,6.106980,0.002854,0.000295,498573.000000,3199055.271605,24995.864306,0.000000,0.000479,1,1
6,27.000000,7.132397,0.003178,0.000309,498411.000000,3199012.477224,24995.757320,0.000000,0.004311,1,1
4,8.000000,7.646589,0.003242,0.000318,498379.000000,3198981.890866,24995.451457,0.000000,0.000852,1,1
4,17.000000,5.459138,0.003378,0.000325,498311.000000,3198960.054314,24995.396865,0.000000,0.001810,1,1
