num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
13,41.000000,13.397191,0.025662,0.001783,0,0.000000,4132396895.034423,0.000833,0.000136,639467.000000,1279825.836521,19999.666394,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.998217,20.000000,0.000089,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,0,1.000000,1.000000,0,0.008865,1,1
7,15.000000,7.469884,0.014116,0.000956,0,0.000000,2779118394.841961,0.000997,0.000177,639362.000000,1279773.547332,19999.567579,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.997261,20.000000,0.000137,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,7,1.000000,1.000000,1,0.001746,1,1
11,16.000000,4.011337,0.013352,0.000668,0,0.000000,4011336534.289334,0.001272,0.000211,639186.000000,1279729.422630,19999.420704,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.996593,20.000000,0.000170,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,18,1.000000,1.000000,2,0.002927,1,1
3,7.000000,3.666648,0.007778,0.000639,0,0.000000,1194436777.007969,0.001305,0.000220,639165.000000,1279718.422685,19999.397371,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.995955,20.000000,0.000202,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,21,1.000000,1.000000,3,0.000349,1,1
8,31.000000,9.728765,0.019548,0.001477,0,0.000000,2909588207.448641,0.001692,0.000281,638917.000000,1279640.592568,19999.240988,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.994477,20.000000,0.000276,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,29,1.000000,1.000000,4,0.004125,1,1
6,28.000000,8.377414,0.017296,0.001365,0,0.000000,2459137891.167374,0.001955,0.000320,638749.000000,1279590.328086,19999.137213,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.993112,20.000000,0.000344,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,35,1.000000,1.000000,5,0.002794,1,1
15,46.000000,15.426757,0.029045,0.001952,0,0.000000,4808918900.698851,0.003033,0.000501,638059.000000,1279358.926736,19998.701545,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.991160,20.000000,0.000442,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,35,1.000000,1.000000,5,0.011476,1,1
5,12.000000,5.814270,0.011357,0.000818,0,0.000000,2089279319.899752,0.003127,0.000524,637999.000000,1279329.855384,19998.644759,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.990342,20.000000,0.000483,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,40,1.000000,1.000000,6,0.000998,1,1
2,6.000000,2.849615,0.006416,0.000571,0,0.000000,854006388.389508,0.003145,0.000528,637987.000000,1279324.156153,19998.631927,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.989772,20.000000,0.000511,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,42,1.000000,1.000000,7,0.000200,1,1
1,17.000000,4.195607,0.010326,0.001016,0,0.000000,1065202286.497318,0.003172,0.000531,637970.000000,1279319.960546,19998.621601,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.988755,20.000000,0.000562,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,43,1.000000,1.000000,8,0.000283,1,1
5,11.000000,2.823389,0.011372,0.000569,0,0.000000,2823389460.716112,0.003258,0.000542,637915.000000,1279305.843599,19998.564739,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.988187,20.000000,0.000591,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,48,1.000000,1.000000,9,0.000915,1,1
2,6.000000,2.940075,0.006567,0.000578,0,0.000000,891697723.135211,0.003277,0.000547,637903.000000,1279299.963450,19998.551606,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.987608,20.000000,0.000620,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,50,1.000000,1.000000,10,0.000200,1,1
