num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
13,41.000000,13.397191,0.025662,0.001783,0,0.000000,4132396895.034423,0.000000,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,20.000000,20.000000,0.000000,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
7,15.000000,7.469884,0.014116,0.000956,0,0.000000,2779118394.841961,0.000000,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.999044,20.000000,0.000000,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.001746,1,1
11,16.000000,4.011337,0.013352,0.000668,0,0.000000,4011336534.289334,0.000164,0.000041,639895.000000,1279947.710811,19999.901185,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.998377,20.000000,0.000048,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,7,0.000000,0.000000,1,0.002927,1,1
3,7.000000,3.666648,0.007778,0.000639,0,0.000000,1194436777.007969,0.000439,0.000075,639719.000000,1279903.586109,19999.754310,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.997738,20.000000,0.000081,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,18,0.000000,0.000000,2,0.000349,1,1
8,31.000000,9.728765,0.019548,0.001477,0,0.000000,2909588207.448641,0.000472,0.000084,639698.000000,1279892.586164,19999.730977,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.996260,20.000000,0.000113,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,21,0.000000,0.000000,3,0.004125,1,1
6,28.000000,8.377414,0.017296,0.001365,0,0.000000,2459137891.167374,0.000859,0.000145,639450.000000,1279814.756047,19999.574593,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.994895,20.000000,0.000187,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,29,0.000000,0.000000,4,0.002794,1,1
15,46.000000,15.426757,0.029045,0.001952,0,0.000000,4808918900.698851,0.001122,0.000184,639282.000000,1279764.491565,19999.470819,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.994895,20.000000,0.000255,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,35,0.000000,0.000000,5,0.000000,-1,0
5,12.000000,5.814270,0.011357,0.000818,0,0.000000,2089279319.899752,0.001122,0.000184,639282.000000,1279764.491565,19999.470819,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.994078,20.000000,0.000255,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,35,0.000000,0.000000,5,0.000998,1,1
2,6.000000,2.849615,0.006416,0.000571,0,0.000000,854006388.389508,0.001216,0.000207,639222.000000,1279735.420213,19999.414034,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.993507,20.000000,0.000296,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,40,0.000000,0.000000,6,0.000200,1,1
1,17.000000,4.195607,0.010326,0.001016,0,0.000000,1065202286.497318,0.001234,0.000211,639210.000000,1279729.720983,19999.401202,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.992491,20.000000,0.000325,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,42,0.000000,0.000000,7,0.000283,1,1
5,11.000000,2.823389,0.011372,0.000569,0,0.000000,2823389460.716112,0.001261,0.000214,639193.000000,1279725.525376,19999.390876,0.000000,640000.000000,1280000.000000,20000.000000,0.000000,19.991922,20.000000,0.000375,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,43,0.000000,0.000000,8,0.000915,1,1
