num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.003200,0.001339,239232.000000,1917429.842465,9994.381862,39976.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.976591,30.000000,0.000780,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
13,55.000000,227.423444,0.491828,0.049183,1,0.000000,21415301275.632950,0.006179,0.002878,238517.000000,1914473.337696,9987.988103,39963.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.927408,30.000000,0.002420,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.006295,3,1
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.009379,0.004217,237749.000000,1911903.180161,9982.369965,39939.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.976591,30.000000,0.000780,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
13,55.000000,227.423444,0.491828,0.049183,1,0.000000,21415301275.632950,0.012358,0.005757,237034.000000,1908946.675391,9975.976206,39926.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.927408,30.000000,0.002420,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.006295,3,1
3,59.000000,254.875890,0.712404,0.071240,1,0.000000,45488459964.044609,0.003687,0.001991,47823.000000,383235.372331,1997.862789,7997.000000,48000.000000,384000.000000,2000.000000,8000.000000,29.856168,30.000000,0.004794,1.000000,1.424540,17.300000,25.100000,3.802619,295959.300000,0,0.000000,0.000000,0,0.000596,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.015558,0.007096,236266.000000,1906376.517857,9970.358068,39902.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.976591,30.000000,0.000780,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
16,63.000000,277.873879,0.581918,0.058192,1,0.000000,26482867333.797211,0.019758,0.009411,235258.000000,1901930.535789,9961.047385,39886.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.918399,30.000000,0.002720,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.008874,3,1
13,55.000000,227.423444,0.491828,0.049183,1,0.000000,21415301275.632950,0.022737,0.010951,234543.000000,1898974.031019,9954.653627,39873.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.869217,30.000000,0.004359,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.006295,3,1
3,59.000000,254.875890,0.712404,0.071240,1,0.000000,45488459964.044609,0.007375,0.003982,47646.000000,382470.744662,1995.725577,7994.000000,48000.000000,384000.000000,2000.000000,8000.000000,29.797976,30.000000,0.006734,1.000000,1.424540,17.300000,25.100000,3.802619,295959.300000,0,0.000000,0.000000,0,0.000596,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.025937,0.012290,233775.000000,1896403.873485,9949.035488,39849.000000,240000.000000,1920000.000000,10000.000000,40000.000000,29.976591,30.000000,0.000780,1.000000,5.338650,176.800000,225.000000,5.805774,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.014667,0.008890,47296.000000,380586.313958,1991.142267,7989.000000,48000.000000,384000.000000,2000.000000,8000.000000,29.884925,30.000000,0.003836,1.000000,1.424540,17.300000,25.100000,3.802619,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
