num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.000208,0.000037,4799.000000,19199.287596,599.998717,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999872,5.000000,0.000026,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,1,1.000000,1.000000,1,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.000417,0.000075,4798.000000,19198.552578,599.997403,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999740,5.000000,0.000052,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,2,1.000000,1.000000,2,0.000067,1,1
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.000625,0.000112,4797.000000,19197.840174,599.996120,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999612,5.000000,0.000078,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,3,1.000000,1.000000,3,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.000833,0.000151,4796.000000,19197.105155,599.994807,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999481,5.000000,0.000104,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,4,1.000000,1.000000,4,0.000067,1,1
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.001042,0.000188,4795.000000,19196.392751,599.993524,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999352,5.000000,0.000130,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,5,1.000000,1.000000,5,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.001250,0.000226,4794.000000,19195.657733,599.992210,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999221,5.000000,0.000156,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,6,1.000000,1.000000,6,0.000067,1,1
2,1.000000,0.916662,0.001556,0.000156,0,0.000000,21110988.432128,0.001667,0.000322,4792.000000,19193.824408,599.989099,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999065,5.000000,0.000187,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,8,1.000000,1.000000,7,0.000133,1,1
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.001875,0.000359,4791.000000,19193.112005,599.987816,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998937,5.000000,0.000213,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,9,1.000000,1.000000,8,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.002083,0.000397,4790.000000,19192.376986,599.986503,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998806,5.000000,0.000239,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,10,1.000000,1.000000,9,0.000067,1,1
2,1.000000,0.916662,0.001556,0.000156,0,0.000000,21110988.432128,0.002500,0.000493,4788.000000,19190.543662,599.983392,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998650,5.000000,0.000270,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,12,1.000000,1.000000,10,0.000133,1,1
