num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.000000,0.000000,4800.000000,19200.000000,600.000000,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999872,5.000000,0.000000,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.000208,0.000037,4799.000000,19199.287596,599.998717,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999740,5.000000,0.000026,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,1,0.000000,0.000000,1,0.000067,1,1
2,1.000000,0.916662,0.001556,0.000156,0,0.000000,21110988.432128,0.000417,0.000075,4798.000000,19198.552578,599.997403,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999585,5.000000,0.000052,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,2,0.000000,0.000000,2,0.000133,1,1
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.000833,0.000171,4796.000000,19196.719253,599.994292,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999456,5.000000,0.000083,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,4,0.000000,0.000000,3,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.001042,0.000208,4795.000000,19196.006850,599.993009,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999325,5.000000,0.000109,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,5,0.000000,0.000000,4,0.000067,1,1
2,1.000000,0.916662,0.001556,0.000156,0,0.000000,21110988.432128,0.001250,0.000246,4794.000000,19195.271831,599.991696,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999170,5.000000,0.000135,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,6,0.000000,0.000000,5,0.000133,1,1
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.001667,0.000342,4792.000000,19193.438507,599.988585,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.999041,5.000000,0.000166,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,8,0.000000,0.000000,6,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.001875,0.000379,4791.000000,19192.726103,599.987301,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998910,5.000000,0.000192,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,9,0.000000,0.000000,7,0.000067,1,1
2,1.000000,0.916662,0.001556,0.000156,0,0.000000,21110988.432128,0.002083,0.000417,4790.000000,19191.991084,599.985988,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998754,5.000000,0.000218,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,10,0.000000,0.000000,8,0.000133,1,1
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.002500,0.000513,4788.000000,19190.157760,599.982877,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998626,5.000000,0.000249,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,12,0.000000,0.000000,9,0.000067,1,1
1,1.000000,0.735019,0.001313,0.000131,0,0.000000,16267163.570163,0.002708,0.000550,4787.000000,19189.445356,599.981594,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998495,5.000000,0.000275,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,13,0.000000,0.000000,10,0.000067,1,1
2,1.000000,0.916662,0.001556,0.000156,0,0.000000,21110988.432128,0.002917,0.000588,4786.000000,19188.710338,599.980280,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998339,5.000000,0.000301,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,14,0.000000,0.000000,11,0.000133,1,1
1,1.000000,0.712404,0.001283,0.000128,0,0.000000,15664102.214232,0.003333,0.000683,4784.000000,19186.877014,599.977169,0.000000,4800.000000,19200.000000,600.000000,0.000000,4.998211,5.000000,0.000332,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,16,0.000000,0.000000,12,0.000067,1,1
