num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
3,5.000000,10.681782,0.000030,0.000010,499985.000000,3199967.954654,24999.919887,99997.000000,0.000399,2,1
2,12.000000,11.819176,0.000078,0.000017,499961.000000,3199944.316301,24999.890339,99995.000000,0.000639,2,1
2,11.000000,10.918276,0.000122,0.000024,499939.000000,3199922.479749,24999.863043,99993.000000,0.000585,2,1
3,7.000000,13.085694,0.000164,0.000036,499918.000000,3199883.222668,24999.666758,99990.000000,0.000559,2,1
8,8.000000,15.991396,0.000292,0.000076,499854.000000,3199755.291499,24999.346930,99982.000000,0.001703,2,1
2,12.000000,11.948664,0.000340,0.000084,499830.000000,3199731.394171,24999.317058,99980.000000,0.000639,2,1
3,6.000000,12.213960,0.000376,0.000095,499812.000000,3199694.752292,24999.133849,99977.000000,0.000479,2,1
3,14.000000,14.461796,0.000460,0.000109,499770.000000,3199651.366903,24999.079617,99974.000000,0.001118,2,1
1,4.000000,8.558042,0.000468,0.000112,499766.000000,3199642.808861,24999.036827,99973.000000,0.000106,2,1
3,14.000000,14.264794,0.000552,0.000125,499724.000000,3199600.014479,24998.983334,99970.000000,0.001118,2,1
4,8.000000,15.293179,0.000616,0.000144,499692.000000,3199538.841764,24998.677470,99966.000000,0.000852,2,1
4,16.000000,15.617838,0.000744,0.000164,499628.000000,3199476.370413,24998.599381,99962.000000,0.001703,2,1
1,8.000000,8.130405,0.000760,0.000166,499620.000000,3199468.240008,24998.589218,99961.000000,0.000213,2,1
2,5.000000,9.097853,0.000780,0.000172,499610.000000,3199450.044303,24998.543729,99959.000000,0.000266,2,1
1,9.000000,9.038324,0.000798,0.000175,499601.000000,3199441.005979,24998.532431,99958.000000,0.000240,2,1
5,6.000000,12.103459,0.000858,0.000194,499571.000000,3199380.488684,24998.381138,99953.000000,0.000798,2,1
5,7.000000,13.100418,0.000928,0.000214,499536.000000,3199314.986593,24998.217382,99948.000000,0.000931,2,1
2,6.000000,11.201829,0.000952,0.000221,499524.000000,3199292.582935,24998.105364,99946.000000,0.000319,2,1
3,6.000000,12.207963,0.000988,0.000233,499506.000000,3199255.959047,24997.922245,99943.000000,0.000479,2,1
2,5.000000,10.222198,0.001008,0.000239,499496.000000,3199235.514651,24997.820023,99941.000000,0.000266,2,1
2,11.000000,10.918276,0.001052,0.000246,499474.000000,3199213.678100,24997.792727,99939.000000,0.000585,2,1
1,5.000000,9.132820,0.001062,0.000249,499469.000000,3199204.545279,24997.747063,99938.000000,0.000133,2,1
1,5.000000,9.253433,0.001072,0.000251,499464.000000,3199195.291847,24997.700796,99937.000000,0.000133,2,1
3,6.000000,12.901119,0.001108,0.000264,499446.000000,3199156.588491,24997.507279,99934.000000,0.000479,2,1
3,6.000000,12.213960,0.001144,0.000275,499428.000000,3199119.946611,24997.324069,99931.000000,0.000479,2,1
