num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.000211,0.000203,383919.000000,3071377.757322,11997.520562,47997.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.917352,40.000000,0.002066,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,3,1.000000,1.000000,1,0.001347,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.000523,0.000510,383799.000000,3070432.921289,11993.785620,47995.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.730605,40.000000,0.006735,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,3,1.000000,1.000000,1,0.001996,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.000612,0.000584,383765.000000,3070205.497845,11992.801965,47993.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.681422,40.000000,0.007964,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,5,1.000000,1.000000,2,0.000566,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.000935,0.000904,383641.000000,3069224.300011,11988.954830,47989.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.585244,40.000000,0.010369,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,9,1.000000,1.000000,3,0.002062,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.001180,0.001131,383547.000000,3068526.702303,11986.047694,47987.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.439887,40.000000,0.014003,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,9,1.000000,1.000000,3,0.001563,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.000935,0.000904,383641.000000,3069224.300011,11988.954830,47989.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.585244,40.000000,0.010369,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,9,1.000000,1.000000,3,0.001996,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.001258,0.001223,383517.000000,3068243.102178,11985.107694,47985.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.489065,40.000000,0.012773,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,13,1.000000,1.000000,4,0.002062,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.001279,0.001235,383509.000000,3068207.450850,11984.894654,47984.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.467761,40.000000,0.013306,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,14,1.000000,1.000000,5,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,1,0.850000,7058473651.790281,0.001310,0.001255,383497.000000,3068144.710976,11984.584869,47982.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.452272,40.000000,0.013693,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,16,1.000000,1.000000,6,0.000200,2,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.001521,0.001458,383416.000000,3067522.468298,11982.105431,47979.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.556371,40.000000,0.011091,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,19,1.000000,1.000000,7,0.001347,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.001833,0.001765,383296.000000,3066577.632265,11978.370488,47977.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.369624,40.000000,0.015759,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,19,1.000000,1.000000,7,0.001996,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.002156,0.002084,383172.000000,3065596.434432,11974.523353,47973.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.273446,40.000000,0.018164,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,23,1.000000,1.000000,8,0.002062,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.002401,0.002312,383078.000000,3064898.836723,11971.616218,47971.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.128089,40.000000,0.021798,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,23,1.000000,1.000000,8,0.001563,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.002714,0.002619,382958.000000,3063954.000691,11967.881276,47969.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.273446,40.000000,0.018164,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,23,1.000000,1.000000,8,0.001996,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.003036,0.002939,382834.000000,3062972.802857,11964.034141,47965.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.177267,40.000000,0.020568,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,27,1.000000,1.000000,9,0.002062,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.003057,0.002950,382826.000000,3062937.151529,11963.821101,47964.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.155963,40.000000,0.021101,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,28,1.000000,1.000000,10,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,1,0.850000,7058473651.790281,0.003089,0.002971,382814.000000,3062874.411656,11963.511315,47962.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.140474,40.000000,0.021488,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,30,1.000000,1.000000,11,0.000200,2,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.003299,0.003173,382733.000000,3062252.168977,11961.031877,47959.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.244573,40.000000,0.018886,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,33,1.000000,1.000000,12,0.001347,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.003612,0.003481,382613.000000,3061307.332944,11957.296935,47957.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.057826,40.000000,0.023554,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,33,1.000000,1.000000,12,0.001996,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.003935,0.003800,382489.000000,3060326.135111,11953.449800,47953.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.961648,40.000000,0.025959,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,37,1.000000,1.000000,13,0.002062,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.004180,0.004027,382395.000000,3059628.537402,11950.542665,47951.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.816291,40.000000,0.029593,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,37,1.000000,1.000000,13,0.001563,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.004492,0.004335,382275.000000,3058683.701370,11946.807723,47949.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.961648,40.000000,0.025959,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,37,1.000000,1.000000,13,0.001996,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.004815,0.004654,382151.000000,3057702.503536,11942.960588,47945.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.865469,40.000000,0.028363,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,41,1.000000,1.000000,14,0.002062,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.005060,0.004881,382057.000000,3057004.905828,11940.053452,47943.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.720113,40.000000,0.031997,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,41,1.000000,1.000000,14,0.001563,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.005372,0.005189,381937.000000,3056060.069795,11936.318510,47941.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.865469,40.000000,0.028363,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,41,1.000000,1.000000,14,0.001996,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.005695,0.005508,381813.000000,3055078.871961,11932.471375,47937.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.769291,40.000000,0.030768,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,45,1.000000,1.000000,15,0.002062,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.005716,0.005520,381805.000000,3055043.220633,11932.258335,47936.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.747987,40.000000,0.031300,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,46,1.000000,1.000000,16,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,1,0.850000,7058473651.790281,0.005747,0.005540,381793.000000,3054980.480760,11931.948549,47934.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.732498,40.000000,0.031688,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,48,1.000000,1.000000,17,0.000200,2,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.005958,0.005743,381712.000000,3054358.238082,11929.469111,47931.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.836597,40.000000,0.029085,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,51,1.000000,1.000000,18,0.001347,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.006271,0.006050,381592.000000,3053413.402049,11925.734169,47929.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.649850,40.000000,0.033754,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,51,1.000000,1.000000,18,0.001996,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.006594,0.006370,381468.000000,3052432.204215,11921.887034,47925.000000,384000.000000,3072000.000000,12000.000000,48000.000000,38.553671,40.000000,0.036158,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,55,1.000000,1.000000,19,0.002062,2,1
