num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.000000,0.000000,320000.000000,2560000.000000,10000.000000,40000.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.908334,40.000000,0.000000,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,0,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.000091,0.000074,319971.000000,2559811.556930,9999.083338,39999.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.859151,40.000000,0.002292,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,1,0.000000,0.000000,1,0.000566,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.000197,0.000162,319937.000000,2559584.133486,9998.099683,39997.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.787911,40.000000,0.003521,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,3,0.000000,0.000000,2,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.000269,0.000212,319914.000000,2559456.695541,9997.387279,39996.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.766607,40.000000,0.005302,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,4,0.000000,0.000000,3,0.000133,2,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.000294,0.000226,319906.000000,2559421.044213,9997.174238,39995.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.674940,40.000000,0.005835,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,5,0.000000,0.000000,4,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.000384,0.000300,319877.000000,2559232.601142,9996.257576,39994.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.625758,40.000000,0.008126,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,6,0.000000,0.000000,5,0.000566,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.000491,0.000389,319843.000000,2559005.177699,9995.273921,39992.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.625758,40.000000,0.009356,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,8,0.000000,0.000000,6,0.000000,-1,0
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.000491,0.000389,319843.000000,2559005.177699,9995.273921,39992.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.554517,40.000000,0.009356,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,8,0.000000,0.000000,6,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.000563,0.000438,319820.000000,2558877.739754,9994.561517,39991.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.533213,40.000000,0.011137,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,9,0.000000,0.000000,7,0.000133,2,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.000587,0.000452,319812.000000,2558842.088426,9994.348477,39990.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.441547,40.000000,0.011670,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,10,0.000000,0.000000,8,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.000678,0.000526,319783.000000,2558653.645355,9993.431815,39989.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.392364,40.000000,0.013961,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,11,0.000000,0.000000,9,0.000566,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.000784,0.000615,319749.000000,2558426.221912,9992.448160,39987.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.321124,40.000000,0.015191,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,13,0.000000,0.000000,10,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.000856,0.000665,319726.000000,2558298.783967,9991.735756,39986.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.299820,40.000000,0.016972,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,14,0.000000,0.000000,11,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.000000,0.000000,64000.000000,512000.000000,2000.000000,0.000000,64000.000000,512000.000000,2000.000000,0.000000,39.284331,40.000000,0.017505,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,12,0.000200,1,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.000881,0.000678,319718.000000,2558263.132639,9991.522715,39985.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.201683,40.000000,0.017892,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,15,0.000000,0.000000,13,0.001347,2,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.001134,0.000922,319637.000000,2557640.889960,9989.043277,39982.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.110016,40.000000,0.019958,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,18,0.000000,0.000000,14,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.001225,0.000995,319608.000000,2557452.446890,9988.126615,39981.000000,320000.000000,2560000.000000,10000.000000,40000.000000,39.060834,40.000000,0.022250,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,19,0.000000,0.000000,15,0.000566,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.001331,0.001084,319574.000000,2557225.023446,9987.142960,39979.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.989593,40.000000,0.023479,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,21,0.000000,0.000000,16,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.001403,0.001134,319551.000000,2557097.585501,9986.430556,39978.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.968289,40.000000,0.025260,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,22,0.000000,0.000000,17,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.000188,0.000123,63988.000000,511937.260127,1999.690215,0.000000,64000.000000,512000.000000,2000.000000,0.000000,38.952800,40.000000,0.025793,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,2,0.000000,0.000000,18,0.000200,1,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.001428,0.001148,319543.000000,2557061.934173,9986.217516,39977.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.870152,40.000000,0.026180,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,23,0.000000,0.000000,19,0.001347,2,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.001681,0.001391,319462.000000,2556439.691495,9983.738078,39974.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.778486,40.000000,0.028246,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,26,0.000000,0.000000,20,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.001772,0.001464,319433.000000,2556251.248424,9982.821416,39973.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.729303,40.000000,0.030538,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,27,0.000000,0.000000,21,0.000566,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.001878,0.001553,319399.000000,2556023.824981,9981.837760,39971.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.658063,40.000000,0.031767,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,29,0.000000,0.000000,22,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.001950,0.001603,319376.000000,2555896.387036,9981.125357,39970.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.636759,40.000000,0.033548,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,30,0.000000,0.000000,23,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.000375,0.000245,63976.000000,511874.520254,1999.380429,0.000000,64000.000000,512000.000000,2000.000000,0.000000,38.621269,40.000000,0.034081,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,4,0.000000,0.000000,24,0.000200,1,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.001975,0.001617,319368.000000,2555860.735708,9980.912316,39969.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.538621,40.000000,0.034468,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,31,0.000000,0.000000,25,0.001347,2,1
3,8.000000,53.544949,0.234089,0.023409,0,0.000000,10028341335.723335,0.000563,0.000368,63964.000000,511811.780380,1999.070644,0.000000,64000.000000,512000.000000,2000.000000,0.000000,38.515213,40.000000,0.036534,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,6,0.000000,0.000000,26,0.000399,1,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.002228,0.001860,319287.000000,2555238.493029,9978.432878,39966.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.423546,40.000000,0.037120,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,34,0.000000,0.000000,27,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.002319,0.001934,319258.000000,2555050.049959,9977.516216,39965.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.374364,40.000000,0.039411,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,35,0.000000,0.000000,28,0.000566,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.002425,0.002022,319224.000000,2554822.626515,9976.532561,39963.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.374364,40.000000,0.040641,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,37,0.000000,0.000000,29,0.000000,-1,0
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.002425,0.002022,319224.000000,2554822.626515,9976.532561,39963.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.303123,40.000000,0.040641,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,37,0.000000,0.000000,29,0.000383,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.000938,0.000681,63940.000000,511651.145534,1998.368377,0.000000,64000.000000,512000.000000,2000.000000,0.000000,38.287634,40.000000,0.042422,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,9,0.000000,0.000000,30,0.000200,1,1
3,8.000000,53.544949,0.234089,0.023409,0,0.000000,10028341335.723335,0.001125,0.000804,63928.000000,511588.405661,1998.058592,0.000000,64000.000000,512000.000000,2000.000000,0.000000,38.264225,40.000000,0.042809,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,11,0.000000,0.000000,31,0.000399,1,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.002497,0.002072,319201.000000,2554695.188570,9975.820157,39962.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.172559,40.000000,0.043394,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,38,0.000000,0.000000,32,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.002587,0.002146,319172.000000,2554506.745500,9974.903495,39961.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.123376,40.000000,0.045686,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,39,0.000000,0.000000,33,0.000566,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.002694,0.002235,319138.000000,2554279.322056,9973.919840,39959.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.052136,40.000000,0.046916,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,41,0.000000,0.000000,34,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.002766,0.002284,319115.000000,2554151.884111,9973.207436,39958.000000,320000.000000,2560000.000000,10000.000000,40000.000000,38.030832,40.000000,0.048697,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,42,0.000000,0.000000,35,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.001500,0.001118,63904.000000,511427.770815,1997.356324,0.000000,64000.000000,512000.000000,2000.000000,0.000000,38.015342,40.000000,0.049229,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,14,0.000000,0.000000,36,0.000200,1,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.002791,0.002298,319107.000000,2554116.232783,9972.994395,39957.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.932694,40.000000,0.049616,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,43,0.000000,0.000000,37,0.001347,2,1
3,8.000000,53.544949,0.234089,0.023409,0,0.000000,10028341335.723335,0.001687,0.001240,63892.000000,511365.030942,1997.046539,0.000000,64000.000000,512000.000000,2000.000000,0.000000,37.909285,40.000000,0.051683,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,16,0.000000,0.000000,38,0.000399,1,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.003044,0.002541,319026.000000,2553493.990105,9970.514957,39954.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.817619,40.000000,0.052268,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,46,0.000000,0.000000,39,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.003134,0.002615,318997.000000,2553305.547034,9969.598295,39953.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.768437,40.000000,0.054560,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,47,0.000000,0.000000,40,0.000566,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.003241,0.002704,318963.000000,2553078.123591,9968.614640,39951.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.697196,40.000000,0.055789,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,49,0.000000,0.000000,41,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.003313,0.002754,318940.000000,2552950.685646,9967.902236,39950.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.675892,40.000000,0.057570,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,50,0.000000,0.000000,42,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.002062,0.001554,63868.000000,511204.396096,1996.344272,0.000000,64000.000000,512000.000000,2000.000000,0.000000,37.660403,40.000000,0.058103,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,19,0.000000,0.000000,43,0.000200,1,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.003337,0.002768,318932.000000,2552915.034318,9967.689196,39949.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.577755,40.000000,0.058490,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,51,0.000000,0.000000,44,0.001347,2,1
3,8.000000,53.544949,0.234089,0.023409,0,0.000000,10028341335.723335,0.002250,0.001676,63856.000000,511141.656223,1996.034487,0.000000,64000.000000,512000.000000,2000.000000,0.000000,37.554346,40.000000,0.060556,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,21,0.000000,0.000000,45,0.000399,1,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.003591,0.003011,318851.000000,2552292.791639,9965.209758,39946.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.462680,40.000000,0.061141,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,54,0.000000,0.000000,46,0.000482,2,1
2,19.000000,138.936940,0.581918,0.058192,0,0.000000,29095882074.486408,0.002625,0.001990,63832.000000,510981.021377,1995.332219,0.000000,64000.000000,512000.000000,2000.000000,0.000000,37.404488,40.000000,0.063433,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,24,0.000000,0.000000,47,0.000632,1,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.003681,0.003084,318822.000000,2552104.348569,9964.293096,39945.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.355305,40.000000,0.064888,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,55,0.000000,0.000000,48,0.000566,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.003788,0.003173,318788.000000,2551876.925125,9963.309440,39943.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.284065,40.000000,0.066117,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,57,0.000000,0.000000,49,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.003859,0.003223,318765.000000,2551749.487180,9962.597037,39942.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.262761,40.000000,0.067898,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,58,0.000000,0.000000,50,0.000133,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.003219,0.002533,63794.000000,510703.147498,1994.168384,0.000000,64000.000000,512000.000000,2000.000000,0.000000,37.247272,40.000000,0.068431,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,26,0.000000,0.000000,51,0.000200,1,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.003884,0.003237,318757.000000,2551713.835852,9962.383996,39941.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.164624,40.000000,0.068818,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,59,0.000000,0.000000,52,0.001347,2,1
3,8.000000,53.544949,0.234089,0.023409,0,0.000000,10028341335.723335,0.003406,0.002655,63782.000000,510640.407625,1993.858599,0.000000,64000.000000,512000.000000,2000.000000,0.000000,37.141215,40.000000,0.070884,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,28,0.000000,0.000000,53,0.000399,1,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.004138,0.003480,318676.000000,2551091.593174,9959.904558,39938.000000,320000.000000,2560000.000000,10000.000000,40000.000000,37.049549,40.000000,0.071470,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,62,0.000000,0.000000,54,0.000482,2,1
2,19.000000,138.936940,0.581918,0.058192,0,0.000000,29095882074.486408,0.003781,0.002969,63758.000000,510479.772779,1993.156331,0.000000,64000.000000,512000.000000,2000.000000,0.000000,36.991357,40.000000,0.073761,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,31,0.000000,0.000000,55,0.000632,1,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.004228,0.003553,318647.000000,2550903.150104,9958.987896,39937.000000,320000.000000,2560000.000000,10000.000000,40000.000000,36.942174,40.000000,0.075216,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,63,0.000000,0.000000,56,0.000566,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.004334,0.003642,318613.000000,2550675.726660,9958.004241,39935.000000,320000.000000,2560000.000000,10000.000000,40000.000000,36.942174,40.000000,0.076446,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,65,0.000000,0.000000,57,0.000000,-1,0
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.004334,0.003642,318613.000000,2550675.726660,9958.004241,39935.000000,320000.000000,2560000.000000,10000.000000,40000.000000,36.870934,40.000000,0.076446,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,65,0.000000,0.000000,57,0.000383,2,1
2,6.000000,31.369937,0.154893,0.015489,0,0.000000,7058473651.790281,0.004375,0.003512,63720.000000,510201.898900,1991.992496,0.000000,64000.000000,512000.000000,2000.000000,0.000000,36.855444,40.000000,0.078227,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,33,0.000000,0.000000,58,0.000200,1,1
3,8.000000,53.544949,0.234089,0.023409,0,0.000000,10028341335.723335,0.004563,0.003634,63708.000000,510139.159026,1991.682711,0.000000,64000.000000,512000.000000,2000.000000,0.000000,36.832035,40.000000,0.078614,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,35,0.000000,0.000000,59,0.000399,1,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.004406,0.003692,318590.000000,2550548.288715,9957.291837,39934.000000,320000.000000,2560000.000000,10000.000000,40000.000000,36.740369,40.000000,0.079199,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,66,0.000000,0.000000,60,0.000482,2,1
2,19.000000,138.936940,0.581918,0.058192,0,0.000000,29095882074.486408,0.004938,0.003948,63684.000000,509978.524180,1990.980444,0.000000,64000.000000,512000.000000,2000.000000,0.000000,36.682177,40.000000,0.081491,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,38,0.000000,0.000000,61,0.000632,1,1
