num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
13,27.000000,14.264794,0.000702,0.000058,499649.000000,3199814.557681,24999.564591,99987.000000,0.009341,2,1
7,15.000000,14.939768,0.000912,0.000091,499544.000000,3199709.979303,24998.518808,99980.000000,0.002794,2,1
12,8.000000,8.022673,0.001104,0.000121,499448.000000,3199613.707226,24998.037447,99968.000000,0.002555,2,1
3,11.000000,9.038324,0.001170,0.000129,499415.000000,3199586.592255,24997.995766,99965.000000,0.000878,2,1
17,10.000000,10.155189,0.001510,0.000183,499245.000000,3199413.954047,24997.132575,99948.000000,0.004524,2,1
3,8.000000,7.510201,0.001558,0.000190,499221.000000,3199391.423442,24996.907269,99945.000000,0.000639,2,1
13,27.000000,14.461796,0.002260,0.000249,498870.000000,3199203.420092,24996.462256,99932.000000,0.009341,2,1
1,5.000000,4.837063,0.002270,0.000250,498865.000000,3199198.583029,24996.413886,99931.000000,0.000133,2,1
5,10.000000,10.311944,0.002370,0.000267,498815.000000,3199147.023308,24995.898289,99926.000000,0.001331,2,1
8,6.000000,6.306566,0.002466,0.000282,498767.000000,3199096.570779,24995.646026,99918.000000,0.001277,2,1
5,10.000000,10.150424,0.002566,0.000298,498717.000000,3199045.818657,24995.138505,99913.000000,0.001331,2,1
8,15.000000,15.169718,0.002806,0.000336,498597.000000,3198924.460917,24993.924927,99905.000000,0.003193,2,1
3,7.000000,7.411521,0.002848,0.000343,498576.000000,3198902.226354,24993.702582,99902.000000,0.000559,2,1
9,7.000000,6.747618,0.002974,0.000362,498513.000000,3198841.497792,24993.398939,99893.000000,0.001677,2,1
7,15.000000,14.939768,0.001780,0.000278,499110.000000,3199110.365083,24993.233576,99912.000000,0.002794,2,1
8,19.000000,11.819176,0.002084,0.000308,498958.000000,3199015.811672,24993.039001,99904.000000,0.004045,2,1
5,12.000000,11.628541,0.002204,0.000326,498898.000000,3198957.668968,24992.457574,99899.000000,0.001597,2,1
1,8.000000,8.130405,0.002220,0.000328,498890.000000,3198949.538563,24992.447085,99898.000000,0.000213,2,1
2,6.000000,5.880149,0.002244,0.000332,498878.000000,3198937.778265,24992.329482,99896.000000,0.000319,2,1
5,10.000000,10.320940,0.002344,0.000348,498828.000000,3198886.173566,24991.813435,99891.000000,0.001331,2,1
3,7.000000,7.399777,0.002386,0.000355,498807.000000,3198863.974236,24991.591442,99888.000000,0.000559,2,1
13,27.000000,14.461796,0.003088,0.000414,498456.000000,3198675.970885,24991.146429,99875.000000,0.009341,2,1
8,6.000000,6.306566,0.003184,0.000430,498408.000000,3198625.518356,24990.894166,99867.000000,0.001277,2,1
7,15.000000,14.826497,0.003394,0.000462,498303.000000,3198521.732878,24989.856312,99860.000000,0.002794,2,1
3,7.000000,7.199989,0.003436,0.000469,498282.000000,3198500.132911,24989.640312,99857.000000,0.000559,2,1
8,15.000000,15.169718,0.003676,0.000507,498162.000000,3198378.775171,24988.426735,99849.000000,0.003193,2,1
11,25.000000,13.502891,0.004226,0.000553,497887.000000,3198230.243368,24988.089740,99838.000000,0.007318,2,1
7,14.000000,13.950413,0.004422,0.000584,497789.000000,3198132.590477,24987.113211,99831.000000,0.002608,2,1
12,8.000000,8.022673,0.004614,0.000614,497693.000000,3198036.318400,24986.631851,99819.000000,0.002555,2,1
5,12.000000,11.628541,0.004734,0.000632,497633.000000,3197978.175696,24986.050424,99814.000000,0.001597,2,1
32,16.000000,15.987094,0.005758,0.000792,497121.000000,3197466.588681,24983.492489,99782.000000,0.013625,2,1
21,12.000000,11.650627,0.006262,0.000868,496869.000000,3197221.925510,24982.269173,99761.000000,0.006706,2,1
13,27.000000,14.461796,0.006964,0.000927,496518.000000,3197033.922160,24981.824161,99748.000000,0.009341,2,1
5,10.000000,10.311944,0.007064,0.000943,496468.000000,3196982.362439,24981.308563,99743.000000,0.001331,2,1
2,10.000000,8.513371,0.007104,0.000948,496448.000000,3196965.335697,24981.284713,99741.000000,0.000532,2,1
9,7.000000,6.859359,0.007230,0.000968,496385.000000,3196903.601462,24980.976042,99732.000000,0.001677,2,1
15,9.000000,9.251651,0.007500,0.001011,496250.000000,3196764.826695,24980.282168,99717.000000,0.003593,2,1
3,7.000000,7.411521,0.007542,0.001018,496229.000000,3196742.592133,24980.059822,99714.000000,0.000559,2,1
5,12.000000,11.679746,0.007662,0.001036,496169.000000,3196684.193404,24979.475835,99709.000000,0.001597,2,1
3,8.000000,8.204322,0.007710,0.001044,496145.000000,3196659.580437,24979.229705,99706.000000,0.000639,2,1
7,15.000000,14.939768,0.007920,0.001077,496040.000000,3196555.002059,24978.183922,99699.000000,0.002794,2,1
5,12.000000,11.628541,0.008040,0.001095,495980.000000,3196496.859355,24977.602495,99694.000000,0.001597,2,1
6,6.000000,5.646779,0.008112,0.001105,495944.000000,3196462.978682,24977.433091,99688.000000,0.000958,2,1
8,20.000000,11.948664,0.008432,0.001135,495784.000000,3196367.389371,24977.234631,99680.000000,0.004258,2,1
4,9.000000,8.802743,0.008504,0.001146,495748.000000,3196332.178397,24976.882522,99676.000000,0.000958,2,1
3,7.000000,7.399777,0.008546,0.001153,495727.000000,3196309.979066,24976.660528,99673.000000,0.000559,2,1
13,27.000000,14.461796,0.009248,0.001212,495376.000000,3196121.975716,24976.215516,99660.000000,0.009341,2,1
5,10.000000,10.311944,0.009348,0.001228,495326.000000,3196070.415995,24975.699918,99655.000000,0.001331,2,1
16,9.000000,9.492421,0.009636,0.001275,495182.000000,3195918.537261,24974.940525,99639.000000,0.003832,2,1
9,7.000000,6.859359,0.009762,0.001295,495119.000000,3195856.803026,24974.631854,99630.000000,0.001677,2,1
3,7.000000,7.411521,0.009804,0.001302,495098.000000,3195834.568464,24974.409508,99627.000000,0.000559,2,1
5,12.000000,11.679746,0.009924,0.001320,495038.000000,3195776.169735,24973.825521,99622.000000,0.001597,2,1
15,9.000000,9.281254,0.010194,0.001363,494903.000000,3195636.950920,24973.129427,99607.000000,0.003593,2,1
7,15.000000,14.939768,0.010404,0.001396,494798.000000,3195532.372542,24972.083643,99600.000000,0.002794,2,1
15,31.000000,15.617838,0.011334,0.001469,494333.000000,3195298.104975,24971.505140,99585.000000,0.012375,2,1
5,12.000000,11.628541,0.011454,0.001488,494273.000000,3195239.962271,24970.923712,99580.000000,0.001597,2,1
3,11.000000,9.038324,0.011520,0.001496,494240.000000,3195212.847300,24970.882031,99577.000000,0.000878,2,1
32,16.000000,15.987094,0.012544,0.001656,493728.000000,3194701.260285,24968.324096,99545.000000,0.013625,2,1
3,7.000000,7.399777,0.012586,0.001663,493707.000000,3194679.060955,24968.102103,99542.000000,0.000559,2,1
13,27.000000,14.461796,0.013288,0.001722,493356.000000,3194491.057604,24967.657090,99529.000000,0.009341,2,1
5,10.000000,10.311944,0.013388,0.001738,493306.000000,3194439.497883,24967.141493,99524.000000,0.001331,2,1
9,7.000000,6.859359,0.013514,0.001757,493243.000000,3194377.763648,24966.832822,99515.000000,0.001677,2,1
15,9.000000,9.251651,0.013784,0.001800,493108.000000,3194238.988881,24966.138948,99500.000000,0.003593,2,1
