num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,27.000000,51.853557,0.066986,0.008265,1,0.000000,2457748059.396515,0.001012,0.000304,159838.000000,1023688.878661,7999.598084,31994.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.991735,20.000000,0.000413,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000627,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.000550,0.000117,79956.000000,511940.240927,3999.850602,15996.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.988912,20.000000,0.000554,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.002563,0.000783,159590.000000,1023198.279744,7998.981014,31986.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.979294,20.000000,0.001035,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.000613,0.000128,79951.000000,511934.541696,3999.836354,15995.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.978011,20.000000,0.001099,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
16,16.000000,31.969887,0.049957,0.004996,1,0.000000,4995698072.014236,0.004162,0.001282,159334.000000,1022686.761560,7998.181702,31970.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.973015,20.000000,0.001349,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000990,2,1
3,9.000000,11.351678,0.028379,0.002225,1,0.000000,2760447464.306116,0.000950,0.000194,79924.000000,511900.486662,3999.751217,15992.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.970790,20.000000,0.001461,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
4,20.000000,35.640647,0.049615,0.005949,1,0.000000,1733957467.476818,0.004663,0.001422,159254.000000,1022544.198971,7997.983242,31966.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.964841,20.000000,0.001758,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000309,2,1
3,8.000000,10.320940,0.025802,0.002053,1,0.000000,2485583933.482684,0.001250,0.000255,79900.000000,511869.523843,3999.673810,15989.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.962788,20.000000,0.001861,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000081,4,1
2,6.000000,7.399777,0.018499,0.001567,1,0.000000,1706607187.216453,0.001400,0.000284,79888.000000,511854.724289,3999.636811,15987.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.961221,20.000000,0.001939,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,6.000000,9.381988,0.017689,0.001769,1,0.000000,1768855383.977692,0.004812,0.001458,159230.000000,1022506.671020,7997.912488,31962.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.959452,20.000000,0.002027,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000093,2,1
7,29.000000,57.853026,0.073414,0.009122,1,0.000000,2725581506.372234,0.006081,0.001854,159027.000000,1022101.699840,7997.398590,31955.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.950330,20.000000,0.002483,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000785,2,1
5,7.000000,10.671839,0.019531,0.001953,1,0.000000,1953119816.702381,0.006300,0.001906,158992.000000,1022048.340646,7997.300935,31950.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.948377,20.000000,0.002581,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000135,2,1
4,11.000000,14.826497,0.037066,0.002804,1,0.000000,3687065835.151386,0.001950,0.000400,79844.000000,511795.418301,3999.488546,15983.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.945573,20.000000,0.002721,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
3,8.000000,10.150424,0.025376,0.002025,1,0.000000,2440113165.248238,0.002250,0.000459,79820.000000,511764.967028,3999.412418,15980.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.943548,20.000000,0.002823,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000081,4,1
8,9.000000,16.253853,0.027506,0.002751,1,0.000000,2750550386.379729,0.006750,0.002033,158920.000000,1021918.309825,7997.080890,31942.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.940797,20.000000,0.002960,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000279,2,1
4,11.000000,15.169718,0.037924,0.002862,1,0.000000,3778591345.147505,0.002800,0.000578,79776.000000,511704.288158,3999.260720,15976.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.937936,20.000000,0.003103,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
8,9.000000,16.322927,0.027604,0.002760,1,0.000000,2760418110.415534,0.007200,0.002160,158848.000000,1021787.726410,7996.860057,31934.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.935175,20.000000,0.003241,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000279,2,1
3,11.000000,13.950413,0.034876,0.002658,1,0.000000,3453443498.654963,0.003212,0.000659,79743.000000,511662.436919,3999.156092,15973.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.932517,20.000000,0.003374,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000111,4,1
4,7.000000,10.411109,0.019159,0.001916,1,0.000000,1915872684.175089,0.007375,0.002201,158820.000000,1021746.081975,7996.783422,31930.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.930601,20.000000,0.003470,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000108,2,1
4,12.000000,15.477619,0.038694,0.002913,1,0.000000,3860698409.313662,0.003812,0.000780,79695.000000,511600.526443,3999.001316,15969.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.927688,20.000000,0.003616,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000162,4,1
6,24.000000,44.809026,0.059438,0.007258,1,0.000000,2143260098.827658,0.008275,0.002464,158676.000000,1021477.227818,7996.426793,31924.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.920430,20.000000,0.003979,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000557,2,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.003844,0.001101,159385.000000,1022872.455989,7998.175852,31945.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.952352,20.000000,0.002382,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.003962,0.000809,79683.000000,511585.859850,3998.964650,15967.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.950796,20.000000,0.002460,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.004319,0.001237,159309.000000,1022733.519049,7997.981277,31941.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.944977,20.000000,0.002751,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.000000,2880574312.936782,0.005869,0.001716,159061.000000,1022242.920132,7997.364207,31933.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.935359,20.000000,0.003232,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000959,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.000000,1253128177.138571,0.004025,0.000820,79678.000000,511580.160619,3998.950402,15966.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.934076,20.000000,0.003296,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
9,10.000000,18.362107,0.030517,0.003052,1,0.000000,3051729577.617594,0.006431,0.001877,158971.000000,1022077.661169,7997.089551,31924.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.931024,20.000000,0.003449,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000348,2,1
3,9.000000,11.351678,0.028379,0.002225,1,0.000000,2760447464.306116,0.004363,0.000887,79651.000000,511546.105585,3998.865264,15963.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.928799,20.000000,0.003560,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
4,20.000000,35.640647,0.049615,0.005949,1,0.000000,1733957467.476818,0.006931,0.002017,158891.000000,1021935.098580,7996.891091,31920.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.922850,20.000000,0.003857,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000309,2,1
3,8.000000,10.320940,0.025802,0.002053,1,0.000000,2485583933.482684,0.004663,0.000947,79627.000000,511515.142766,3998.787857,15960.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.920797,20.000000,0.003960,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000081,4,1
2,6.000000,7.399777,0.018499,0.001567,1,0.000000,1706607187.216453,0.004812,0.000976,79615.000000,511500.343212,3998.750858,15958.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.919230,20.000000,0.004038,1.000000,1.424540,17.300000,25.100000,4.363143,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,6.000000,9.381988,0.017689,0.001769,1,0.000000,1768855383.977692,0.007081,0.002053,158867.000000,1021897.570629,7996.820337,31916.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.917461,20.000000,0.004127,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000093,2,1
7,29.000000,57.853026,0.073414,0.009122,1,0.000000,2725581506.372234,0.008350,0.002449,158664.000000,1021492.599449,7996.306439,31909.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.908339,20.000000,0.004583,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000785,2,1
5,7.000000,10.671839,0.019531,0.001953,1,0.000000,1953119816.702381,0.008569,0.002501,158629.000000,1021439.240255,7996.208783,31904.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.906386,20.000000,0.004681,1.000000,1.785276,32.000000,250.000000,7.676136,587505.340000,0,0.000000,0.000000,0,0.000135,2,1
