num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,27.000000,51.853557,0.066986,0.008265,1,0.600000,2457748059.396515,0.000000,0.000000,80000.000000,512000.000000,4000.000000,16000.000000,80000.000000,512000.000000,4000.000000,16000.000000,20.000000,20.000000,0.000000,8.150000,11.010740,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,0,0.000000,-1,0
4,11.000000,14.939768,0.037349,0.002823,0,0.000000,3717271545.397710,0.000000,0.000000,160000.000000,1024000.000000,8000.000000,0.000000,160000.000000,1024000.000000,8000.000000,0.000000,19.997177,20.000000,0.000000,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.001171,1,1
8,31.000000,61.324865,0.077134,0.009618,1,0.600000,2880574312.936782,0.000000,0.000000,80000.000000,512000.000000,4000.000000,16000.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.997177,20.000000,0.000141,8.150000,11.010740,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,1,0.000000,-1,0
1,5.000000,5.699231,0.014248,0.001283,0,0.000000,1253128177.138571,0.000275,0.000058,159956.000000,1023940.240927,7999.850602,0.000000,160000.000000,1024000.000000,8000.000000,0.000000,19.995894,20.000000,0.000141,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,4,0.000000,0.000000,1,0.000133,1,1
16,16.000000,31.969887,0.049957,0.004996,1,0.700000,4995698072.014236,0.000000,0.000000,160000.000000,1024000.000000,8000.000000,32000.000000,160000.000000,1024000.000000,8000.000000,32000.000000,19.990898,20.000000,0.000205,8.150000,11.010740,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,2,0.006813,2,1
3,9.000000,11.351678,0.028379,0.002225,1,0.900000,2760447464.306116,0.000000,0.000000,80000.000000,512000.000000,4000.000000,16000.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.988673,20.000000,0.000455,8.150000,11.010740,17.300000,25.100000,4400.040000,295959.300000,0,0.000000,0.000000,3,0.000719,4,1
11,12.000000,21.851463,0.035502,0.003550,0,0.000000,3550209070.812077,0.000306,0.000064,159951.000000,1023934.541696,7999.836354,0.000000,160000.000000,1024000.000000,8000.000000,0.000000,19.985122,20.000000,0.000566,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,5,0.000000,0.000000,4,0.003513,1,1
4,20.000000,35.640647,0.049615,0.005949,1,0.600000,1733957467.476818,0.000000,0.000000,80000.000000,512000.000000,4000.000000,16000.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.979174,20.000000,0.000744,8.150000,11.010740,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,5,0.002129,3,1
2,7.000000,8.802743,0.022007,0.001800,0,0.000000,2080731590.688569,0.001131,0.000299,159819.000000,1023694.175598,7999.445831,0.000000,160000.000000,1024000.000000,8000.000000,0.000000,19.977373,20.000000,0.001041,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,16,0.000000,0.000000,6,0.000373,1,1
7,27.000000,53.232573,0.068463,0.008462,0,0.000000,2519311300.022207,0.001219,0.000316,159805.000000,1023676.570111,7999.401818,0.000000,160000.000000,1024000.000000,8000.000000,0.000000,19.977373,20.000000,0.001131,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,18,0.000000,0.000000,7,0.000000,-1,0
2,6.000000,7.199989,0.018000,0.001533,1,0.900000,1653330398.003259,0.000337,0.000067,79973.000000,511965.944966,3999.914862,15997.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.975840,20.000000,0.001131,8.150000,11.010740,17.300000,25.100000,4400.040000,295959.300000,3,0.000000,0.000000,7,0.000319,4,1
4,17.000000,29.011591,0.042512,0.005002,1,0.600000,1438017440.930948,0.001000,0.000278,79920.000000,511857.437411,3999.801540,15996.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.970838,20.000000,0.001208,8.150000,11.010740,176.800000,225.000000,4400.040000,507494.400000,4,0.000000,0.000000,8,0.001810,3,1
3,8.000000,10.150424,0.025376,0.002025,1,0.900000,2440113165.248238,0.000487,0.000095,79961.000000,511951.544988,3999.878862,15995.000000,80000.000000,512000.000000,4000.000000,16000.000000,19.968813,20.000000,0.001458,8.150000,11.010740,17.300000,25.100000,4400.040000,295959.300000,5,0.000000,0.000000,9,0.000639,4,1
3,8.000000,10.379277,0.025948,0.002063,0,0.000000,2501140589.314113,0.001219,0.000316,159805.000000,1023676.570111,7999.401818,0.000000,160000.000000,1024000.000000,8000.000000,0.000000,19.966750,20.000000,0.001559,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,18,0.000000,0.000000,10,0.000639,1,1
