num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.004727,0.003460,382185.000000,4081827.459509,7971.987934,31985.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.813253,100.000000,0.001867,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.020125,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.005638,0.003920,381835.000000,4079943.028805,7967.404624,31980.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.721587,100.000000,0.002784,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.004727,0.003460,382185.000000,4081827.459509,7971.987934,31985.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.813253,100.000000,0.001867,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.006727,0.004088,381417.000000,4079257.301975,7966.369796,31961.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.789844,100.000000,0.002102,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,24,1.000000,1.000000,1,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.007638,0.004548,381067.000000,4077372.871270,7961.786486,31956.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.698178,100.000000,0.003018,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,24,1.000000,1.000000,1,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.012365,0.008008,379252.000000,4063200.330780,7933.774420,31941.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.789844,100.000000,0.002102,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,24,1.000000,1.000000,1,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.014365,0.008635,378484.000000,4060630.173245,7928.156282,31917.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.766435,100.000000,0.002336,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,48,1.000000,1.000000,2,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.015276,0.009095,378134.000000,4058745.742540,7923.572971,31912.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.674769,100.000000,0.003252,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,48,1.000000,1.000000,2,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.020003,0.012555,376319.000000,4044573.202050,7895.560906,31897.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.766435,100.000000,0.002336,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,48,1.000000,1.000000,2,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.022003,0.013183,375551.000000,4042003.044515,7889.942767,31873.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.743026,100.000000,0.002570,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,72,1.000000,1.000000,3,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.022914,0.013643,375201.000000,4040118.613811,7885.359457,31868.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.651360,100.000000,0.003486,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,72,1.000000,1.000000,3,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.027641,0.017103,373386.000000,4025946.073320,7857.347391,31853.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.743026,100.000000,0.002570,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,72,1.000000,1.000000,3,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.029641,0.017730,372618.000000,4023375.915785,7851.729253,31829.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.719617,100.000000,0.002804,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,96,1.000000,1.000000,4,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.030552,0.018191,372268.000000,4021491.485081,7847.145943,31824.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.627951,100.000000,0.003720,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,96,1.000000,1.000000,4,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.035279,0.021651,370453.000000,4007318.944590,7819.133877,31809.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.719617,100.000000,0.002804,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,96,1.000000,1.000000,4,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.037279,0.022278,369685.000000,4004748.787055,7813.515739,31785.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.696208,100.000000,0.003038,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,120,1.000000,1.000000,5,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.038190,0.022738,369335.000000,4002864.356351,7808.932428,31780.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.604542,100.000000,0.003955,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,120,1.000000,1.000000,5,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.042917,0.026198,367520.000000,3988691.815860,7780.920363,31765.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.696208,100.000000,0.003038,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,120,1.000000,1.000000,5,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.044917,0.026826,366752.000000,3986121.658326,7775.302224,31741.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.672799,100.000000,0.003272,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,144,1.000000,1.000000,6,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.045828,0.027286,366402.000000,3984237.227621,7770.718914,31736.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.581133,100.000000,0.004189,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,144,1.000000,1.000000,6,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.050555,0.030746,364587.000000,3970064.687131,7742.706848,31721.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.672799,100.000000,0.003272,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,144,1.000000,1.000000,6,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.052555,0.031373,363819.000000,3967494.529596,7737.088710,31697.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.649391,100.000000,0.003506,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,168,1.000000,1.000000,7,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.053466,0.031833,363469.000000,3965610.098891,7732.505400,31692.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.557724,100.000000,0.004423,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,168,1.000000,1.000000,7,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.058193,0.035294,361654.000000,3951437.558401,7704.493334,31677.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.649391,100.000000,0.003506,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,168,1.000000,1.000000,7,0.020125,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.060193,0.035921,360886.000000,3948867.400866,7698.875196,31653.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.625982,100.000000,0.003740,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,192,1.000000,1.000000,8,0.008516,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.061104,0.036381,360536.000000,3946982.970162,7694.291885,31648.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.534315,100.000000,0.004657,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,192,1.000000,1.000000,8,0.003881,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.065831,0.039841,358721.000000,3932810.429671,7666.279820,31633.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.625982,100.000000,0.003740,3.395833,4.587808,17.300000,25.100000,4400.040000,295959.300000,192,1.000000,1.000000,8,0.020125,4,1
