num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
15,121.000000,944.836033,1.867471,0.186747,1,0.000000,184096524428.621185,0.004727,0.003460,382185.000000,4081827.459509,7971.987934,31985.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.813253,100.000000,0.001867,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.006112,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.005638,0.003920,381835.000000,4079943.028805,7967.404624,31980.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.721587,100.000000,0.002784,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.000000,184096524428.621185,0.004727,0.003460,382185.000000,4081827.459509,7971.987934,31985.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.813253,100.000000,0.001867,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.006112,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.002667,0.000837,287232.000000,3069429.842465,5994.381862,23976.000000,288000.000000,3072000.000000,6000.000000,24000.000000,99.789844,100.000000,0.002102,1.000000,5.338650,176.800000,225.000000,3.402887,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.005638,0.003920,381835.000000,4079943.028805,7967.404624,31980.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.698178,100.000000,0.003018,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.000000,184096524428.621185,0.010365,0.007380,380020.000000,4065770.488314,7939.392559,31965.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.789844,100.000000,0.002102,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.006112,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.005333,0.001673,286464.000000,3066859.684931,5988.763723,23952.000000,288000.000000,3072000.000000,6000.000000,24000.000000,99.766435,100.000000,0.002336,1.000000,5.338650,176.800000,225.000000,3.402887,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.011276,0.007840,379670.000000,4063886.057610,7934.809248,31960.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.674769,100.000000,0.003252,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
15,121.000000,944.836033,1.867471,0.186747,1,0.000000,184096524428.621185,0.016003,0.011300,377855.000000,4049713.517119,7906.797183,31945.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.766435,100.000000,0.002336,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.006112,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.008000,0.002510,285696.000000,3064289.527396,5983.145585,23928.000000,288000.000000,3072000.000000,6000.000000,24000.000000,99.743026,100.000000,0.002570,1.000000,5.338650,176.800000,225.000000,3.402887,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.016914,0.011760,377505.000000,4047829.086415,7902.213872,31940.000000,384000.000000,4096000.000000,8000.000000,32000.000000,99.651360,100.000000,0.003486,1.000000,1.424540,17.300000,25.100000,2.401310,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
