num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
25,82.000000,414.828452,0.826479,0.082648,1,0.950000,40239465069.137260,0.000000,0.000000,384000.000000,4096000.000000,8000.000000,32000.000000,384000.000000,4096000.000000,8000.000000,32000.000000,100.000000,100.000000,0.000000,3.395833,4.587808,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,0,0.000000,-1,0
5,70.000000,376.886141,0.916662,0.091666,0,0.000000,69999447944.573792,0.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,100.000000,100.000000,0.000000,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
16,63.000000,277.873879,0.581918,0.058192,1,0.950000,26482867333.797211,0.000000,0.000000,384000.000000,4096000.000000,8000.000000,32000.000000,384000.000000,4096000.000000,8000.000000,32000.000000,100.000000,100.000000,0.000000,3.395833,4.587808,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,0,0.000000,-1,0
13,55.000000,227.423444,0.491828,0.049183,0,0.000000,21415301275.632950,0.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,100.000000,100.000000,0.000000,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
31,93.000000,490.598917,0.961784,0.096178,0,0.000000,47850337632.862076,0.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,100.000000,100.000000,0.000000,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
25,82.000000,414.828452,0.826479,0.082648,1,0.950000,40239465069.137260,0.000000,0.000000,384000.000000,4096000.000000,8000.000000,32000.000000,384000.000000,4096000.000000,8000.000000,32000.000000,100.000000,100.000000,0.000000,3.395833,4.587808,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,0,0.000000,-1,0
5,70.000000,376.886141,0.916662,0.091666,0,0.000000,69999447944.573792,0.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,100.000000,100.000000,0.000000,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
16,63.000000,277.873879,0.581918,0.058192,1,0.950000,26482867333.797211,0.000000,0.000000,384000.000000,4096000.000000,8000.000000,32000.000000,384000.000000,4096000.000000,8000.000000,32000.000000,100.000000,100.000000,0.000000,3.395833,4.587808,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,0,0.000000,-1,0
13,55.000000,227.423444,0.491828,0.049183,0,0.000000,21415301275.632950,0.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,100.000000,100.000000,0.000000,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
31,93.000000,490.598917,0.961784,0.096178,0,0.000000,47850337632.862076,0.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,100.000000,100.000000,0.000000,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
25,82.000000,414.828452,0.826479,0.082648,1,0.950000,40239465069.137260,0.000000,0.000000,384000.000000,4096000.000000,8000.000000,32000.000000,384000.000000,4096000.000000,8000.000000,32000.000000,100.000000,100.000000,0.000000,3.395833,4.587808,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,0,0.000000,-1,0
5,70.000000,376.886141,0.916662,0.091666,0,0.000000,69999447944.573792,0.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,240000.000000,2560000.000000,5000.000000,0.000000,100.000000,100.000000,0.000000,3.395833,4.587808,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
