num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.000047,0.000023,191991.000000,1023976.812812,7999.940374,31999.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.994037,25.000000,0.000239,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.000094,0.000045,191982.000000,1023953.625624,7999.880749,31998.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.988075,25.000000,0.000477,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.000198,0.000105,191962.000000,1023892.552564,7999.741811,31996.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.981128,25.000000,0.000755,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.000245,0.000128,191953.000000,1023869.365376,7999.682186,31995.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.975165,25.000000,0.000993,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.000349,0.000187,191933.000000,1023808.292316,7999.543249,31993.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.968219,25.000000,0.001271,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.000396,0.000210,191924.000000,1023785.105128,7999.483623,31992.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.962256,25.000000,0.001510,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.000500,0.000269,191904.000000,1023724.032068,7999.344686,31990.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.955309,25.000000,0.001788,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.000547,0.000292,191895.000000,1023700.844880,7999.285060,31989.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.949347,25.000000,0.002026,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.000651,0.000352,191875.000000,1023639.771820,7999.146123,31987.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.942400,25.000000,0.002304,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.000698,0.000374,191866.000000,1023616.584632,7999.086497,31986.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.936437,25.000000,0.002543,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.000802,0.000434,191846.000000,1023555.511572,7998.947560,31984.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.929490,25.000000,0.002820,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.000849,0.000457,191837.000000,1023532.324384,7998.887934,31983.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.923528,25.000000,0.003059,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.000953,0.000516,191817.000000,1023471.251324,7998.748997,31981.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.916581,25.000000,0.003337,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.001000,0.000539,191808.000000,1023448.064136,7998.689372,31980.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.910618,25.000000,0.003575,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.001104,0.000599,191788.000000,1023386.991076,7998.550434,31978.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.903671,25.000000,0.003853,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.001151,0.000621,191779.000000,1023363.803888,7998.490809,31977.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.897709,25.000000,0.004092,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.001255,0.000681,191759.000000,1023302.730828,7998.351872,31975.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.890762,25.000000,0.004370,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
5,18.000000,87.405854,0.145633,0.014563,1,0.000000,1456328401.554529,0.001724,0.001108,191669.000000,1022865.701558,7997.623707,31970.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.876199,25.000000,0.004952,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000348,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.001771,0.001130,191660.000000,1022842.514370,7997.564082,31969.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.870236,25.000000,0.005191,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.001875,0.001190,191640.000000,1022781.441310,7997.425145,31967.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.863289,25.000000,0.005468,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
5,18.000000,87.405854,0.145633,0.014563,1,0.000000,1456328401.554529,0.002344,0.001617,191550.000000,1022344.412040,7996.696980,31962.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.848726,25.000000,0.006051,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000348,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.002391,0.001639,191541.000000,1022321.224852,7996.637355,31961.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.842763,25.000000,0.006289,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.002495,0.001699,191521.000000,1022260.151792,7996.498418,31959.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.835817,25.000000,0.006567,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
5,18.000000,87.405854,0.145633,0.014563,1,0.000000,1456328401.554529,0.002964,0.002126,191431.000000,1021823.122522,7995.770253,31954.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.821253,25.000000,0.007150,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000348,2,1
1,9.000000,23.187188,0.059626,0.005963,1,0.000000,596256981.182963,0.003010,0.002149,191422.000000,1021799.935334,7995.710628,31953.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.815291,25.000000,0.007388,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000035,2,1
2,10.000000,30.536530,0.069469,0.006947,1,0.000000,694685670.172184,0.003115,0.002208,191402.000000,1021738.862274,7995.571691,31951.000000,192000.000000,1024000.000000,8000.000000,32000.000000,24.808344,25.000000,0.007666,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000077,2,1
