num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,2.000000,2.976574,0.011395,0.001140,0,0.000000,127902110.492765,0.000000,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.998860,25.000000,0.000000,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000133,1,1
1,6.000000,7.964872,0.015664,0.001566,0,0.000000,2849615332.134820,0.000017,0.000005,359994.000000,1919991.070278,14999.965815,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.997294,25.000000,0.000046,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,3,0.000000,0.000000,1,0.000133,1,1
1,4.000000,4.456416,0.010652,0.001065,0,0.000000,2097803429.745977,0.000033,0.000009,359988.000000,1919983.105407,14999.950151,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.996229,25.000000,0.000108,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,4,0.000000,0.000000,2,0.000089,1,1
6,3.000000,4.193507,0.013134,0.001313,0,0.000000,162671635.701634,0.000044,0.000011,359984.000000,1919978.648991,14999.939499,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.994916,25.000000,0.000151,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,5,0.000000,0.000000,3,0.000399,1,1
2,10.000000,30.536530,0.069469,0.006947,0,0.000000,694685670.172184,0.000094,0.000024,359966.000000,1919953.487947,14999.860697,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.987969,25.000000,0.000203,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,11,0.000000,0.000000,4,0.000444,1,1
10,4.000000,5.966406,0.015666,0.001567,0,0.000000,213325898.402057,0.000150,0.000056,359946.000000,1919892.414887,14999.721760,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.986402,25.000000,0.000481,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,13,0.000000,0.000000,5,0.000887,1,1
3,2.000000,2.976574,0.011395,0.001140,0,0.000000,127902110.492765,0.000261,0.000087,359906.000000,1919832.750823,14999.565097,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.985263,25.000000,0.000544,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,23,0.000000,0.000000,6,0.000133,1,1
1,9.000000,23.187188,0.059626,0.005963,0,0.000000,596256981.182963,0.000278,0.000092,359900.000000,1919823.821101,14999.530912,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.979300,25.000000,0.000589,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,26,0.000000,0.000000,7,0.000200,1,1
9,4.000000,5.733320,0.015333,0.001533,0,0.000000,206666299.750407,0.000303,0.000104,359891.000000,1919800.633913,14999.471286,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.977767,25.000000,0.000828,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,27,0.000000,0.000000,8,0.000798,1,1
3,10.000000,18.884980,0.031264,0.003126,0,0.000000,5189638604.963961,0.000403,0.000131,359855.000000,1919749.034029,14999.333286,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.974640,25.000000,0.000889,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,36,0.000000,0.000000,9,0.000665,1,1
10,4.000000,5.888846,0.015555,0.001556,0,0.000000,211109884.321275,0.000486,0.000160,359825.000000,1919692.379088,14999.239493,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.973085,25.000000,0.001014,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,39,0.000000,0.000000,10,0.000887,1,1
1,6.000000,7.964872,0.015664,0.001566,0,0.000000,2849615332.134820,0.000597,0.000191,359785.000000,1919633.490629,14999.083938,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.971518,25.000000,0.001077,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,49,0.000000,0.000000,11,0.000133,1,1
1,4.000000,4.456416,0.010652,0.001065,0,0.000000,2097803429.745977,0.000614,0.000195,359779.000000,1919625.525757,14999.068274,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.970453,25.000000,0.001139,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,50,0.000000,0.000000,12,0.000089,1,1
6,3.000000,4.193507,0.013134,0.001313,0,0.000000,162671635.701634,0.000625,0.000197,359775.000000,1919621.069341,14999.057622,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.969140,25.000000,0.001182,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,51,0.000000,0.000000,13,0.000399,1,1
2,10.000000,30.536530,0.069469,0.006947,0,0.000000,694685670.172184,0.000675,0.000210,359757.000000,1919595.908298,14998.978821,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.962193,25.000000,0.001234,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,57,0.000000,0.000000,14,0.000444,1,1
10,4.000000,6.095235,0.015850,0.001585,0,0.000000,217006713.765211,0.000731,0.000242,359737.000000,1919534.835238,14998.839884,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.960608,25.000000,0.001512,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,59,0.000000,0.000000,15,0.000887,1,1
10,4.000000,5.966406,0.015666,0.001567,0,0.000000,213325898.402057,0.000842,0.000274,359697.000000,1919473.882888,14998.681380,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.959041,25.000000,0.001576,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,69,0.000000,0.000000,16,0.000887,1,1
3,2.000000,2.976574,0.011395,0.001140,0,0.000000,127902110.492765,0.000953,0.000305,359657.000000,1919414.218824,14998.524717,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.957902,25.000000,0.001638,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,79,0.000000,0.000000,17,0.000133,1,1
1,9.000000,23.187188,0.059626,0.005963,0,0.000000,596256981.182963,0.000969,0.000310,359651.000000,1919405.289102,14998.490532,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.951939,25.000000,0.001684,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,82,0.000000,0.000000,18,0.000200,1,1
9,4.000000,5.733320,0.015333,0.001533,0,0.000000,206666299.750407,0.000994,0.000322,359642.000000,1919382.101914,14998.430906,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.950406,25.000000,0.001922,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,83,0.000000,0.000000,19,0.000798,1,1
3,10.000000,18.884980,0.031264,0.003126,0,0.000000,5189638604.963961,0.001094,0.000349,359606.000000,1919330.502030,14998.292907,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.947279,25.000000,0.001984,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,92,0.000000,0.000000,20,0.000665,1,1
10,4.000000,5.888846,0.015555,0.001556,0,0.000000,211109884.321275,0.001178,0.000378,359576.000000,1919273.847089,14998.199114,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.945724,25.000000,0.002109,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,95,0.000000,0.000000,21,0.000887,1,1
1,6.000000,7.964872,0.015664,0.001566,0,0.000000,2849615332.134820,0.001289,0.000409,359536.000000,1919214.958630,14998.043559,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.944157,25.000000,0.002171,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,105,0.000000,0.000000,22,0.000133,1,1
1,4.000000,4.456416,0.010652,0.001065,0,0.000000,2097803429.745977,0.001306,0.000413,359530.000000,1919206.993758,14998.027895,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.943092,25.000000,0.002234,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,106,0.000000,0.000000,23,0.000089,1,1
6,3.000000,4.193507,0.013134,0.001313,0,0.000000,162671635.701634,0.001317,0.000415,359526.000000,1919202.537342,14998.017243,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.941779,25.000000,0.002276,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,107,0.000000,0.000000,24,0.000399,1,1
2,10.000000,30.536530,0.069469,0.006947,0,0.000000,694685670.172184,0.001367,0.000428,359508.000000,1919177.376299,14997.938441,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.934832,25.000000,0.002329,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,113,0.000000,0.000000,25,0.000444,1,1
10,4.000000,6.095235,0.015850,0.001585,0,0.000000,217006713.765211,0.001422,0.000460,359488.000000,1919116.303238,14997.799504,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.933247,25.000000,0.002607,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,115,0.000000,0.000000,26,0.000887,1,1
13,4.000000,7.603201,0.018005,0.001800,0,0.000000,260091448.836071,0.001533,0.000492,359448.000000,1919055.350889,14997.641001,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.931446,25.000000,0.002670,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,125,0.000000,0.000000,27,0.001153,1,1
10,4.000000,5.966406,0.015666,0.001567,0,0.000000,213325898.402057,0.001678,0.000543,359396.000000,1918956.509279,14997.406941,0.000000,360000.000000,1920000.000000,15000.000000,0.000000,24.929880,25.000000,0.002742,6.791667,9.175617,0.000000,0.000000,4400.040000,0.000000,138,0.000000,0.000000,28,0.000887,1,1
