num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
2,7.000000,6.698595,0.000028,0.000004,499986.000000,3199986.602809,24999.982169,99998.000000,0.000373,2,1
2,4.000000,3.823295,0.000044,0.000007,499978.000000,3199978.956220,24999.905703,99996.000000,0.000213,2,1
2,3.000000,2.670446,0.000056,0.000008,499972.000000,3199973.615329,24999.878999,99994.000000,0.000160,2,1
1,5.000000,4.864382,0.000066,0.000010,499967.000000,3199968.750947,24999.871612,99993.000000,0.000133,2,1
2,4.000000,3.823295,0.000082,0.000012,499959.000000,3199961.104357,24999.795146,99991.000000,0.000213,2,1
1,4.000000,4.188707,0.000090,0.000013,499955.000000,3199956.915650,24999.788322,99990.000000,0.000106,2,1
2,4.000000,3.823295,0.000106,0.000016,499947.000000,3199949.269061,24999.711856,99988.000000,0.000213,2,1
1,3.000000,2.555549,0.000112,0.000017,499944.000000,3199946.713511,24999.686300,99987.000000,0.000080,2,1
1,4.000000,4.188707,0.000120,0.000018,499940.000000,3199942.524805,24999.679477,99986.000000,0.000106,2,1
2,3.000000,2.670446,0.000132,0.000020,499934.000000,3199937.183914,24999.652772,99984.000000,0.000160,2,1
1,5.000000,4.864382,0.000142,0.000021,499929.000000,3199932.319531,24999.645385,99983.000000,0.000133,2,1
2,8.000000,7.713378,0.000174,0.000026,499913.000000,3199916.892775,24999.625863,99981.000000,0.000426,2,1
2,7.000000,6.698595,0.000202,0.000030,499899.000000,3199903.495584,24999.608032,99979.000000,0.000373,2,1
1,5.000000,4.864382,0.000212,0.000032,499894.000000,3199898.631202,24999.600645,99978.000000,0.000133,2,1
1,4.000000,4.188707,0.000220,0.000033,499890.000000,3199894.442495,24999.593821,99977.000000,0.000106,2,1
2,7.000000,6.698595,0.000248,0.000037,499876.000000,3199881.045304,24999.575990,99975.000000,0.000373,2,1
2,4.000000,3.823295,0.000264,0.000040,499868.000000,3199873.398715,24999.499524,99973.000000,0.000213,2,1
2,3.000000,2.670446,0.000276,0.000041,499862.000000,3199868.057824,24999.472820,99971.000000,0.000160,2,1
1,4.000000,4.188707,0.000284,0.000043,499858.000000,3199863.869117,24999.465996,99970.000000,0.000106,2,1
1,3.000000,2.555549,0.000290,0.000043,499855.000000,3199861.313567,24999.440440,99969.000000,0.000080,2,1
2,7.000000,6.698595,0.000318,0.000048,499841.000000,3199847.916377,24999.422609,99967.000000,0.000373,2,1
1,4.000000,4.188707,0.000326,0.000049,499837.000000,3199843.727670,24999.415785,99966.000000,0.000106,2,1
