num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000000,0.000000,100000.000000,640000.000000,5000.000000,20000.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.998325,20.000000,0.000000,8.150000,11.010740,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,0,0.000559,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000000,0.000000,200000.000000,1280000.000000,10000.000000,0.000000,200000.000000,1280000.000000,10000.000000,0.000000,19.997396,20.000000,0.000084,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,1,0.000213,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.000210,0.000031,99979.000000,639979.904214,4999.949761,19997.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.996393,20.000000,0.000130,8.150000,11.010740,32.000000,250.000000,4400.040000,587505.340000,3,0.000000,0.000000,2,0.000213,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.000040,0.000006,199992.000000,1279992.530116,9999.981414,0.000000,200000.000000,1280000.000000,10000.000000,0.000000,19.995971,20.000000,0.000180,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,2,0.000000,0.000000,3,0.000053,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000290,0.000044,99971.000000,639971.881541,4999.929704,19995.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.994296,20.000000,0.000201,8.150000,11.010740,32.000000,250.000000,4400.040000,587505.340000,5,0.000000,0.000000,4,0.000559,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000050,0.000007,199990.000000,1279990.696792,9999.977191,0.000000,200000.000000,1280000.000000,10000.000000,0.000000,19.993367,20.000000,0.000285,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,3,0.000000,0.000000,5,0.000213,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.000500,0.000075,99950.000000,639951.785755,4999.879464,19992.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.992364,20.000000,0.000332,8.150000,11.010740,32.000000,250.000000,4400.040000,587505.340000,8,0.000000,0.000000,6,0.000213,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.000090,0.000013,199982.000000,1279983.226908,9999.958605,0.000000,200000.000000,1280000.000000,10000.000000,0.000000,19.991942,20.000000,0.000382,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,5,0.000000,0.000000,7,0.000053,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.000580,0.000088,99942.000000,639943.763082,4999.859408,19990.000000,100000.000000,640000.000000,5000.000000,20000.000000,19.990267,20.000000,0.000403,8.150000,11.010740,32.000000,250.000000,4400.040000,587505.340000,10,0.000000,0.000000,8,0.000559,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000100,0.000015,199980.000000,1279981.393583,9999.954383,0.000000,200000.000000,1280000.000000,10000.000000,0.000000,19.989338,20.000000,0.000487,8.150000,11.010740,0.000000,0.000000,4400.040000,0.000000,6,0.000000,0.000000,9,0.000213,1,1
