num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,21.000000,428.710102,0.826479,0.082648,0,0.000000,826479379.006885,0.000656,0.000419,95937.000000,3070713.869694,5997.520562,0.000000,96000.000000,3072000.000000,6000.000000,0.000000,29.917352,30.000000,0.002755,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,0,1.000000,1.000000,0,0.002096,1,1
15,7.000000,119.518146,0.186747,0.018675,1,0.550000,3734942073.810353,0.001641,0.000875,63895.000000,2046207.227805,3997.198793,15985.000000,64000.000000,2048000.000000,4000.000000,16000.000000,29.898677,30.000000,0.003377,10.187500,13.763425,32.000000,250.000000,4400.040000,587505.340000,15,1.000000,1.000000,1,0.003493,2,1
3,8.000000,128.362769,0.234089,0.023409,1,0.600000,1002834133.572334,0.002016,0.001063,63871.000000,2045822.139497,3996.496526,15982.000000,64000.000000,2048000.000000,4000.000000,16000.000000,29.875268,30.000000,0.004158,10.187500,13.763425,32.000000,250.000000,4400.040000,587505.340000,18,1.000000,1.000000,2,0.000798,2,1
5,4.000000,58.666372,0.091666,0.009167,1,0.550000,1833324132.409563,0.002328,0.001207,63851.000000,2045528.807636,3996.038195,15977.000000,64000.000000,2048000.000000,4000.000000,16000.000000,29.866102,30.000000,0.004463,10.187500,13.763425,32.000000,250.000000,4400.040000,587505.340000,23,1.000000,1.000000,3,0.000665,2,1
2,16.000000,311.320468,0.581918,0.058192,0,0.000000,581917641.489728,0.000990,0.000621,95905.000000,3070091.228758,5996.356727,0.000000,96000.000000,3072000.000000,6000.000000,0.000000,29.807910,30.000000,0.006403,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,2,1.000000,1.000000,4,0.001064,1,1
2,14.000000,268.077238,0.491828,0.049183,0,0.000000,491827578.233475,0.001281,0.000796,95877.000000,3069555.074283,5995.373071,0.000000,96000.000000,3072000.000000,6000.000000,0.000000,29.758727,30.000000,0.008042,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,4,1.000000,1.000000,5,0.000931,1,1
4,23.000000,493.656214,0.961784,0.096178,0,0.000000,961783780.139770,0.002240,0.001439,95785.000000,3067580.449425,5991.525936,0.000000,96000.000000,3072000.000000,6000.000000,0.000000,29.662549,30.000000,0.011248,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,4,1.000000,1.000000,5,0.003060,1,1
11,6.000000,93.028326,0.145357,0.014536,1,0.550000,2907135183.879703,0.003359,0.001706,63785.000000,2044505.496051,3994.439271,15966.000000,64000.000000,2048000.000000,4000.000000,16000.000000,29.648013,30.000000,0.011733,10.187500,13.763425,32.000000,250.000000,4400.040000,587505.340000,34,1.000000,1.000000,6,0.002196,2,1
3,3.000000,45.593845,0.071240,0.007124,1,0.550000,1424807666.067410,0.003500,0.001773,63776.000000,2044368.714515,3994.225550,15963.000000,64000.000000,2048000.000000,4000.000000,16000.000000,29.640889,30.000000,0.011970,10.187500,13.763425,32.000000,250.000000,4400.040000,587505.340000,37,1.000000,1.000000,7,0.000299,2,1
1,8.000000,134.259420,0.213040,0.021304,0,0.000000,213040457.299464,0.002323,0.001482,95777.000000,3067446.190006,5991.312896,0.000000,96000.000000,3072000.000000,6000.000000,0.000000,29.619585,30.000000,0.012680,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,5,1.000000,1.000000,8,0.000266,1,1
