num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
1,8.000000,134.259420,0.213040,0.021304,0,0.000000,213040457.299464,0.000000,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.978696,25.000000,0.000000,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000266,1,1
3,3.000000,47.041193,0.073502,0.007350,0,0.000000,1470037267.762254,0.000100,0.000070,79992.000000,1919865.740580,4999.786960,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.971346,25.000000,0.000852,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,1,0.000000,0.000000,1,0.000299,1,1
1,10.000000,177.839532,0.303832,0.030383,0,0.000000,303832357.425165,0.000212,0.000143,79983.000000,1919724.617003,4999.566454,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.940963,25.000000,0.001146,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,4,0.000000,0.000000,2,0.000333,1,1
3,8.000000,128.362769,0.234089,0.023409,0,0.000000,1002834133.572334,0.000337,0.000236,79973.000000,1919546.777471,4999.262622,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.917554,25.000000,0.002361,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,5,0.000000,0.000000,3,0.000798,1,1
2,14.000000,268.077238,0.491828,0.049183,0,0.000000,491827578.233475,0.000637,0.000437,79949.000000,1919161.689164,4998.560354,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.868371,25.000000,0.003298,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,8,0.000000,0.000000,4,0.000931,1,1
1,8.000000,134.259420,0.213040,0.021304,0,0.000000,213040457.299464,0.000988,0.000716,79921.000000,1918625.534689,4997.576699,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.847067,25.000000,0.005265,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,10,0.000000,0.000000,5,0.000266,1,1
3,3.000000,47.041193,0.073502,0.007350,0,0.000000,1470037267.762254,0.001088,0.000786,79913.000000,1918491.275269,4997.363659,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.839717,25.000000,0.006117,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,11,0.000000,0.000000,6,0.000299,1,1
1,10.000000,177.839532,0.303832,0.030383,0,0.000000,303832357.425165,0.001200,0.000859,79904.000000,1918350.151692,4997.143153,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.809333,25.000000,0.006411,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,14,0.000000,0.000000,7,0.000333,1,1
3,8.000000,128.362769,0.234089,0.023409,0,0.000000,1002834133.572334,0.001325,0.000952,79894.000000,1918172.312160,4996.839321,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.785924,25.000000,0.007627,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,15,0.000000,0.000000,8,0.000798,1,1
2,16.000000,311.320468,0.581918,0.058192,0,0.000000,581917641.489728,0.001625,0.001152,79870.000000,1917787.223853,4996.137053,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.727733,25.000000,0.008563,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,18,0.000000,0.000000,9,0.001064,1,1
2,14.000000,268.077238,0.491828,0.049183,0,0.000000,491827578.233475,0.002025,0.001477,79838.000000,1917164.582917,4994.973218,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.678550,25.000000,0.010891,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,20,0.000000,0.000000,10,0.000931,1,1
1,8.000000,134.259420,0.213040,0.021304,0,0.000000,213040457.299464,0.002375,0.001756,79810.000000,1916628.428442,4993.989563,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.657246,25.000000,0.012858,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,22,0.000000,0.000000,11,0.000266,1,1
3,3.000000,47.041193,0.073502,0.007350,0,0.000000,1470037267.762254,0.002475,0.001826,79802.000000,1916494.169022,4993.776523,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.649896,25.000000,0.013710,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,23,0.000000,0.000000,12,0.000299,1,1
1,10.000000,177.839532,0.303832,0.030383,0,0.000000,303832357.425165,0.002587,0.001899,79793.000000,1916353.045445,4993.556017,0.000000,80000.000000,1920000.000000,5000.000000,0.000000,24.619512,25.000000,0.014004,10.187500,13.763425,0.000000,0.000000,4400.040000,0.000000,26,0.000000,0.000000,13,0.000333,1,1
