num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
4,8.000000,7.646589,0.000064,0.000010,499968.000000,3199969.413642,24999.694136,99996.000000,0.000852,4,1
1,5.000000,4.566410,0.000074,0.000011,499963.000000,3199964.847232,24999.648472,99995.000000,0.000133,4,1
1,5.000000,4.626716,0.000084,0.000012,499958.000000,3199960.220516,24999.602205,99994.000000,0.000133,4,1
3,6.000000,6.450559,0.000120,0.000018,499940.000000,3199940.868838,24999.408688,99991.000000,0.000479,4,1
2,5.000000,5.170067,0.000140,0.000022,499930.000000,3199930.528703,24999.305287,99989.000000,0.000266,4,1
2,5.000000,5.133259,0.000160,0.000025,499920.000000,3199920.262185,24999.202622,99987.000000,0.000266,4,1
2,5.000000,5.111099,0.000180,0.000028,499910.000000,3199910.039988,24999.100400,99985.000000,0.000266,4,1
4,16.000000,7.808919,0.000308,0.000038,499846.000000,3199878.804312,24999.022311,99981.000000,0.001703,4,1
1,8.000000,4.065202,0.000324,0.000039,499838.000000,3199874.739110,24999.012148,99980.000000,0.000213,4,1
2,5.000000,4.548926,0.000344,0.000042,499828.000000,3199865.641257,24998.966658,99978.000000,0.000266,4,1
1,9.000000,4.519162,0.000362,0.000043,499819.000000,3199861.122095,24998.955361,99977.000000,0.000240,4,1
5,6.000000,6.051730,0.000422,0.000053,499789.000000,3199830.863448,24998.804067,99972.000000,0.000798,4,1
5,7.000000,6.550209,0.000492,0.000063,499754.000000,3199798.112402,24998.640312,99967.000000,0.000931,4,1
2,6.000000,5.600914,0.000516,0.000067,499742.000000,3199786.910573,24998.528294,99965.000000,0.000319,4,1
3,5.000000,5.340891,0.000546,0.000072,499727.000000,3199770.887900,24998.448180,99962.000000,0.000399,4,1
2,12.000000,5.909588,0.000594,0.000075,499703.000000,3199759.068724,24998.418632,99960.000000,0.000639,4,1
3,7.000000,6.542847,0.000636,0.000081,499682.000000,3199739.440183,24998.222347,99957.000000,0.000559,4,1
8,8.000000,7.995698,0.000764,0.000101,499618.000000,3199675.474598,24997.902519,99949.000000,0.001703,4,1
2,12.000000,5.974332,0.000812,0.000105,499594.000000,3199663.525935,24997.872647,99947.000000,0.000639,4,1
3,6.000000,6.106980,0.000848,0.000111,499576.000000,3199645.204995,24997.689438,99944.000000,0.000479,4,1
3,14.000000,7.132397,0.000932,0.000118,499534.000000,3199623.807804,24997.635945,99941.000000,0.001118,4,1
4,8.000000,7.646589,0.000996,0.000127,499502.000000,3199593.221446,24997.330082,99937.000000,0.000852,4,1
2,11.000000,5.459138,0.001040,0.000131,499480.000000,3199582.303171,24997.302786,99935.000000,0.000585,4,1
1,5.000000,4.566410,0.001050,0.000132,499475.000000,3199577.736760,24997.257122,99934.000000,0.000133,4,1
1,5.000000,4.626716,0.001060,0.000133,499470.000000,3199573.110044,24997.210855,99933.000000,0.000133,4,1
3,6.000000,6.450559,0.001096,0.000139,499452.000000,3199553.758366,24997.017338,99930.000000,0.000479,4,1
3,6.000000,6.106980,0.001132,0.000145,499434.000000,3199535.437426,24996.834128,99927.000000,0.000479,4,1
3,14.000000,7.132397,0.001216,0.000152,499392.000000,3199514.040236,24996.780635,99924.000000,0.001118,4,1
4,8.000000,7.646589,0.001280,0.000161,499360.000000,3199483.453878,24996.474772,99920.000000,0.000852,4,1
2,11.000000,5.459138,0.001324,0.000165,499338.000000,3199472.535602,24996.447476,99918.000000,0.000585,4,1
1,5.000000,4.566410,0.001334,0.000166,499333.000000,3199467.969192,24996.401812,99917.000000,0.000133,4,1
1,5.000000,4.626716,0.001344,0.000168,499328.000000,3199463.342476,24996.355545,99916.000000,0.000133,4,1
3,6.000000,6.450559,0.001380,0.000174,499310.000000,3199443.990798,24996.162028,99913.000000,0.000479,4,1
3,6.000000,6.106980,0.001416,0.000179,499292.000000,3199425.669858,24995.978819,99910.000000,0.000479,4,1
3,14.000000,7.132397,0.001500,0.000186,499250.000000,3199404.272667,24995.925326,99907.000000,0.001118,4,1
4,8.000000,7.646589,0.001564,0.000196,499218.000000,3199373.686309,24995.619462,99903.000000,0.000852,4,1
2,11.000000,5.459138,0.001608,0.000199,499196.000000,3199362.768034,24995.592166,99901.000000,0.000585,4,1
1,5.000000,4.566410,0.001618,0.000201,499191.000000,3199358.201623,24995.546502,99900.000000,0.000133,4,1
1,5.000000,4.626716,0.001628,0.000202,499186.000000,3199353.574907,24995.500235,99899.000000,0.000133,4,1
3,6.000000,6.450559,0.001664,0.000208,499168.000000,3199334.223229,24995.306718,99896.000000,0.000479,4,1
3,6.000000,6.106980,0.001700,0.000214,499150.000000,3199315.902289,24995.123509,99893.000000,0.000479,4,1
3,14.000000,7.132397,0.001784,0.000220,499108.000000,3199294.505099,24995.070016,99890.000000,0.001118,4,1
4,8.000000,7.646589,0.001848,0.000230,499076.000000,3199263.918741,24994.764152,99886.000000,0.000852,4,1
4,16.000000,7.808919,0.001976,0.000240,499012.000000,3199232.683065,24994.686063,99882.000000,0.001703,4,1
1,8.000000,4.065202,0.001992,0.000241,499004.000000,3199228.617863,24994.675900,99881.000000,0.000213,4,1
2,5.000000,4.548926,0.002012,0.000244,498994.000000,3199219.520010,24994.630411,99879.000000,0.000266,4,1
1,9.000000,4.519162,0.002030,0.000245,498985.000000,3199215.000849,24994.619113,99878.000000,0.000240,4,1
5,6.000000,6.051730,0.002090,0.000255,498955.000000,3199184.742201,24994.467820,99873.000000,0.000798,4,1
5,7.000000,6.550209,0.002160,0.000265,498920.000000,3199151.991155,24994.304065,99868.000000,0.000931,4,1
2,6.000000,5.600914,0.002184,0.000269,498908.000000,3199140.789326,24994.192046,99866.000000,0.000319,4,1
3,5.000000,5.340891,0.002214,0.000274,498893.000000,3199124.766653,24994.111933,99863.000000,0.000399,4,1
2,12.000000,5.909588,0.002262,0.000277,498869.000000,3199112.947477,24994.082385,99861.000000,0.000639,4,1
3,7.000000,6.542847,0.002304,0.000283,498848.000000,3199093.318936,24993.886100,99858.000000,0.000559,4,1
8,8.000000,7.995698,0.002432,0.000303,498784.000000,3199029.353352,24993.566272,99850.000000,0.001703,4,1
2,12.000000,5.974332,0.002480,0.000307,498760.000000,3199017.404688,24993.536400,99848.000000,0.000639,4,1
2,5.000000,5.170067,0.002500,0.000310,498750.000000,3199007.064553,24993.432999,99846.000000,0.000266,4,1
2,5.000000,5.133259,0.002520,0.000314,498740.000000,3198996.798035,24993.330334,99844.000000,0.000266,4,1
2,5.000000,5.111099,0.002540,0.000317,498730.000000,3198986.575838,24993.228112,99842.000000,0.000266,4,1
2,11.000000,5.459138,0.002584,0.000320,498708.000000,3198975.657562,24993.200816,99840.000000,0.000585,4,1
1,5.000000,4.566410,0.002594,0.000322,498703.000000,3198971.091152,24993.155152,99839.000000,0.000133,4,1
1,5.000000,4.626716,0.002604,0.000323,498698.000000,3198966.464435,24993.108885,99838.000000,0.000133,4,1
3,6.000000,6.450559,0.002640,0.000329,498680.000000,3198947.112757,24992.915368,99835.000000,0.000479,4,1
3,6.000000,6.106980,0.002676,0.000335,498662.000000,3198928.791818,24992.732158,99832.000000,0.000479,4,1
3,14.000000,7.132397,0.002760,0.000341,498620.000000,3198907.394627,24992.678665,99829.000000,0.001118,4,1
4,8.000000,7.646589,0.002824,0.000351,498588.000000,3198876.808269,24992.372802,99825.000000,0.000852,4,1
4,16.000000,7.808919,0.002952,0.000361,498524.000000,3198845.572594,24992.294713,99821.000000,0.001703,4,1
1,8.000000,4.065202,0.002968,0.000362,498516.000000,3198841.507391,24992.284550,99820.000000,0.000213,4,1
2,5.000000,4.548926,0.002988,0.000365,498506.000000,3198832.409539,24992.239060,99818.000000,0.000266,4,1
1,9.000000,4.519162,0.003006,0.000366,498497.000000,3198827.890377,24992.227762,99817.000000,0.000240,4,1
5,6.000000,6.051730,0.003066,0.000376,498467.000000,3198797.631729,24992.076469,99812.000000,0.000798,4,1
5,7.000000,6.550209,0.003136,0.000386,498432.000000,3198764.880684,24991.912714,99807.000000,0.000931,4,1
2,6.000000,5.600914,0.003160,0.000389,498420.000000,3198753.678855,24991.800696,99805.000000,0.000319,4,1
3,5.000000,5.340891,0.003190,0.000394,498405.000000,3198737.656182,24991.720582,99802.000000,0.000399,4,1
2,12.000000,5.909588,0.003238,0.000398,498381.000000,3198725.837005,24991.691034,99800.000000,0.000639,4,1
3,7.000000,6.542847,0.003280,0.000404,498360.000000,3198706.208464,24991.494749,99797.000000,0.000559,4,1
8,8.000000,7.995698,0.003408,0.000424,498296.000000,3198642.242880,24991.174921,99789.000000,0.001703,4,1
2,12.000000,5.974332,0.003456,0.000428,498272.000000,3198630.294216,24991.145049,99787.000000,0.000639,4,1
2,5.000000,5.170067,0.003476,0.000431,498262.000000,3198619.954082,24991.041648,99785.000000,0.000266,4,1
2,5.000000,5.133259,0.003496,0.000434,498252.000000,3198609.687564,24990.938983,99783.000000,0.000266,4,1
2,5.000000,5.111099,0.003516,0.000438,498242.000000,3198599.465366,24990.836761,99781.000000,0.000266,4,1
2,11.000000,5.459138,0.003560,0.000441,498220.000000,3198588.547090,24990.809465,99779.000000,0.000585,4,1
1,5.000000,4.566410,0.003570,0.000443,498215.000000,3198583.980680,24990.763801,99778.000000,0.000133,4,1
1,5.000000,4.626716,0.003580,0.000444,498210.000000,3198579.353964,24990.717534,99777.000000,0.000133,4,1
3,6.000000,6.450559,0.003616,0.000450,498192.000000,3198560.002286,24990.524017,99774.000000,0.000479,4,1
3,6.000000,6.106980,0.003652,0.000456,498174.000000,3198541.681346,24990.340808,99771.000000,0.000479,4,1
3,14.000000,7.132397,0.003736,0.000462,498132.000000,3198520.284155,24990.287315,99768.000000,0.001118,4,1
4,8.000000,7.646589,0.003800,0.000472,498100.000000,3198489.697798,24989.981451,99764.000000,0.000852,4,1
4,16.000000,7.808919,0.003928,0.000482,498036.000000,3198458.462122,24989.903362,99760.000000,0.001703,4,1
1,8.000000,4.065202,0.003944,0.000483,498028.000000,3198454.396920,24989.893199,99759.000000,0.000213,4,1
2,5.000000,4.548926,0.003964,0.000486,498018.000000,3198445.299067,24989.847710,99757.000000,0.000266,4,1
1,9.000000,4.519162,0.003982,0.000487,498009.000000,3198440.779905,24989.836412,99756.000000,0.000240,4,1
5,6.000000,6.051730,0.004042,0.000497,497979.000000,3198410.521257,24989.685119,99751.000000,0.000798,4,1
5,7.000000,6.550209,0.004112,0.000507,497944.000000,3198377.770212,24989.521363,99746.000000,0.000931,4,1
2,6.000000,5.600914,0.004136,0.000510,497932.000000,3198366.568383,24989.409345,99744.000000,0.000319,4,1
3,5.000000,5.340891,0.004166,0.000515,497917.000000,3198350.545710,24989.329232,99741.000000,0.000399,4,1
2,12.000000,5.909588,0.004214,0.000519,497893.000000,3198338.726534,24989.299684,99739.000000,0.000639,4,1
3,7.000000,6.542847,0.004256,0.000525,497872.000000,3198319.097993,24989.103398,99736.000000,0.000559,4,1
8,8.000000,7.995698,0.004384,0.000545,497808.000000,3198255.132408,24988.783570,99728.000000,0.001703,4,1
2,12.000000,5.974332,0.004432,0.000549,497784.000000,3198243.183744,24988.753699,99726.000000,0.000639,4,1
2,5.000000,5.170067,0.004452,0.000552,497774.000000,3198232.843610,24988.650297,99724.000000,0.000266,4,1
2,5.000000,5.133259,0.004472,0.000555,497764.000000,3198222.577092,24988.547632,99722.000000,0.000266,4,1
2,5.000000,5.111099,0.004492,0.000559,497754.000000,3198212.354894,24988.445410,99720.000000,0.000266,4,1
2,11.000000,5.459138,0.004536,0.000562,497732.000000,3198201.436619,24988.418115,99718.000000,0.000585,4,1
1,5.000000,4.566410,0.004546,0.000563,497727.000000,3198196.870208,24988.372451,99717.000000,0.000133,4,1
1,5.000000,4.626716,0.004556,0.000565,497722.000000,3198192.243492,24988.326183,99716.000000,0.000133,4,1
3,6.000000,6.450559,0.004592,0.000571,497704.000000,3198172.891814,24988.132667,99713.000000,0.000479,4,1
3,6.000000,6.106980,0.004628,0.000577,497686.000000,3198154.570874,24987.949457,99710.000000,0.000479,4,1
3,14.000000,7.132397,0.004712,0.000583,497644.000000,3198133.173684,24987.895964,99707.000000,0.001118,4,1
4,8.000000,7.646589,0.004776,0.000593,497612.000000,3198102.587326,24987.590101,99703.000000,0.000852,4,1
4,16.000000,7.808919,0.004904,0.000603,497548.000000,3198071.351650,24987.512011,99699.000000,0.001703,4,1
1,8.000000,4.065202,0.004920,0.000604,497540.000000,3198067.286448,24987.501848,99698.000000,0.000213,4,1
2,5.000000,4.548926,0.004940,0.000607,497530.000000,3198058.188595,24987.456359,99696.000000,0.000266,4,1
1,9.000000,4.519162,0.004958,0.000608,497521.000000,3198053.669434,24987.445061,99695.000000,0.000240,4,1
5,6.000000,6.051730,0.005018,0.000618,497491.000000,3198023.410786,24987.293768,99690.000000,0.000798,4,1
5,7.000000,6.550209,0.005088,0.000628,497456.000000,3197990.659740,24987.130013,99685.000000,0.000931,4,1
2,6.000000,5.600914,0.005112,0.000631,497444.000000,3197979.457911,24987.017995,99683.000000,0.000319,4,1
3,5.000000,5.340891,0.005142,0.000636,497429.000000,3197963.435238,24986.937881,99680.000000,0.000399,4,1
2,12.000000,5.909588,0.005190,0.000640,497405.000000,3197951.616062,24986.908333,99678.000000,0.000639,4,1
