num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,59.000000,254.875890,0.712404,0.071240,1,0.880000,45488459964.044609,0.000461,0.000249,383823.000000,3071235.372331,11997.862789,47997.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.928760,40.000000,0.001781,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.002944,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.000911,0.000613,383650.000000,3070115.569296,11995.416690,47995.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.908334,40.000000,0.002292,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.005821,4,1
3,59.000000,254.875890,0.712404,0.071240,1,0.880000,45488459964.044609,0.001372,0.000862,383473.000000,3069350.941627,11993.279478,47992.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.837093,40.000000,0.004073,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.002944,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.002284,0.001476,383123.000000,3067466.510922,11988.696168,47987.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.908334,40.000000,0.002292,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.005821,4,1
3,59.000000,254.875890,0.712404,0.071240,1,0.880000,45488459964.044609,0.002745,0.001725,382946.000000,3066701.883254,11986.558956,47984.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.837093,40.000000,0.004073,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.002944,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.004745,0.002561,382178.000000,3064131.725719,11980.940818,47960.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.976591,40.000000,0.000585,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,24,1.000000,1.000000,1,0.012774,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.005656,0.003175,381828.000000,3062247.295014,11976.357508,47955.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.884925,40.000000,0.002877,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,24,1.000000,1.000000,1,0.005821,4,1
16,63.000000,277.873879,0.581918,0.058192,1,0.950000,26482867333.797211,0.021000,0.011578,46992.000000,379554.017932,1490.689318,5984.000000,48000.000000,384000.000000,1500.000000,6000.000000,39.826733,40.000000,0.004332,5.093750,6.881712,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,1,0.016766,3,1
13,55.000000,227.423444,0.491828,0.049183,1,0.950000,21415301275.632950,0.035896,0.019277,46277.000000,376597.513163,1484.295559,5971.000000,48000.000000,384000.000000,1500.000000,6000.000000,39.777550,40.000000,0.005561,5.093750,6.881712,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,1,0.011892,3,1
3,59.000000,254.875890,0.712404,0.071240,1,0.880000,45488459964.044609,0.006117,0.003424,381651.000000,3061482.667346,11974.220296,47952.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.706310,40.000000,0.007342,5.093750,6.881712,17.300000,25.100000,4400.040000,295959.300000,24,1.000000,1.000000,1,0.002944,4,1
