num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,59.000000,254.875890,0.712404,0.071240,1,0.000000,45488459964.044609,0.000461,0.000249,383823.000000,3071235.372331,11997.862789,47997.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.928760,40.000000,0.001781,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.000596,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.000911,0.000613,383650.000000,3070115.569296,11995.416690,47995.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.908334,40.000000,0.002292,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
3,59.000000,254.875890,0.712404,0.071240,1,0.000000,45488459964.044609,0.001372,0.000862,383473.000000,3069350.941627,11993.279478,47992.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.837093,40.000000,0.004073,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.000596,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.002284,0.001476,383123.000000,3067466.510922,11988.696168,47987.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.908334,40.000000,0.002292,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
3,59.000000,254.875890,0.712404,0.071240,1,0.000000,45488459964.044609,0.002745,0.001725,382946.000000,3066701.883254,11986.558956,47984.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.837093,40.000000,0.004073,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.000596,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.000000,40170048014.340012,0.016000,0.006693,47232.000000,381429.842465,1494.381862,5976.000000,48000.000000,384000.000000,1500.000000,6000.000000,39.976591,40.000000,0.000585,1.000000,5.338650,176.800000,225.000000,4.604331,507494.400000,0,0.000000,0.000000,0,0.006761,3,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.003656,0.002338,382596.000000,3064817.452549,11981.975646,47979.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.884925,40.000000,0.002877,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
16,63.000000,277.873879,0.581918,0.058192,1,0.000000,26482867333.797211,0.037000,0.018271,46224.000000,376983.860398,1485.071179,5960.000000,48000.000000,384000.000000,1500.000000,6000.000000,39.826733,40.000000,0.004332,1.000000,5.338650,176.800000,225.000000,4.604331,507494.400000,0,0.000000,0.000000,0,0.008874,3,1
13,55.000000,227.423444,0.491828,0.049183,1,0.000000,21415301275.632950,0.051896,0.025970,45509.000000,374027.355628,1478.677421,5947.000000,48000.000000,384000.000000,1500.000000,6000.000000,39.777550,40.000000,0.005561,1.000000,5.338650,176.800000,225.000000,4.604331,507494.400000,0,0.000000,0.000000,0,0.006295,3,1
3,59.000000,254.875890,0.712404,0.071240,1,0.000000,45488459964.044609,0.004117,0.002587,382419.000000,3064052.824880,11979.838435,47976.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.706310,40.000000,0.007342,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.000596,4,1
25,82.000000,414.828452,0.826479,0.082648,1,0.000000,40239465069.137260,0.094604,0.052977,43459.000000,363656.644322,1458.015436,5922.000000,48000.000000,384000.000000,1500.000000,6000.000000,39.893943,40.000000,0.002651,1.000000,5.338650,176.800000,225.000000,4.604331,507494.400000,0,0.000000,0.000000,0,0.018048,3,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.006117,0.003424,381651.000000,3061482.667346,11974.220296,47952.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.870534,40.000000,0.003237,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.002586,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.000000,69999447944.573792,0.007029,0.004037,381301.000000,3059598.236641,11969.636986,47947.000000,384000.000000,3072000.000000,12000.000000,48000.000000,39.778868,40.000000,0.005528,1.000000,1.424540,17.300000,25.100000,3.101965,295959.300000,0,0.000000,0.000000,0,0.001179,4,1
16,63.000000,277.873879,0.581918,0.058192,1,0.000000,26482867333.797211,0.115604,0.064556,42451.000000,359210.662254,1448.704754,5906.000000,48000.000000,384000.000000,1500.000000,6000.000000,39.720676,40.000000,0.006983,1.000000,5.338650,176.800000,225.000000,4.604331,507494.400000,0,0.000000,0.000000,0,0.008874,3,1
13,55.000000,227.423444,0.491828,0.049183,0,0.000000,21415301275.632950,0.014896,0.007699,47285.000000,381043.495230,1493.606241,0.000000,48000.000000,384000.000000,1500.000000,0.000000,39.671494,40.000000,0.008213,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0,0.000000,0.000000,0,0.001986,1,1
