num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.000469,0.000461,255880.000000,2047055.163967,7996.265058,31998.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.813253,50.000000,0.003735,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,0,1.000000,1.000000,0,0.001996,2,1
2,19.000000,138.936940,0.581918,0.058192,1,0.900000,29095882074.486408,0.000617,0.000597,255842.000000,2046777.290088,7995.101223,31996.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.755061,50.000000,0.004899,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,2,1.000000,1.000000,1,0.000632,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.001102,0.001076,255718.000000,2045796.092254,7991.254088,31992.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.658883,50.000000,0.006822,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,6,1.000000,1.000000,2,0.002062,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.001191,0.001138,255695.000000,2045668.654309,7990.541684,31991.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.587642,50.000000,0.008247,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,7,1.000000,1.000000,3,0.000383,2,1
2,6.000000,31.369937,0.154893,0.015489,1,0.850000,7058473651.790281,0.001238,0.001169,255683.000000,2045605.914436,7990.231898,31989.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.572153,50.000000,0.008557,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,9,1.000000,1.000000,4,0.000200,2,1
2,60.000000,472.418016,1.867471,0.186747,1,0.950000,92931788634.942749,0.001238,0.001169,255683.000000,2045605.914436,7990.231898,31989.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.572153,50.000000,0.008557,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,9,1.000000,1.000000,4,0.001996,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.001371,0.001280,255649.000000,2045378.490992,7989.248243,31987.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.522970,50.000000,0.009541,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,11,1.000000,1.000000,5,0.000566,2,1
4,31.000000,245.299458,0.961784,0.096178,1,0.900000,48089189006.988510,0.001855,0.001759,255525.000000,2044397.293159,7985.401108,31983.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.426792,50.000000,0.011464,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,15,1.000000,1.000000,6,0.002062,2,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.001945,0.001821,255502.000000,2044269.855214,7984.688704,31982.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.355552,50.000000,0.012889,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,16,1.000000,1.000000,7,0.000383,2,1
2,6.000000,31.369937,0.154893,0.015489,1,0.850000,7058473651.790281,0.001992,0.001852,255490.000000,2044207.115341,7984.378919,31980.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.340062,50.000000,0.013199,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,18,1.000000,1.000000,8,0.000200,2,1
