num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,27.000000,207.414226,0.826479,0.082648,1,0.000000,41323968950.344238,0.000316,0.000304,255919.000000,2047377.757322,7997.520562,31997.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.917352,50.000000,0.001653,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000313,2,1
3,8.000000,53.544949,0.234089,0.023409,1,0.000000,10028341335.723335,0.000410,0.000382,255895.000000,2047217.122476,7996.818295,31994.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.893943,50.000000,0.002121,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000093,2,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.000523,0.000474,255866.000000,2047028.679405,7995.901632,31993.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.802277,50.000000,0.003954,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000112,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.000000,24591378911.673733,0.000656,0.000585,255832.000000,2046801.255961,7994.917977,31991.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.753094,50.000000,0.004938,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000132,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.001023,0.000926,255738.000000,2046103.658253,7992.010842,31989.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.607737,50.000000,0.007845,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000364,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.000000,10652022864.973183,0.001055,0.000943,255730.000000,2046068.006925,7991.797802,31988.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.586433,50.000000,0.008271,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,27.000000,207.414226,0.826479,0.082648,1,0.000000,41323968950.344238,0.001004,0.000907,255743.000000,2046143.361955,7992.225499,31987.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.649142,50.000000,0.007017,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000313,2,1
3,8.000000,53.544949,0.234089,0.023409,1,0.000000,10028341335.723335,0.001098,0.000985,255719.000000,2045982.727109,7991.523231,31984.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.625733,50.000000,0.007485,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000093,2,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.001211,0.001077,255690.000000,2045794.284039,7990.606569,31983.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.534067,50.000000,0.009319,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000112,2,1
2,19.000000,138.936940,0.581918,0.058192,1,0.000000,29095882074.486408,0.001359,0.001213,255652.000000,2045516.410159,7989.442734,31981.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.475875,50.000000,0.010482,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000147,2,1
2,47.000000,348.798854,1.453568,0.145357,1,0.950000,70856938236.792084,0.001727,0.001553,255558.000000,2044818.812451,7986.535599,31979.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.330519,50.000000,0.013390,1.000000,1.785276,32.000000,250.000000,5.172585,587505.340000,0,0.000000,0.000000,0,0.000364,2,1
