num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.000000,0.000000,256000.000000,2048000.000000,8000.000000,32000.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.917352,50.000000,0.000000,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,0,0.001347,2,1
3,8.000000,53.544949,0.234089,0.023409,0,0.000000,10028341335.723335,0.000000,0.000000,128000.000000,1024000.000000,4000.000000,0.000000,128000.000000,1024000.000000,4000.000000,0.000000,49.893943,50.000000,0.001653,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,1,0.000399,1,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.000316,0.000304,255919.000000,2047377.757322,7997.520562,31997.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.802277,50.000000,0.002121,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,3,0.000000,0.000000,2,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.000430,0.000396,255890.000000,2047189.314251,7996.603900,31996.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.753094,50.000000,0.003954,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,4,0.000000,0.000000,3,0.000566,2,1
4,31.000000,245.299458,0.961784,0.096178,0,0.000000,48089189006.988510,0.000188,0.000157,127976.000000,1023839.365154,3999.297733,0.000000,128000.000000,1024000.000000,4000.000000,0.000000,49.656916,50.000000,0.004938,5.093750,6.881712,0.000000,0.000000,4400.040000,0.000000,3,0.000000,0.000000,4,0.002062,1,1
1,23.000000,127.437945,0.712404,0.071240,1,0.950000,31328204428.464272,0.000563,0.000507,255856.000000,2046961.890807,7995.620245,31994.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.585675,50.000000,0.006862,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,6,0.000000,0.000000,5,0.000383,2,1
1,8.000000,35.651328,0.213040,0.021304,1,0.900000,10652022864.973183,0.000652,0.000569,255833.000000,2046834.452863,7994.907841,31993.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.564371,50.000000,0.008286,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,7,0.000000,0.000000,6,0.000133,2,1
3,27.000000,207.414226,0.826479,0.082648,1,0.900000,41323968950.344238,0.000684,0.000587,255825.000000,2046798.801535,7994.694800,31992.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.481723,50.000000,0.008713,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,8,0.000000,0.000000,7,0.001347,2,1
1,29.000000,188.443070,0.916662,0.091666,1,0.950000,42221976864.255020,0.001000,0.000890,255744.000000,2046176.558856,7992.215362,31989.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.390057,50.000000,0.010366,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,11,0.000000,0.000000,8,0.000482,2,1
2,17.000000,113.711722,0.491828,0.049183,1,0.900000,24591378911.673733,0.001113,0.000982,255715.000000,2045988.115786,7991.298700,31988.000000,256000.000000,2048000.000000,8000.000000,32000.000000,49.340874,50.000000,0.012199,5.093750,6.881712,32.000000,250.000000,4400.040000,587505.340000,12,0.000000,0.000000,9,0.000566,2,1
