num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
2,5.000000,5.111099,0.000020,0.000003,499990.000000,3199989.777802,24999.897778,99998.000000,0.000266,2,1
4,12.000000,5.909588,0.000116,0.000011,499942.000000,3199966.139449,24999.838682,99994.000000,0.001277,2,1
4,11.000000,5.459138,0.000204,0.000017,499898.000000,3199944.302898,24999.784091,99990.000000,0.001171,2,1
1,8.000000,4.065202,0.000220,0.000019,499890.000000,3199940.237696,24999.773928,99989.000000,0.000213,2,1
3,5.000000,4.548926,0.000250,0.000023,499875.000000,3199926.590917,24999.705694,99986.000000,0.000399,2,1
16,8.000000,7.995698,0.000506,0.000063,499747.000000,3199798.659748,24999.066038,99970.000000,0.003406,2,1
11,7.000000,6.550209,0.000660,0.000085,499670.000000,3199726.607448,24998.705777,99959.000000,0.002049,2,1
2,5.000000,5.170067,0.000680,0.000089,499660.000000,3199716.267314,24998.602375,99957.000000,0.000266,2,1
4,5.000000,4.768855,0.000720,0.000095,499640.000000,3199697.191892,24998.506998,99953.000000,0.000532,2,1
7,15.000000,7.560930,0.000930,0.000111,499535.000000,3199644.265379,24998.374682,99946.000000,0.002794,2,1
8,6.000000,5.830807,0.001026,0.000126,499487.000000,3199597.618924,24998.141450,99938.000000,0.001277,2,1
6,5.000000,5.340891,0.001086,0.000136,499457.000000,3199565.573577,24997.981223,99932.000000,0.000798,2,1
4,11.000000,5.459138,0.001174,0.000143,499413.000000,3199543.737026,24997.926631,99928.000000,0.001171,2,1
1,5.000000,4.566410,0.001184,0.000144,499408.000000,3199539.170616,24997.880967,99927.000000,0.000133,2,1
2,9.000000,4.519162,0.001220,0.000147,499390.000000,3199530.132292,24997.858371,99925.000000,0.000479,2,1
16,8.000000,7.995698,0.001476,0.000187,499262.000000,3199402.201123,24997.218716,99909.000000,0.003406,2,1
3,6.000000,6.450559,0.001512,0.000193,499244.000000,3199382.849445,24997.025199,99906.000000,0.000479,2,1
2,5.000000,5.170067,0.001532,0.000196,499234.000000,3199372.509311,24996.921798,99904.000000,0.000266,2,1
4,5.000000,4.768855,0.001572,0.000202,499214.000000,3199353.433889,24996.826420,99900.000000,0.000532,2,1
7,15.000000,7.560930,0.001782,0.000219,499109.000000,3199300.507376,24996.694104,99893.000000,0.002794,2,1
1,9.000000,4.256685,0.001800,0.000220,499100.000000,3199296.250691,24996.683462,99892.000000,0.000240,2,1
5,5.000000,4.953120,0.001850,0.000228,499075.000000,3199271.485092,24996.559634,99887.000000,0.000665,2,1
4,8.000000,7.646589,0.001914,0.000237,499043.000000,3199240.898734,24996.253771,99883.000000,0.000852,2,1
8,16.000000,7.808919,0.002170,0.000257,498915.000000,3199178.427383,24996.097592,99875.000000,0.003406,2,1
1,8.000000,4.065202,0.002186,0.000258,498907.000000,3199174.362181,24996.087429,99874.000000,0.000213,2,1
3,5.000000,4.548926,0.002216,0.000262,498892.000000,3199160.715402,24996.019196,99871.000000,0.000399,2,1
2,9.000000,4.519162,0.002252,0.000265,498874.000000,3199151.677078,24995.996600,99869.000000,0.000479,2,1
3,6.000000,6.450559,0.002288,0.000271,498856.000000,3199132.325400,24995.803083,99866.000000,0.000479,2,1
4,12.000000,5.974332,0.002384,0.000279,498808.000000,3199108.428072,24995.743340,99862.000000,0.001277,2,1
3,6.000000,6.106980,0.002420,0.000284,498790.000000,3199090.107133,24995.560130,99859.000000,0.000479,2,1
2,6.000000,5.600914,0.002444,0.000288,498778.000000,3199078.905304,24995.448112,99857.000000,0.000319,2,1
4,5.000000,4.768855,0.002484,0.000294,498758.000000,3199059.829882,24995.352735,99853.000000,0.000532,2,1
6,14.000000,7.132397,0.002652,0.000307,498674.000000,3199017.035501,24995.245749,99847.000000,0.002235,2,1
6,5.000000,5.340891,0.002712,0.000317,498644.000000,3198984.990155,24995.085522,99841.000000,0.000798,2,1
4,12.000000,5.909588,0.002808,0.000325,498596.000000,3198961.351802,24995.026426,99837.000000,0.001277,2,1
4,11.000000,5.459138,0.002896,0.000331,498552.000000,3198939.515250,24994.971835,99833.000000,0.001171,2,1
8,16.000000,7.808919,0.003152,0.000351,498424.000000,3198877.043899,24994.815657,99825.000000,0.003406,2,1
1,5.000000,4.566410,0.003162,0.000352,498419.000000,3198872.477489,24994.769992,99824.000000,0.000133,2,1
1,8.000000,4.065202,0.003178,0.000354,498411.000000,3198868.412286,24994.759829,99823.000000,0.000213,2,1
1,5.000000,4.626716,0.003188,0.000355,498406.000000,3198863.785570,24994.713562,99822.000000,0.000133,2,1
16,8.000000,7.995698,0.003444,0.000395,498278.000000,3198735.854401,24994.073906,99806.000000,0.003406,2,1
2,5.000000,5.170067,0.003464,0.000398,498268.000000,3198725.514267,24993.970505,99804.000000,0.000266,2,1
7,14.000000,7.230898,0.003660,0.000414,498170.000000,3198674.897980,24993.843964,99797.000000,0.002608,2,1
1,4.000000,4.279021,0.003668,0.000415,498166.000000,3198670.618959,24993.801174,99796.000000,0.000106,2,1
7,15.000000,7.560930,0.003878,0.000432,498061.000000,3198617.692446,24993.668858,99789.000000,0.002794,2,1
1,9.000000,4.256685,0.003896,0.000433,498052.000000,3198613.435761,24993.658216,99788.000000,0.000240,2,1
5,5.000000,4.953120,0.003946,0.000441,498027.000000,3198588.670162,24993.534388,99783.000000,0.000665,2,1
4,8.000000,7.646589,0.004010,0.000451,497995.000000,3198558.083804,24993.228525,99779.000000,0.000852,2,1
2,5.000000,5.111099,0.004030,0.000454,497985.000000,3198547.861606,24993.126303,99777.000000,0.000266,2,1
3,5.000000,4.548926,0.004060,0.000458,497970.000000,3198534.214827,24993.058069,99774.000000,0.000399,2,1
9,6.000000,6.051730,0.004168,0.000475,497916.000000,3198479.749261,24992.785741,99765.000000,0.001437,2,1
4,12.000000,5.974332,0.004264,0.000483,497868.000000,3198455.851933,24992.725998,99761.000000,0.001277,2,1
3,6.000000,6.106980,0.004300,0.000488,497850.000000,3198437.530994,24992.542788,99758.000000,0.000479,2,1
2,6.000000,5.600914,0.004324,0.000492,497838.000000,3198426.329165,24992.430770,99756.000000,0.000319,2,1
3,6.000000,6.103981,0.004360,0.000497,497820.000000,3198408.017220,24992.247650,99753.000000,0.000479,2,1
4,8.000000,7.646589,0.004424,0.000507,497788.000000,3198377.430863,24991.941787,99749.000000,0.000852,2,1
6,5.000000,5.340891,0.004484,0.000517,497758.000000,3198345.385517,24991.781560,99743.000000,0.000798,2,1
3,7.000000,6.542847,0.004526,0.000523,497737.000000,3198325.756976,24991.585275,99740.000000,0.000559,2,1
16,8.000000,7.995698,0.004782,0.000563,497609.000000,3198197.825807,24990.945619,99724.000000,0.003406,2,1
4,12.000000,5.974332,0.004878,0.000571,497561.000000,3198173.928479,24990.885876,99720.000000,0.001277,2,1
3,6.000000,6.106980,0.004914,0.000576,497543.000000,3198155.607539,24990.702666,99717.000000,0.000479,2,1
7,14.000000,7.230898,0.005110,0.000592,497445.000000,3198104.991253,24990.576125,99710.000000,0.002608,2,1
1,4.000000,4.279021,0.005118,0.000594,497441.000000,3198100.712232,24990.533335,99709.000000,0.000106,2,1
1,9.000000,4.256685,0.005136,0.000595,497432.000000,3198096.455546,24990.522694,99708.000000,0.000240,2,1
5,5.000000,4.953120,0.005186,0.000603,497407.000000,3198071.689947,24990.398866,99703.000000,0.000665,2,1
6,5.000000,5.340891,0.005246,0.000613,497377.000000,3198039.644601,24990.238639,99697.000000,0.000798,2,1
2,5.000000,5.111099,0.005266,0.000616,497367.000000,3198029.422403,24990.136417,99695.000000,0.000266,2,1
3,5.000000,4.548926,0.005296,0.000620,497352.000000,3198015.775624,24990.068183,99692.000000,0.000399,2,1
16,8.000000,7.995698,0.005552,0.000660,497224.000000,3197887.844455,24989.428527,99676.000000,0.003406,2,1
9,6.000000,6.051730,0.005660,0.000677,497170.000000,3197833.378889,24989.156199,99667.000000,0.001437,2,1
2,6.000000,5.600914,0.005684,0.000681,497158.000000,3197822.177060,24989.044181,99665.000000,0.000319,2,1
3,6.000000,6.103981,0.005720,0.000686,497140.000000,3197803.865116,24988.861062,99662.000000,0.000479,2,1
1,9.000000,4.256685,0.005738,0.000688,497131.000000,3197799.608431,24988.850420,99661.000000,0.000240,2,1
5,5.000000,4.953120,0.005788,0.000695,497106.000000,3197774.842832,24988.726592,99656.000000,0.000665,2,1
