num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,27.000000,51.853557,0.066986,0.008265,1,0.800000,2457748059.396515,0.001125,0.000405,143838.000000,767688.878661,5999.598084,23994.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.991735,25.000000,0.000331,6.791667,9.175617,32.000000,250.000000,4400.040000,587505.340000,0,1.000000,1.000000,0,0.003593,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.900000,3717271545.397710,0.000306,0.000078,143956.000000,767940.240927,5999.850602,23996.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.988912,25.000000,0.000444,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,4,1.000000,1.000000,1,0.000976,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.700000,2340891022.859556,0.001458,0.000510,143790.000000,767608.561238,5999.457631,23988.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.986571,25.000000,0.000537,6.791667,9.175617,32.000000,250.000000,4400.040000,587505.340000,6,1.000000,1.000000,2,0.001064,2,1
8,31.000000,61.324865,0.077134,0.009618,1,0.800000,2880574312.936782,0.003181,0.001148,143542.000000,767117.962321,5998.840561,23980.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.976953,25.000000,0.000922,6.791667,9.175617,32.000000,250.000000,4400.040000,587505.340000,6,1.000000,1.000000,2,0.005500,2,1
1,5.000000,5.699231,0.014248,0.001283,1,0.900000,1253128177.138571,0.000340,0.000085,143951.000000,767934.541696,5999.836354,23995.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.975670,25.000000,0.000973,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,5,1.000000,1.000000,3,0.000111,4,1
9,10.000000,18.362107,0.030517,0.003052,1,0.700000,3051729577.617594,0.003806,0.001364,143452.000000,766952.703358,5998.565905,23971.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.972618,25.000000,0.001095,6.791667,9.175617,32.000000,250.000000,4400.040000,587505.340000,15,1.000000,1.000000,4,0.001996,2,1
3,9.000000,11.351678,0.028379,0.002225,1,0.900000,2760447464.306116,0.000528,0.000130,143924.000000,767900.486662,5999.751217,23992.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.970393,25.000000,0.001184,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,8,1.000000,1.000000,5,0.000599,4,1
4,20.000000,35.640647,0.049615,0.005949,1,0.800000,1733957467.476818,0.004361,0.001549,143372.000000,766810.140769,5998.367445,23967.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.964444,25.000000,0.001422,6.791667,9.175617,32.000000,250.000000,4400.040000,587505.340000,19,1.000000,1.000000,6,0.001774,2,1
6,27.000000,51.853557,0.066986,0.008265,1,0.800000,2457748059.396515,0.002639,0.000910,143620.000000,767300.739685,5998.984515,23975.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.974062,25.000000,0.001038,6.791667,9.175617,32.000000,250.000000,4400.040000,587505.340000,19,1.000000,1.000000,6,0.003593,2,1
2,6.000000,7.333297,0.018333,0.001556,1,0.900000,1688879074.570201,0.000611,0.000149,143912.000000,767885.820069,5999.714550,23990.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.972507,25.000000,0.001100,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,10,1.000000,1.000000,7,0.000266,4,1
