num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
2,6.000000,7.333297,0.018333,0.001556,1,0.000000,1688879074.570201,0.000083,0.000019,143988.000000,767985.333407,5999.963334,23998.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.998444,25.000000,0.000062,1.000000,1.424540,17.300000,25.100000,3.802619,295959.300000,0,0.000000,0.000000,0,0.000040,4,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.000528,0.000181,143924.000000,767861.063060,5999.805425,23996.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.992625,25.000000,0.000295,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.001000,0.000329,143856.000000,767747.351338,5999.637876,23992.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.987707,25.000000,0.000492,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
3,9.000000,11.628541,0.029071,0.002271,1,0.000000,2834277529.471683,0.000271,0.000065,143961.000000,767950.447785,5999.876119,23995.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.985436,25.000000,0.000583,1.000000,1.424540,17.300000,25.100000,3.802619,295959.300000,0,0.000000,0.000000,0,0.000091,4,1
1,8.000000,8.912832,0.020978,0.002130,1,0.000000,540751429.060824,0.001056,0.000341,143848.000000,767738.438506,5999.616898,23991.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.983305,25.000000,0.000668,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000031,2,1
3,6.000000,7.842484,0.015489,0.001549,1,0.000000,1548926307.144075,0.001181,0.000371,143830.000000,767714.911054,5999.570431,23988.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.981756,25.000000,0.000730,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000070,2,1
1,5.000000,5.880149,0.014700,0.001313,1,0.000000,1301373085.613070,0.000306,0.000072,143956.000000,767944.567636,5999.861419,23994.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.980443,25.000000,0.000782,1.000000,1.424540,17.300000,25.100000,3.802619,295959.300000,0,0.000000,0.000000,0,0.000017,4,1
2,11.000000,15.268265,0.027787,0.003038,1,0.000000,824476116.953639,0.001333,0.000411,143808.000000,767684.374524,5999.514856,23986.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.977405,25.000000,0.000904,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000085,2,1
16,16.000000,31.969887,0.049957,0.004996,1,0.000000,4995698072.014236,0.003111,0.001077,143552.000000,767172.856340,5998.715544,23970.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.972409,25.000000,0.001104,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000990,2,1
11,12.000000,21.851463,0.035502,0.003550,1,0.000000,3550209070.812077,0.004028,0.001390,143420.000000,766932.490241,5998.325021,23959.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.968859,25.000000,0.001246,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000511,2,1
4,11.000000,14.939768,0.037349,0.002823,1,0.000000,3717271545.397710,0.000611,0.000150,143912.000000,767884.808562,5999.712021,23990.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.966035,25.000000,0.001359,1.000000,1.424540,17.300000,25.100000,3.802619,295959.300000,0,0.000000,0.000000,0,0.000148,4,1
6,8.000000,13.386237,0.023409,0.002341,1,0.000000,2340891022.859556,0.004361,0.001495,143372.000000,766852.172818,5998.184568,23953.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.963694,25.000000,0.001452,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000186,2,1
4,19.000000,34.734235,0.048644,0.005819,1,0.000000,1693492629.655401,0.004889,0.001675,143296.000000,766713.235879,5997.989992,23949.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.957875,25.000000,0.001685,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000294,2,1
4,17.000000,28.427930,0.041887,0.004918,1,0.000000,1411961181.979608,0.005361,0.001824,143228.000000,766599.524157,5997.822444,23945.000000,144000.000000,768000.000000,6000.000000,24000.000000,24.952957,25.000000,0.001882,1.000000,1.785276,32.000000,250.000000,6.563447,587505.340000,0,0.000000,0.000000,0,0.000263,2,1
