num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,21.000000,103.707113,0.167465,0.016746,1,0.750000,1674648835.637909,0.031500,0.038890,3874.000000,15377.757322,498.995211,1994.000000,4000.000000,16000.000000,500.000000,2000.000000,4.983254,5.000000,0.003349,20.375000,27.526850,32.000000,250.000000,4400.040000,587505.340000,0,1.000000,1.000000,0,0.008383,2,1
29,7.000000,14.763063,0.028233,0.002823,0,0.000000,464658943.174714,0.050750,0.026758,3797.000000,15571.871173,499.181245,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.980430,5.000000,0.003914,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,29,1.000000,1.000000,1,0.013506,1,1
7,8.000000,26.772474,0.046818,0.004682,1,0.700000,2340891022.859556,0.045500,0.050603,3818.000000,15190.350001,498.667486,1987.000000,4000.000000,16000.000000,500.000000,2000.000000,4.975748,5.000000,0.004850,20.375000,27.526850,32.000000,250.000000,4400.040000,587505.340000,7,1.000000,1.000000,2,0.003726,2,1
10,4.000000,5.888846,0.015555,0.001556,0,0.000000,211109884.321275,0.060750,0.030439,3757.000000,15512.982713,499.025690,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.974193,5.000000,0.005161,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,39,1.000000,1.000000,3,0.002661,1,1
2,10.000000,17.367117,0.029096,0.002910,1,0.800000,4864382311.172962,0.010000,0.004342,1980.000000,7965.265765,249.941808,998.000000,2000.000000,8000.000000,250.000000,1000.000000,4.971283,5.000000,0.005743,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,3,0.001331,4,1
2,8.000000,14.213965,0.024591,0.002459,1,0.800000,4188706836.751060,0.018000,0.007895,1964.000000,7936.837835,249.892625,996.000000,2000.000000,8000.000000,250.000000,1000.000000,4.968824,5.000000,0.006235,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,2,1.000000,1.000000,4,0.001064,4,1
4,15.000000,30.662432,0.048089,0.004809,1,0.800000,7713378351.048277,0.048000,0.023226,1904.000000,7814.188105,249.700269,992.000000,2000.000000,8000.000000,250.000000,1000.000000,4.964015,5.000000,0.007197,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,2,1.000000,1.000000,4,0.003992,4,1
21,6.000000,10.899964,0.022714,0.002271,0,0.000000,354284691.183960,0.092250,0.044745,3631.000000,15284.083465,498.548691,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.961744,5.000000,0.007651,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,60,1.000000,1.000000,5,0.008383,1,1
1,6.000000,7.964872,0.015664,0.001566,1,0.800000,2849615332.134820,0.051000,0.024222,1898.000000,7806.223234,249.684605,991.000000,2000.000000,8000.000000,250.000000,1000.000000,4.960177,5.000000,0.007965,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,3,1.000000,1.000000,6,0.000399,4,1
1,4.000000,4.456416,0.010652,0.001065,1,0.800000,2097803429.745977,0.053000,0.024779,1894.000000,7801.766818,249.673953,990.000000,2000.000000,8000.000000,250.000000,1000.000000,4.959112,5.000000,0.008178,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,4,1.000000,1.000000,7,0.000266,4,1
