num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
6,21.000000,103.707113,0.167465,0.016746,0,0.000000,1674648835.637909,0.000000,0.000000,4000.000000,16000.000000,500.000000,0.000000,4000.000000,16000.000000,500.000000,0.000000,5.000000,5.000000,0.000000,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.000000,-1,0
29,7.000000,14.763063,0.028233,0.002823,0,0.000000,464658943.174714,0.000000,0.000000,4000.000000,16000.000000,500.000000,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.997177,5.000000,0.000000,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,0,0.000000,0.000000,0,0.013506,1,1
7,8.000000,26.772474,0.046818,0.004682,0,0.000000,2340891022.859556,0.050750,0.026758,3797.000000,15571.871173,499.181245,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.992495,5.000000,0.000565,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,29,0.000000,0.000000,1,0.003726,1,1
10,4.000000,5.888846,0.015555,0.001556,0,0.000000,211109884.321275,0.064750,0.038471,3741.000000,15384.463852,498.853520,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.990939,5.000000,0.001501,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,36,0.000000,0.000000,2,0.002661,1,1
2,10.000000,17.367117,0.029096,0.002910,1,0.800000,4864382311.172962,0.000000,0.000000,2000.000000,8000.000000,250.000000,1000.000000,2000.000000,8000.000000,250.000000,1000.000000,4.990939,5.000000,0.001812,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,0,0.000000,0.000000,3,0.000000,-1,0
2,8.000000,14.213965,0.024591,0.002459,1,0.800000,4188706836.751060,0.000000,0.000000,2000.000000,8000.000000,250.000000,1000.000000,2000.000000,8000.000000,250.000000,1000.000000,4.988480,5.000000,0.001812,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,0,0.000000,0.000000,3,0.001064,4,1
4,15.000000,30.662432,0.048089,0.004809,1,0.800000,7713378351.048277,0.008000,0.003553,1984.000000,7971.572070,249.950817,998.000000,2000.000000,8000.000000,250.000000,1000.000000,4.988480,5.000000,0.002304,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,2,0.000000,0.000000,4,0.000000,-1,0
21,6.000000,10.899964,0.022714,0.002271,0,0.000000,354284691.183960,0.074750,0.042152,3701.000000,15325.575393,498.697965,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.986209,5.000000,0.002304,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,46,0.000000,0.000000,4,0.008383,1,1
1,6.000000,7.964872,0.015664,0.001566,1,0.800000,2849615332.134820,0.008000,0.003553,1984.000000,7971.572070,249.950817,998.000000,2000.000000,8000.000000,250.000000,1000.000000,4.984642,5.000000,0.002758,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,2,0.000000,0.000000,5,0.000399,4,1
1,4.000000,4.456416,0.010652,0.001065,0,0.000000,2097803429.745977,0.106250,0.056458,3575.000000,15096.676145,498.220966,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.983577,5.000000,0.003072,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,67,0.000000,0.000000,6,0.000266,1,1
4,6.000000,15.684968,0.030979,0.003098,1,0.600000,1548926307.144075,0.000000,0.000000,2000.000000,8000.000000,250.000000,1000.000000,2000.000000,8000.000000,250.000000,1000.000000,4.980479,5.000000,0.003285,20.375000,27.526850,176.800000,225.000000,4400.040000,507494.400000,0,0.000000,0.000000,7,0.001597,3,1
6,3.000000,4.193507,0.013134,0.001313,0,0.000000,162671635.701634,0.107250,0.056736,3571.000000,15092.219729,498.210314,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.979166,5.000000,0.003904,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,68,0.000000,0.000000,8,0.001198,1,1
2,10.000000,30.536530,0.069469,0.006947,1,0.750000,694685670.172184,0.000000,0.000000,4000.000000,16000.000000,500.000000,2000.000000,4000.000000,16000.000000,500.000000,2000.000000,4.979166,5.000000,0.004167,20.375000,27.526850,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,9,0.000000,-1,0
16,16.000000,63.939773,0.099914,0.009991,1,0.700000,4995698072.014236,0.000000,0.000000,4000.000000,16000.000000,500.000000,2000.000000,4000.000000,16000.000000,500.000000,2000.000000,4.979166,5.000000,0.004167,20.375000,27.526850,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,9,0.000000,-1,0
9,10.000000,36.724214,0.061035,0.006103,0,0.000000,3051729577.617594,0.111750,0.058309,3553.000000,15067.058685,498.131512,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.979166,5.000000,0.004167,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,74,0.000000,0.000000,9,0.000000,-1,0
20,6.000000,10.576958,0.022253,0.002225,0,0.000000,345055933.038265,0.111750,0.058309,3553.000000,15067.058685,498.131512,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.976941,5.000000,0.004167,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,74,0.000000,0.000000,9,0.007984,1,1
5,18.000000,87.405854,0.145633,0.014563,1,0.750000,1456328401.554529,0.000000,0.000000,4000.000000,16000.000000,500.000000,2000.000000,4000.000000,16000.000000,500.000000,2000.000000,4.976941,5.000000,0.004612,20.375000,27.526850,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,10,0.000000,-1,0
2,10.000000,17.820324,0.029743,0.002974,1,0.800000,4961497921.944363,0.011000,0.004549,1978.000000,7963.607198,249.935153,997.000000,2000.000000,8000.000000,250.000000,1000.000000,4.976941,5.000000,0.004612,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,3,0.000000,0.000000,10,0.000000,-1,0
10,4.000000,6.095235,0.015850,0.001585,0,0.000000,217006713.765211,0.141750,0.071530,3433.000000,14855.519532,497.686456,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.975356,5.000000,0.004612,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,94,0.000000,0.000000,10,0.002661,1,1
17,5.000000,9.374430,0.020535,0.002053,0,0.000000,310697991.685336,0.151750,0.075340,3393.000000,14794.567182,497.527953,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.973302,5.000000,0.004929,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,104,0.000000,0.000000,11,0.005655,1,1
13,4.000000,7.603201,0.018005,0.001800,0,0.000000,260091448.836071,0.173000,0.085300,3308.000000,14635.201877,497.178860,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.971502,5.000000,0.005340,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,121,0.000000,0.000000,12,0.003460,1,1
10,4.000000,5.966406,0.015666,0.001567,0,0.000000,213325898.402057,0.186000,0.091477,3256.000000,14536.360268,496.944800,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.969935,5.000000,0.005700,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,134,0.000000,0.000000,13,0.002661,1,1
7,21.000000,106.465146,0.171159,0.017116,0,0.000000,1711586780.013324,0.196000,0.095206,3216.000000,14476.696204,496.788137,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.969935,5.000000,0.006013,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,144,0.000000,0.000000,14,0.000000,-1,0
3,2.000000,2.976574,0.011395,0.001140,0,0.000000,127902110.492765,0.196000,0.095206,3216.000000,14476.696204,496.788137,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.968796,5.000000,0.006013,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,144,0.000000,0.000000,14,0.000399,1,1
17,5.000000,9.363935,0.020520,0.002052,0,0.000000,310398140.088840,0.197500,0.095765,3210.000000,14467.766482,496.753952,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.966744,5.000000,0.006241,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,147,0.000000,0.000000,15,0.005655,1,1
5,6.000000,18.763975,0.035377,0.003538,1,0.700000,1768855383.977692,0.000000,0.000000,4000.000000,16000.000000,500.000000,2000.000000,4000.000000,16000.000000,500.000000,2000.000000,4.963206,5.000000,0.006651,20.375000,27.526850,32.000000,250.000000,4400.040000,587505.340000,0,0.000000,0.000000,16,0.001996,2,1
4,15.000000,28.926513,0.045609,0.004561,1,0.800000,7341395615.293363,0.011000,0.004549,1978.000000,7963.607198,249.935153,997.000000,2000.000000,8000.000000,250.000000,1000.000000,4.963206,5.000000,0.007359,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,3,0.000000,0.000000,17,0.000000,-1,0
1,9.000000,23.187188,0.059626,0.005963,1,0.750000,596256981.182963,0.007500,0.005864,3970.000000,15906.180123,499.823114,1995.000000,4000.000000,16000.000000,500.000000,2000.000000,4.963206,5.000000,0.007359,20.375000,27.526850,32.000000,250.000000,4400.040000,587505.340000,5,0.000000,0.000000,17,0.000000,-1,0
6,21.000000,103.707113,0.167465,0.016746,0,0.000000,1674648835.637909,0.218750,0.105714,3125.000000,14308.579589,496.405114,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.963206,5.000000,0.007359,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,164,0.000000,0.000000,17,0.000000,-1,0
29,7.000000,14.763063,0.028233,0.002823,0,0.000000,464658943.174714,0.218750,0.105714,3125.000000,14308.579589,496.405114,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.960383,5.000000,0.007359,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,164,0.000000,0.000000,17,0.013506,1,1
7,8.000000,26.772474,0.046818,0.004682,0,0.000000,2340891022.859556,0.269500,0.132472,2922.000000,13880.450761,495.586358,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.955701,5.000000,0.007923,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,193,0.000000,0.000000,18,0.003726,1,1
10,4.000000,5.888846,0.015555,0.001556,0,0.000000,211109884.321275,0.283500,0.144185,2866.000000,13693.043441,495.258633,0.000000,4000.000000,16000.000000,500.000000,0.000000,4.954145,5.000000,0.008860,20.375000,27.526850,0.000000,0.000000,4400.040000,0.000000,200,0.000000,0.000000,19,0.002661,1,1
2,10.000000,17.367117,0.029096,0.002910,1,0.800000,4864382311.172962,0.011000,0.004549,1978.000000,7963.607198,249.935153,997.000000,2000.000000,8000.000000,250.000000,1000.000000,4.954145,5.000000,0.009171,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,3,0.000000,0.000000,20,0.000000,-1,0
2,8.000000,14.213965,0.024591,0.002459,1,0.800000,4188706836.751060,0.011000,0.004549,1978.000000,7963.607198,249.935153,997.000000,2000.000000,8000.000000,250.000000,1000.000000,4.951686,5.000000,0.009171,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,3,0.000000,0.000000,20,0.001064,4,1
4,15.000000,30.662432,0.048089,0.004809,1,0.800000,7713378351.048277,0.019000,0.008103,1962.000000,7935.179267,249.885970,995.000000,2000.000000,8000.000000,250.000000,1000.000000,4.951686,5.000000,0.009663,20.375000,27.526850,17.300000,25.100000,4400.040000,295959.300000,5,0.000000,0.000000,21,0.000000,-1,0
