num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.001313,0.000314,15979.000000,63979.904214,999.949761,3997.000000,16000.000000,64000.000000,1000.000000,4000.000000,9.998325,10.000000,0.000167,7.500000,11.875000,32.000000,250.000000,4400.040000,587505.340000,3,1.000000,1.000000,1,0.000565,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000250,0.000058,31992.000000,127992.530116,1999.981414,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.997396,10.000000,0.000260,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,2,1.000000,1.000000,2,0.000215,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.001812,0.000439,15971.000000,63971.881541,999.929704,3995.000000,16000.000000,64000.000000,1000.000000,4000.000000,9.996393,10.000000,0.000361,7.500000,11.875000,32.000000,250.000000,4400.040000,587505.340000,5,1.000000,1.000000,3,0.000215,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.000313,0.000073,31990.000000,127990.696792,1999.977191,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.995971,10.000000,0.000403,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,3,1.000000,1.000000,4,0.000054,1,1
1,2.000000,2.432191,0.005819,0.000582,0,0.000000,121609557.779324,0.000375,0.000092,31988.000000,127988.264601,1999.971372,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.995389,10.000000,0.000461,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,4,1.000000,1.000000,5,0.000054,1,1
1,2.000000,2.094353,0.004918,0.000492,0,0.000000,104717670.918776,0.000437,0.000108,31986.000000,127986.170247,1999.966454,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.994897,10.000000,0.000510,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,5,1.000000,1.000000,6,0.000054,1,1
2,4.000000,3.856689,0.009618,0.000962,0,0.000000,192834458.776207,0.000687,0.000168,31978.000000,127978.456869,1999.947218,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.993935,10.000000,0.000606,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,7,1.000000,1.000000,7,0.000215,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.003125,0.000753,15950.000000,63951.785755,999.879464,3992.000000,16000.000000,64000.000000,1000.000000,4000.000000,9.992261,10.000000,0.000774,7.500000,11.875000,32.000000,250.000000,4400.040000,587505.340000,8,1.000000,1.000000,8,0.000565,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.000938,0.000227,31970.000000,127970.986985,1999.928632,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.991331,10.000000,0.000867,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,9,1.000000,1.000000,9,0.000215,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.003625,0.000879,15942.000000,63943.763082,999.859408,3990.000000,16000.000000,64000.000000,1000.000000,4000.000000,9.990329,10.000000,0.000967,7.500000,11.875000,32.000000,250.000000,4400.040000,587505.340000,10,1.000000,1.000000,10,0.000215,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.001000,0.000241,31968.000000,127969.153661,1999.924410,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.989906,10.000000,0.001009,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,10,1.000000,1.000000,11,0.000054,1,1
1,2.000000,2.432191,0.005819,0.000582,0,0.000000,121609557.779324,0.001062,0.000260,31966.000000,127966.721469,1999.918591,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.989325,10.000000,0.001068,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,11,1.000000,1.000000,12,0.000054,1,1
1,2.000000,2.094353,0.004918,0.000492,0,0.000000,104717670.918776,0.001125,0.000276,31964.000000,127964.627116,1999.913672,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.988833,10.000000,0.001117,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,12,1.000000,1.000000,13,0.000054,1,1
2,4.000000,3.856689,0.009618,0.000962,0,0.000000,192834458.776207,0.001375,0.000337,31956.000000,127956.913738,1999.894437,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.987871,10.000000,0.001213,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,14,1.000000,1.000000,14,0.000215,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.004938,0.001193,15921.000000,63923.667296,999.809168,3987.000000,16000.000000,64000.000000,1000.000000,4000.000000,9.986196,10.000000,0.001380,7.500000,11.875000,32.000000,250.000000,4400.040000,587505.340000,13,1.000000,1.000000,15,0.000565,2,1
2,4.000000,3.734942,0.009293,0.000929,0,0.000000,186747103.690518,0.001625,0.000395,31948.000000,127949.443853,1999.875850,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.985267,10.000000,0.001473,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,16,1.000000,1.000000,16,0.000215,1,1
2,4.000000,4.011337,0.010028,0.001003,1,0.500000,234089102.285956,0.005437,0.001318,15913.000000,63915.644623,999.789112,3985.000000,16000.000000,64000.000000,1000.000000,4000.000000,9.984264,10.000000,0.001574,7.500000,11.875000,32.000000,250.000000,4400.040000,587505.340000,15,1.000000,1.000000,17,0.000215,2,1
1,2.000000,1.833324,0.004222,0.000422,0,0.000000,91666206.620478,0.001687,0.000409,31946.000000,127947.610529,1999.871628,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.983842,10.000000,0.001616,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,17,1.000000,1.000000,18,0.000054,1,1
1,2.000000,2.432191,0.005819,0.000582,0,0.000000,121609557.779324,0.001750,0.000428,31944.000000,127945.178338,1999.865809,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.983260,10.000000,0.001674,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,18,1.000000,1.000000,19,0.000054,1,1
1,2.000000,2.094353,0.004918,0.000492,0,0.000000,104717670.918776,0.001812,0.000445,31942.000000,127943.083985,1999.860891,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.982768,10.000000,0.001723,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,19,1.000000,1.000000,20,0.000054,1,1
2,4.000000,3.856689,0.009618,0.000962,0,0.000000,192834458.776207,0.002062,0.000505,31934.000000,127935.370606,1999.841655,0.000000,32000.000000,128000.000000,2000.000000,0.000000,9.981806,10.000000,0.001819,7.500000,11.875000,0.000000,0.000000,4400.040000,0.000000,21,1.000000,1.000000,21,0.000215,1,1
3,7.000000,6.698595,0.016746,0.001675,1,0.500000,413239689.503442,0.006750,0.001632,15892.000000,63895.548837,999.738872,3982.000000,16000.000000,64000.000000,1000.000000,4000.000000,9.980132,10.000000,0.001987,7.500000,11.875000,32.000000,250.000000,4400.040000,587505.340000,18,1.000000,1.000000,22,0.000565,2,1
