timestamp,task_id,num_vms,cpu_req,mem_req,chosen_hw_type,accepted,energy_cost
0,2,2,5,5.1111,4,1,0
0,2,8,16,7.80892,2,1,0
0,2,6,14,7.1324,2,1,0
0,4,4,12,5.90959,2,1,0
0,4,3,7,6.54285,4,1,0
0,4,4,8,7.64659,4,1,0
0,6,4,11,5.45914,2,1,0
0,6,1,8,4.0652,2,1,0
0,6,6,5,5.34089,2,1,0
0,8,1,5,4.56641,4,1,0
0,8,3,5,4.54893,2,1,0
0,8,9,6,6.05173,2,1,0
0,10,2,9,4.51916,2,1,0
0,10,1,5,4.62672,4,1,0
0,10,3,6,6.45056,4,1,0
0,12,16,8,7.9957,2,1,0
0,12,11,7,6.55021,2,1,0
0,20,2,5,5.1111,4,1,1.61246e-06
0,17,4,12,5.90959,2,1,2.02466e-06
0,20,6,14,7.1324,2,1,2.02565e-06
0,22,4,11,5.45914,2,1,2.02511e-06
0,19,3,7,6.54285,4,1,1.61248e-06
0,22,4,8,7.64659,4,1,1.61247e-06
0,24,8,16,7.80892,2,1,2.02511e-06
0,21,1,8,4.0652,2,1,2.02466e-06
0,24,6,5,5.34089,2,1,2.02565e-06
0,26,1,5,4.56641,4,1,1.61246e-06
0,23,3,5,4.54893,2,1,2.02466e-06
0,26,1,5,4.62672,4,1,1.61247e-06
0,28,16,8,7.9957,2,1,2.02511e-06
0,25,2,9,4.51916,2,1,2.02466e-06
0,30,9,6,6.05173,2,1,2.02511e-06
0,27,3,6,6.45056,4,1,1.61248e-06
0,29,11,7,6.55021,2,1,2.02466e-06
1,38,8,16,7.80892,2,1,4.05316e-06
1,32,6,14,7.1324,2,1,4.05356e-06
1,38,4,8,7.64659,4,1,3.22489e-06
1,40,1,5,4.56641,4,1,3.22493e-06
1,40,1,5,4.62672,4,1,3.22489e-06
1,34,6,5,5.34089,2,1,4.05356e-06
1,42,2,9,4.51916,2,1,4.05316e-06
1,36,2,5,5.1111,4,1,3.22491e-06
1,42,16,8,7.9957,2,1,4.05705e-06
1,44,9,6,6.05173,2,1,4.05316e-06
1,38,4,12,5.90959,2,1,4.05356e-06
1,46,3,6,6.45056,4,1,3.22493e-06
1,40,4,11,5.45914,2,1,4.05356e-06
1,42,3,7,6.54285,4,1,3.22491e-06
1,44,1,8,4.0652,2,1,4.05356e-06
1,46,3,5,4.54893,2,1,4.05356e-06
1,48,11,7,6.55021,2,1,4.05356e-06
2,53,6,14,7.1324,2,1,6.08529e-06
2,47,4,8,7.64659,4,1,4.83729e-06
2,59,2,5,5.1111,4,1,4.83731e-06
2,55,4,12,5.90959,2,1,6.08529e-06
2,49,6,5,5.34089,2,1,6.09181e-06
2,61,8,16,7.80892,2,1,6.08797e-06
2,57,4,11,5.45914,2,1,6.08529e-06
2,51,1,5,4.62672,4,1,4.83729e-06
2,63,1,5,4.56641,4,1,4.83731e-06
2,59,3,7,6.54285,4,1,4.83736e-06
2,65,3,5,4.54893,2,1,6.08797e-06
2,61,1,8,4.0652,2,1,6.08529e-06
2,67,3,6,6.45056,4,1,4.83731e-06
2,63,2,9,4.51916,2,1,6.08529e-06
2,69,11,7,6.55021,2,1,6.08797e-06
2,65,16,8,7.9957,2,1,6.08529e-06
2,67,9,6,6.05173,2,1,6.08529e-06
3,77,4,11,5.45914,2,1,8.12646e-06
3,77,4,8,7.64659,4,1,6.44977e-06
3,56,6,14,7.1324,2,1,8.12759e-06
3,79,1,5,4.62672,4,1,6.44977e-06
3,79,3,7,6.54285,4,1,6.44968e-06
3,58,6,5,5.34089,2,1,8.12759e-06
3,81,16,8,7.9957,2,1,8.12521e-06
3,81,1,8,4.0652,2,1,8.12646e-06
3,60,2,5,5.1111,4,1,6.44965e-06
3,62,4,12,5.90959,2,1,8.12759e-06
3,83,2,9,4.51916,2,1,8.12646e-06
3,64,8,16,7.80892,2,1,8.12759e-06
3,85,9,6,6.05173,2,1,8.12646e-06
3,66,1,5,4.56641,4,1,6.44965e-06
3,68,3,5,4.54893,2,1,8.12759e-06
3,70,3,6,6.45056,4,1,6.44965e-06
3,72,11,7,6.55021,2,1,8.12759e-06
4,86,6,5,5.34089,2,1,1.01679e-05
4,92,6,14,7.1324,2,1,1.01679e-05
4,83,4,11,5.45914,2,1,1.01705e-05
4,88,2,5,5.1111,4,1,8.06214e-06
4,94,4,8,7.64659,4,1,8.06202e-06
4,85,3,7,6.54285,4,1,8.06199e-06
4,90,1,5,4.56641,4,1,8.06214e-06
4,96,4,12,5.90959,2,1,1.01679e-05
4,87,1,8,4.0652,2,1,1.01705e-05
4,92,3,6,6.45056,4,1,8.06214e-06
4,98,8,16,7.80892,2,1,1.01679e-05
4,89,2,9,4.51916,2,1,1.01705e-05
4,94,11,7,6.55021,2,1,1.01679e-05
4,100,3,5,4.54893,2,1,1.01679e-05
4,91,9,6,6.05173,2,1,1.01705e-05
4,102,1,5,4.62672,4,1,8.06202e-06
4,104,16,8,7.9957,2,1,1.01679e-05
5,101,6,5,5.34089,2,1,1.22136e-05
5,98,6,14,7.1324,2,1,1.22164e-05
5,113,2,5,5.1111,4,1,9.67433e-06
5,103,3,7,6.54285,4,1,9.67449e-06
5,100,4,8,7.64659,4,1,9.6743e-06
5,115,4,11,5.45914,2,1,1.22164e-05
5,105,11,7,6.55021,2,1,1.22136e-05
5,102,4,12,5.90959,2,1,1.22164e-05
5,117,1,5,4.56641,4,1,9.67433e-06
5,104,8,16,7.80892,2,1,1.22164e-05
5,119,1,8,4.0652,2,1,1.22164e-05
5,106,3,5,4.54893,2,1,1.22164e-05
5,121,2,9,4.51916,2,1,1.22164e-05
5,108,1,5,4.62672,4,1,9.6743e-06
5,123,9,6,6.05173,2,1,1.22164e-05
5,110,16,8,7.9957,2,1,1.22164e-05
5,125,3,6,6.45056,4,1,9.67433e-06
6,110,6,14,7.1324,2,1,1.42623e-05
6,119,2,5,5.1111,4,1,1.12866e-05
6,134,6,5,5.34089,2,1,1.42678e-05
6,112,4,8,7.64659,4,1,1.12868e-05
6,121,4,11,5.45914,2,1,1.42693e-05
6,136,3,7,6.54285,4,1,1.12866e-05
6,114,4,12,5.90959,2,1,1.42623e-05
6,123,1,5,4.56641,4,1,1.12866e-05
6,138,16,8,7.9957,2,1,1.42678e-05
